rank,adsorption_energy_eV,relative_energy_eV,structure_path,relaxation_trajectory_path,site_label,orientation_label
1,-2.5177812576,0.0000000000,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_01.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_01.extxyz,8,
2,-2.5148515701,0.0029296875,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_02.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_03.extxyz,1,
3,-2.5141191483,0.0036621094,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_03.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_11.extxyz,0,
4,-2.0657548904,0.4520263672,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_04.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_12.extxyz,0,
5,-1.8260087967,0.6917724609,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_05.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_06.extxyz,19,
6,-1.8163652420,0.7014160156,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_06.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_04.extxyz,8,
7,-1.7849931717,0.7327880859,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_07.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_02.extxyz,1,
8,-1.6230058670,0.8947753906,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_08.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_10.extxyz,8,
9,-1.4433183670,1.0744628906,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_09.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_08.extxyz,19,
10,-1.1463212967,1.3714599609,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_10.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_09.extxyz,0,
