rank,initial_energy,adsorption_energy,relative_energy,conformer_index,site_index,site_connectivity,site_topology,anchor_index,initial_polar_angle,initial_azimuth,anchor_height,structure_path,relaxation_trajectory_path
1,-0.12593555450439453,-2.5177812576293945,0.0,0,8,1,[9],0,90.0,0.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_01.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_01.extxyz
2,0.18082714080810547,-2.5148515701293945,0.0029296875,0,1,2,"[9, 129]",0,90.0,45.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_02.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_03.extxyz
3,0.33109569549560547,-2.5141191482543945,0.003662109375,0,0,4,"[9, 39, 129, 159]",0,45.0,45.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_03.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_11.extxyz
4,0.46537303924560547,-2.0657548904418945,0.4520263671875,0,0,4,"[9, 39, 129, 159]",0,90.0,0.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_04.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_12.extxyz
5,0.23783397674560547,-1.8260087966918945,0.6917724609375,0,19,3,"[19, 49, 59]",0,45.0,315.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_05.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_06.extxyz
6,0.18863964080810547,-1.8163652420043945,0.701416015625,0,8,1,[9],0,45.0,45.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_06.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_04.extxyz
7,0.15897655487060547,-1.7849931716918945,0.7327880859375,0,1,2,"[9, 129]",0,45.0,90.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_07.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_02.extxyz
8,0.29008007049560547,-1.6230058670043945,0.894775390625,0,8,1,[9],0,0.0,0.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_08.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_10.extxyz
9,0.27604198455810547,-1.4433183670043945,1.074462890625,0,19,3,"[19, 49, 59]",0,0.0,0.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_09.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_08.extxyz
10,0.28397655487060547,-1.1463212966918945,1.3714599609375,0,0,4,"[9, 39, 129, 159]",0,0.0,0.0,1.6300000000000001,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxed_minima/minimum_10.extxyz,/scratch/kenko/akg4pyscf/.graphchat-workspaces/kenko_room/h2_fe100_adsorption_search/structures/Fe160_d6801a36/adsorption_site_search/H__H/relaxation_trajectories/site_candidate_09.extxyz
