frequency_cm-1,ir_intensity_km_mol,raman_activity_A4_amu
30.445768,0.63593110,0.56109893
38.680881,1.54118772,1.72339180
45.036914,0.12673397,1.86185170
55.478286,1.55302324,0.42315968
61.784556,1.31094617,2.53841782
67.060631,0.41985247,0.82474357
78.648687,1.10699532,0.91270829
83.926951,0.42808709,4.79164083
90.331220,0.16375349,4.49325438
113.259325,1.96315611,0.93851916
123.063460,0.84972688,1.04892100
134.467847,3.44700952,0.71943424
141.381164,1.45847492,0.86519831
171.402125,5.29198858,1.08144745
201.323549,5.33677962,0.54913844
211.266276,0.66716360,1.27564793
213.601122,4.36893314,2.48523877
238.663339,2.53538045,0.57072833
253.201787,0.21675669,0.30480862
262.998480,6.31444804,0.33563584
277.576117,8.85262424,0.29247555
293.929304,2.61890096,0.72462501
300.573549,3.02007518,2.10752271
334.278066,2.10255649,1.31271470
355.512174,3.20074184,1.97638691
363.747356,0.37944658,2.10737782
380.901494,0.61741565,1.62187234
406.951549,7.15875961,0.83117695
428.237174,0.01705331,0.02007062
430.865886,0.07240521,0.14071886
457.532991,1.37598050,0.40465548
468.411371,0.44672295,0.05346123
477.631370,13.53778973,0.78992615
491.509605,6.49018492,0.64772645
513.655688,7.03758097,0.59999730
526.929486,12.81736597,0.46111724
562.728349,3.88806612,0.65536088
572.150562,9.22303859,1.26095070
639.279266,0.28472364,6.28528573
640.636550,0.56411097,4.51301942
698.624150,4.11938267,3.13361602
701.615089,5.31699446,3.22383411
719.164649,6.10179310,0.14754538
720.926190,2.96319101,0.04108799
740.371283,117.43680092,0.11035865
740.869424,82.77993551,0.11502315
826.781440,3.93161349,3.81717275
838.482587,6.49959718,3.62280153
844.178133,3.03974129,0.72916663
846.832534,2.38671981,3.66953327
862.092933,4.17084663,7.21879255
871.734332,7.30181219,5.45709845
884.277765,16.54741131,12.89447130
893.426096,0.23800035,0.07711655
895.491016,0.68775235,0.09654955
911.158056,7.74861792,2.85961781
918.639106,2.47126147,2.55955525
938.953231,24.23335175,5.70559598
953.126337,15.35671424,2.65213237
972.383862,25.04398541,3.26532087
989.982945,2.00219166,0.24470706
993.202277,0.68012054,0.07596000
1026.817216,0.14405948,0.01774189
1031.796179,0.49146263,1.93380666
1033.420036,0.96741039,33.72490389
1033.656837,2.73941192,22.21076945
1036.733034,0.17153912,0.36968738
1044.347664,0.17224930,0.10757140
1061.331302,16.04273952,2.23869409
1065.904639,8.41819631,15.85510562
1068.552361,28.57335226,10.81495052
1074.803856,5.33473911,7.29086651
1087.056930,8.82498362,3.29295202
1089.431538,19.15062848,4.57931610
1095.279205,10.14551858,1.70702848
1116.407661,21.51465794,0.12267964
1117.939734,17.93869992,0.12053069
1125.103292,21.07804919,1.22422132
1135.301913,41.50705152,1.23221009
1155.011893,6.43628504,12.47271345
1164.969106,61.25701590,2.72276012
1175.529784,98.71342952,7.56968903
1181.124563,115.62849044,6.83978464
1184.632480,0.94079791,4.77693343
1186.181437,0.29928362,6.39012044
1193.560895,78.12803915,1.53233553
1205.422010,60.54112338,2.49002952
1209.120969,68.63062443,2.74358015
1215.419737,104.47571785,3.06349581
1216.389964,124.94449576,4.93507251
1269.316181,2.93531585,3.87352735
1278.920306,9.53730816,5.66827881
1283.677333,12.06463602,5.17504459
1298.127542,6.10166068,8.44280557
1308.633834,16.67734913,4.06992246
1316.412478,176.89397517,26.34557849
1321.351917,162.04768369,14.93459362
1325.290190,207.53453088,10.31555334
1334.364472,49.18624237,7.85954632
1337.668021,149.61396894,7.41869824
1341.496772,259.32522574,20.54780560
1349.249909,186.09917578,13.58913171
1357.417840,37.57462244,3.74069887
1357.787051,26.40627112,2.60615385
1392.701169,39.22097357,1.47702547
1405.254495,45.75787997,4.55923689
1412.508565,11.11823378,2.04671696
1420.740522,13.51367245,2.28704021
1435.616579,28.64981029,2.72182576
1447.144983,5.61543389,1.57510089
1447.926670,4.47908116,0.66217916
1461.897465,1.50827981,3.54539059
1487.684710,9.46161000,7.67023531
1489.247491,5.11416868,10.20913818
1495.051713,3.71461378,8.19723224
1500.481360,7.22533432,3.20984489
1501.174341,11.53516237,3.38334997
1504.720960,1.30210211,2.23801036
1505.611084,14.56352198,2.53568387
1506.046433,18.41139045,2.68487740
1514.769058,14.52040458,3.08275135
1516.311295,2.21976239,6.20096901
1551.029025,3.07432360,2.44235271
1551.280065,2.22943256,1.18898172
1674.831946,4.21336070,3.89217881
1675.702938,4.17963431,3.88126771
1694.863703,10.92925277,51.98625269
1695.848560,12.54792579,61.49139991
1820.078185,299.74454576,44.20381808
1824.607088,258.05170612,31.38567348
3013.740442,12.69302321,74.53064091
3014.385522,21.81502788,68.89508681
3022.030162,38.54264005,70.63438855
3031.037975,7.67803244,228.93965336
3032.776002,123.51816643,60.98322805
3044.644224,49.81308906,143.02552799
3061.857283,66.02026155,70.12485903
3085.421266,18.69370872,121.72444179
3091.017998,17.11599832,97.72127848
3093.736035,18.40446354,131.94514821
3108.646036,18.03960682,74.73340165
3112.030227,16.05332728,27.59019606
3114.090324,35.01163483,154.59627578
3128.035456,26.49266485,50.93330007
3148.761427,14.37470207,36.92244609
3156.625780,10.56268085,30.03717625
3203.195493,0.45653169,47.26181499
3207.109611,0.13023278,40.64724546
3215.163704,8.96309493,103.85610542
3217.998517,4.81656853,93.56234341
3224.517762,9.44667687,79.06927011
3226.386059,6.85316181,60.41314074
3235.004901,4.88528909,5.75079331
3235.287027,5.56373800,9.87841804
3237.754866,6.39257633,306.42145131
3238.289403,5.38176347,256.30972898
