pyscf_rank,conformer,energy_hartree,relative_eV,relative_kcal_mol
1,minimum_001.xyz,-1380.735863731819,0.000000,0.000
2,minimum_002.xyz,-1380.734715595454,0.031242,0.720
3,minimum_007.xyz,-1380.732312970846,0.096621,2.228
4,minimum_004.xyz,-1380.732163548079,0.100687,2.322
5,minimum_003.xyz,-1380.732126022578,0.101708,2.345
6,minimum_006.xyz,-1380.732077070662,0.103040,2.376
7,minimum_005.xyz,-1380.731990178972,0.105405,2.431
8,minimum_008.xyz,-1380.730916692580,0.134616,3.104
9,minimum_010.xyz,-1380.730896298119,0.135171,3.117
10,minimum_009.xyz,-1380.730896162124,0.135174,3.117
