phi_degree,psi_degree,free_energy_kj_mol,samples
-177.5,-177.5,6.399494288842897,142.0
-172.5,-177.5,5.9478057127281,20.0
-167.5,-177.5,5.51704958668989,26.0
-162.5,-177.5,4.944595219286571,102.0
-157.5,-177.5,4.24276460322398,93.0
-152.5,-177.5,3.4890280109441334,119.0
-147.5,-177.5,2.80182241151199,71.0
-142.5,-177.5,2.3772415460200556,54.0
-137.5,-177.5,2.491529606703626,59.0
-132.5,-177.5,3.4209792314605036,89.0
-127.50000000000001,-177.5,5.238010845187939,62.0
-122.50000000000001,-177.5,7.63147541700033,90.0
-117.50000000000001,-177.5,10.023405188005263,0.0
-112.5,-177.5,11.91947535796255,0.0
-107.5,-177.5,13.104883065234851,19.0
-102.5,-177.5,13.534618762253105,28.0
-97.5,-177.5,13.179845618191045,37.0
-92.50000000000001,-177.5,12.092096294738687,38.0
-87.5,-177.5,10.583819179811112,100.0
-82.50000000000001,-177.5,9.20480681662334,32.0
-77.5,-177.5,8.462375508337596,38.0
-72.5,-177.5,8.614795153624405,9.0
-67.5,-177.5,9.71190992271191,15.0
-62.50000000000001,-177.5,11.625568797268066,26.0
-57.500000000000014,-177.5,13.948385554000724,13.0
-52.500000000000014,-177.5,16.07240245358482,0.0
-47.5,-177.5,17.55249367848036,0.0
-42.5,-177.5,18.358202615399275,0.0
-37.50000000000001,-177.5,18.746883582614036,0.0
-32.500000000000014,-177.5,18.975301557233095,0.0
-27.499999999999993,-177.5,19.15497011308741,0.0
-22.5,-177.5,19.292112184068596,0.0
-17.500000000000007,-177.5,19.375682286332964,0.0
-12.50000000000001,-177.5,19.414617065513493,0.0
-7.500000000000017,-177.5,19.428457238390713,0.0
-2.4999999999999973,-177.5,19.43222525518693,0.0
2.4999999999999973,-177.5,19.432990101080158,0.0
7.499999999999991,-177.5,19.43292326116664,0.0
12.499999999999986,-177.5,19.43176346950049,0.0
17.500000000000007,-177.5,19.426051713740673,0.0
22.5,-177.5,19.403558800816974,0.0
27.499999999999993,-177.5,19.331464596584592,0.0
32.499999999999986,-177.5,19.142982168320835,0.0
37.499999999999986,-177.5,18.74171907835641,0.0
42.5,-177.5,18.049407580712497,0.0
47.5,-177.5,17.08812148572003,0.0
52.49999999999999,-177.5,16.026936356385797,47.0
57.499999999999986,-177.5,15.131638808071914,47.0
62.49999999999998,-177.5,14.654475598272976,17.0
67.49999999999997,-177.5,14.73300083352176,17.0
72.49999999999997,-177.5,15.31242235347944,0.0
77.50000000000001,-177.5,16.143592286147907,0.0
82.50000000000001,-177.5,16.932939552701104,0.0
87.5,-177.5,17.53851186733757,0.0
92.5,-177.5,18.002345816015605,0.0
97.49999999999999,-177.5,18.413691749510246,0.0
102.49999999999999,-177.5,18.79098434199622,0.0
107.49999999999999,-177.5,19.09062839531912,0.0
112.49999999999997,-177.5,19.275572956647455,0.0
117.49999999999997,-177.5,19.338106410650873,0.0
122.50000000000001,-177.5,19.25512995220688,0.0
127.50000000000001,-177.5,18.930288807978982,0.0
132.5,-177.5,18.20194198721746,0.0
137.5,-177.5,16.970984013933688,0.0
142.5,-177.5,15.379044045239405,0.0
147.49999999999997,-177.5,13.813496089825273,17.0
152.49999999999997,-177.5,12.615743049130797,72.0
157.49999999999997,-177.5,11.756654491668229,31.0
162.49999999999997,-177.5,10.882570836206012,14.0
167.5,-177.5,9.713425564474733,15.0
172.5,-177.5,8.349511885220243,54.0
177.5,-177.5,7.162456192800419,75.0
-177.5,-172.5,6.466017367587528,65.0
-172.5,-172.5,5.794143839134392,54.0
-167.5,-172.5,5.296889894551648,72.0
-162.5,-172.5,4.876512913615628,99.0
-157.5,-172.5,4.4721846948891715,61.0
-152.5,-172.5,4.027780513211459,81.0
-147.5,-172.5,3.6093518697709417,125.0
-142.5,-172.5,3.4653336471413643,62.0
-137.5,-172.5,3.895570698802666,74.0
-132.5,-172.5,5.074705814530917,182.0
-127.50000000000001,-172.5,6.939714941369597,27.0
-122.50000000000001,-172.5,9.17111111121453,7.0
-117.50000000000001,-172.5,11.328708461225693,7.0
-112.5,-172.5,13.068362254171038,13.0
-107.5,-172.5,14.221898584856236,44.0
-102.5,-172.5,14.696207269654353,7.0
-97.5,-172.5,14.402289879959977,4.0
-92.50000000000001,-172.5,13.376914743934828,9.0
-87.5,-172.5,11.951764634348498,53.0
-82.50000000000001,-172.5,10.685039144616145,63.0
-77.5,-172.5,10.066905503531395,32.0
