Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -13492.2858  -13493.0547       0.7689   270.4
0.0500      -13491.9063  -13492.4033       0.4971   174.8
0.1000      -13491.5138  -13492.3340       0.8202   288.4
0.1500      -13491.3193  -13492.1602       0.8409   295.7
0.2000      -13491.2238  -13492.0762       0.8524   299.7
0.2500      -13491.3695  -13492.2539       0.8844   311.0
0.3000      -13491.3713  -13492.0176       0.6462   227.3
0.3500      -13491.2949  -13491.9170       0.6221   218.8
0.4000      -13491.1067  -13492.1846       1.0779   379.0
0.4500      -13491.1496  -13492.1680       1.0184   358.1
0.5000      -13491.0863  -13492.2393       1.1530   405.4
0.5500      -13491.1015  -13492.0957       0.9942   349.6
0.6000      -13491.1471  -13491.8877       0.7406   260.4
0.6500      -13491.1922  -13492.0889       0.8967   315.3
0.7000      -13491.4862  -13492.2783       0.7921   278.6
0.7500      -13491.5384  -13492.3740       0.8357   293.9
0.8000      -13491.4245  -13492.1367       0.7122   250.5
0.8500      -13491.1944  -13492.1309       0.9365   329.3
0.9000      -13491.5705  -13492.1895       0.6190   217.7
0.9500      -13491.2090  -13492.4326       1.2236   430.3
1.0000      -13491.2718  -13492.2021       0.9303   327.1
1.0500      -13491.2191  -13492.3008       1.0817   380.4
1.1000      -13491.3059  -13492.1025       0.7966   280.1
1.1500      -13491.2205  -13491.9805       0.7600   267.3
1.2000      -13491.5216  -13492.1221       0.6004   211.1
1.2500      -13491.2881  -13492.0166       0.7285   256.2
1.3000      -13491.2229  -13492.2139       0.9909   348.5
1.3500      -13491.2058  -13492.1621       0.9563   336.3
1.4000      -13491.4509  -13492.3008       0.8499   298.9
1.4500      -13491.2416  -13492.2188       0.9772   343.6
1.5000      -13491.4625  -13492.2881       0.8256   290.3
1.5500      -13491.3431  -13492.2744       0.9313   327.5
1.6000      -13491.2743  -13491.9844       0.7101   249.7
1.6500      -13491.1038  -13492.1465       1.0427   366.7
1.7000      -13490.9700  -13491.7852       0.8152   286.7
1.7500      -13491.2341  -13492.1787       0.9446   332.2
1.8000      -13491.3521  -13492.2158       0.8637   303.7
1.8500      -13491.1421  -13492.1865       1.0444   367.3
1.9000      -13490.9503  -13492.3057       1.3553   476.6
1.9500      -13491.0074  -13492.1504       1.1430   401.9
2.0000      -13491.2214  -13492.1992       0.9778   343.8
2.0500      -13491.4883  -13492.3379       0.8496   298.8
2.1000      -13491.4930  -13492.2939       0.8010   281.7
2.1500      -13491.3820  -13492.1006       0.7186   252.7
2.2000      -13491.3158  -13492.1055       0.7896   277.7
2.2500      -13491.3534  -13492.3896       1.0362   364.4
2.3000      -13491.0644  -13492.0225       0.9581   336.9
2.3500      -13491.0139  -13491.8857       0.8719   306.6
2.4000      -13491.3127  -13491.7930       0.4803   168.9
2.4500      -13491.2647  -13491.8242       0.5595   196.8
2.5000      -13491.1519  -13491.9531       0.8012   281.7
2.5500      -13491.2011  -13492.1826       0.9815   345.2
2.6000      -13491.2554  -13492.0869       0.8316   292.4
2.6500      -13491.1874  -13491.9717       0.7842   275.8
2.7000      -13490.8699  -13491.8701       1.0002   351.7
2.7500      -13491.2900  -13492.3076       1.0176   357.8
2.8000      -13491.5414  -13492.2881       0.7467   262.6
2.8500      -13491.4707  -13492.3584       0.8877   312.1
2.9000      -13491.7264  -13492.3535       0.6271   220.5
2.9500      -13491.5162  -13492.0488       0.5327   187.3
3.0000      -13491.3602  -13492.2852       0.9249   325.3
3.0500      -13491.4841  -13492.2598       0.7757   272.8
3.1000      -13491.5845  -13492.3574       0.7729   271.8
3.1500      -13491.5463  -13492.4551       0.9088   319.6
3.2000      -13491.5083  -13492.2178       0.7095   249.5
3.2500      -13491.6629  -13492.3281       0.6652   233.9
3.3000      -13491.6719  -13492.3320       0.6601   232.1
3.3500      -13491.2986  -13492.2158       0.9172   322.5
3.4000      -13491.2826  -13491.9502       0.6676   234.8
3.4500      -13491.0270  -13491.9707       0.9437   331.9
3.5000      -13490.7180  -13491.8535       1.1355   399.3
3.5500      -13491.0390  -13491.9844       0.9454   332.4
3.6000      -13491.0965  -13492.0625       0.9660   339.7
3.6500      -13491.2425  -13492.0654       0.8229   289.4
3.7000      -13491.1505  -13492.2588       1.1082   389.7
3.7500      -13491.1280  -13492.0732       0.9453   332.4
3.8000      -13491.2132  -13492.2217       1.0085   354.6
3.8500      -13491.2504  -13492.0381       0.7877   277.0
3.9000      -13491.3331  -13491.9688       0.6356   223.5
3.9500      -13491.2552  -13492.2080       0.9528   335.0
4.0000      -13491.3742  -13492.2666       0.8924   313.8
4.0500      -13491.4996  -13492.3770       0.8774   308.5
4.1000      -13491.1755  -13491.8877       0.7122   250.4
4.1500      -13491.2623  -13492.1387       0.8764   308.2
4.2000      -13491.2357  -13492.2578       1.0221   359.4
4.2500      -13491.2119  -13491.9980       0.7861   276.4
4.3000      -13490.9394  -13492.0137       1.0742   377.8
4.3500      -13490.8280  -13492.1270       1.2990   456.8
4.4000      -13490.8421  -13491.8555       1.0134   356.4
4.4500      -13491.0776  -13491.8340       0.7564   266.0
4.5000      -13491.0813  -13492.1123       1.0310   362.6
4.5500      -13491.2196  -13491.9307       0.7111   250.0
4.6000      -13491.0235  -13491.9775       0.9540   335.5
4.6500      -13491.0608  -13492.1689       1.1082   389.7
4.7000      -13491.0341  -13491.9844       0.9502   334.2
4.7500      -13491.2320  -13492.1455       0.9135   321.2
4.8000      -13491.3304  -13492.2227       0.8922   313.8
4.8500      -13491.3718  -13491.9990       0.6272   220.6
4.9000      -13491.4725  -13492.4922       1.0197   358.6
4.9500      -13491.3167  -13492.1475       0.8308   292.1
5.0000      -13491.1876  -13492.2168       1.0292   361.9
5.0500      -13491.0053  -13492.0635       1.0582   372.1
5.1000      -13491.0545  -13492.1797       1.1252   395.7
5.1500      -13491.2640  -13492.1270       0.8630   303.5
5.2000      -13491.2891  -13492.1309       0.8417   296.0
5.2500      -13491.3507  -13492.1084       0.7577   266.5
5.3000      -13491.3153  -13492.0312       0.7160   251.8
5.3500      -13491.1068  -13492.0430       0.9361   329.2
5.4000      -13491.1678  -13492.2324       1.0647   374.4
5.4500      -13491.0509  -13492.0830       1.0321   362.9
5.5000      -13491.0585  -13492.1787       1.1202   393.9
5.5500      -13491.0910  -13492.1426       1.0516   369.8
5.6000      -13491.0564  -13491.9902       0.9338   328.4
5.6500      -13491.3290  -13492.0586       0.7296   256.6
5.7000      -13491.4074  -13492.0293       0.6219   218.7
5.7500      -13490.9912  -13491.7109       0.7197   253.1
5.8000      -13490.6273  -13491.7266       1.0993   386.6
5.8500      -13491.2966  -13491.9160       0.6194   217.8
5.9000      -13491.3142  -13492.0508       0.7366   259.0
5.9500      -13491.3164  -13492.0098       0.6933   243.8
6.0000      -13491.5345  -13492.1572       0.6227   219.0
6.0500      -13491.4142  -13492.1309       0.7167   252.0
6.1000      -13491.1787  -13492.0137       0.8350   293.6
6.1500      -13491.1871  -13491.9639       0.7768   273.2
6.2000      -13491.3626  -13492.0820       0.7194   253.0
6.2500      -13491.2458  -13492.1562       0.9104   320.2
6.3000      -13491.1966  -13492.1768       0.9802   344.7
6.3500      -13491.1199  -13492.1084       0.9885   347.6
6.4000      -13491.3068  -13492.2383       0.9315   327.6
6.4500      -13491.0313  -13491.9277       0.8964   315.2
6.5000      -13491.2280  -13492.2119       0.9839   346.0
6.5500      -13491.3433  -13492.2822       0.9389   330.2
6.6000      -13491.2868  -13492.4521       1.1654   409.8
6.6500      -13491.3335  -13492.2373       0.9038   317.8
6.7000      -13491.2181  -13492.2080       0.9899   348.1
6.7500      -13491.3746  -13492.1338       0.7592   267.0
6.8000      -13491.4121  -13492.1152       0.7031   247.2
6.8500      -13491.5943  -13492.1992       0.6049   212.7
6.9000      -13491.2882  -13491.9170       0.6288   221.1
6.9500      -13491.2241  -13491.8672       0.6431   226.1
7.0000      -13491.0685  -13492.1523       1.0838   381.1
7.0500      -13490.9793  -13492.3555       1.3762   483.9
7.1000      -13491.2458  -13492.3301       1.0843   381.3
7.1500      -13491.1305  -13492.0566       0.9262   325.7
7.2000      -13490.8627  -13491.9580       1.0954   385.2
7.2500      -13490.7896  -13491.8516       1.0620   373.5
7.3000      -13490.8974  -13491.8867       0.9893   347.9
7.3500      -13490.8259  -13492.0098       1.1838   416.3
7.4000      -13490.9814  -13492.1699       1.1885   417.9
7.4500      -13491.0729  -13492.1143       1.0414   366.2
7.5000      -13490.9415  -13492.0176       1.0761   378.4
7.5500      -13491.1241  -13491.8818       0.7577   266.5
7.6000      -13490.9731  -13491.9639       0.9908   348.4
7.6500      -13490.8310  -13491.8311       1.0000   351.7
7.7000      -13491.3101  -13492.3076       0.9976   350.8
7.7500      -13491.3365  -13492.2412       0.9047   318.1
7.8000      -13491.6259  -13492.3916       0.7657   269.3
7.8500      -13491.2664  -13492.2197       0.9534   335.2
7.9000      -13491.1441  -13492.2598       1.1157   392.3
7.9500      -13491.4664  -13492.4785       1.0121   355.9
8.0000      -13491.1860  -13492.1406       0.9547   335.7
8.0500      -13491.5216  -13492.3564       0.8349   293.6
8.1000      -13491.3813  -13492.1885       0.8071   283.8
8.1500      -13491.3303  -13492.2656       0.9353   328.9
8.2000      -13491.4546  -13492.2451       0.7905   278.0
8.2500      -13491.3507  -13492.1250       0.7743   272.3
8.3000      -13491.2094  -13492.0840       0.8746   307.5
8.3500      -13491.3535  -13492.1689       0.8154   286.7
8.4000      -13491.4931  -13492.3428       0.8496   298.8
8.4500      -13491.4394  -13492.2236       0.7842   275.8
8.5000      -13491.6917  -13492.4141       0.7224   254.0
8.5500      -13491.5175  -13492.2725       0.7549   265.5
8.6000      -13491.2699  -13492.2109       0.9410   330.9
8.6500      -13491.2466  -13492.2148       0.9683   340.5
8.7000      -13491.2594  -13492.2051       0.9457   332.5
8.7500      -13491.4021  -13492.3828       0.9807   344.9
8.8000      -13491.4696  -13492.5146       1.0450   367.5
8.8500      -13491.5829  -13492.5488       0.9659   339.7
8.9000      -13491.3308  -13492.1738       0.8431   296.5
8.9500      -13491.0314  -13491.8486       0.8173   287.4
9.0000      -13491.3102  -13492.1748       0.8646   304.0
9.0500      -13491.1869  -13492.0781       0.8912   313.4
9.1000      -13491.2404  -13492.5703       1.3299   467.7
9.1500      -13491.2419  -13492.3154       1.0736   377.5
9.2000      -13491.0997  -13492.0273       0.9276   326.2
9.2500      -13491.2655  -13492.2676       1.0021   352.4
9.3000      -13491.3730  -13492.1240       0.7511   264.1
9.3500      -13491.4092  -13492.1162       0.7070   248.6
9.4000      -13491.6635  -13492.5342       0.8707   306.2
9.4500      -13491.6572  -13492.3877       0.7305   256.9
9.5000      -13491.5213  -13492.2979       0.7766   273.1
9.5500      -13491.8404  -13492.3428       0.5024   176.7
9.6000      -13491.4846  -13492.2822       0.7976   280.5
9.6500      -13491.3590  -13492.2275       0.8685   305.4
9.7000      -13491.3353  -13492.3994       1.0641   374.2
9.7500      -13491.3363  -13492.2451       0.9088   319.6
9.8000      -13491.6707  -13492.4150       0.7443   261.7
9.8500      -13491.3483  -13492.1494       0.8011   281.7
9.9000      -13491.2252  -13491.9658       0.7407   260.5
9.9500      -13491.3760  -13492.2920       0.9160   322.1
10.0000     -13491.1389  -13492.2627       1.1238   395.2
10.0500     -13491.5411  -13492.1582       0.6171   217.0
10.1000     -13491.5153  -13492.2822       0.7669   269.7
10.1500     -13491.3648  -13492.1855       0.8207   288.6
10.2000     -13491.7940  -13492.5488       0.7548   265.4
10.2500     -13491.8191  -13492.4570       0.6380   224.3
10.3000     -13491.6735  -13492.2891       0.6156   216.5
10.3500     -13491.4881  -13492.1992       0.7111   250.1
10.4000     -13491.3622  -13492.1230       0.7608   267.5
10.4500     -13491.4149  -13492.3857       0.9708   341.4
