mp_id,bulk_modulus_vrh,shear_modulus_vrh
mp-1190680,14.053,4.908
mp-2215,77.59,33.498
mp-27194,9.95,1.6280000000000001
mp-541449,12.438,8.261
mp-1002207,361.49,59.704
mp-567305,65.0,44.645
mp-13363,203.951,59.761
mp-7739,56.113,23.869
mp-631551,119.44,1.572
mp-983567,22.937,13.541
mp-11564,118.772,47.637
mp-12734,109.306,61.07
mp-6319,64.198,40.586
mp-977403,12.052,5.181
mp-15617,290.926,196.282
mp-900,138.031,26.75
mp-1105839,203.871,115.136
mp-2646,42.369,17.743
mp-972960,86.527,12.239
mp-23339,27.038,16.231
mp-10740,94.772,50.133
mp-23406,8.616,4.775
mp-1004526,176.693,76.921
mp-1413688,39.182,13.302
mp-631388,157.642,17.362
mp-7285,176.825,75.969
mp-13150,94.626,71.023
mp-2542,208.037,156.717
mp-754912,109.67,25.035
mp-9954,127.118,65.141
mp-474,98.282,38.227
mp-677105,58.829,26.47
mp-1007855,193.048,95.457
mp-999266,392.349,212.91
mp-510441,121.073,39.147
mp-570683,67.825,21.183
mp-22914,56.095,10.104
mp-631412,167.909,24.724
mp-542106,126.402,39.637
mp-794,43.579,23.178
mp-8180,39.77,22.996
mp-4999,111.275,67.306
mp-669546,149.807,62.629
mp-753506,60.947,36.004
mp-1018699,46.265,37.428
mp-12750,68.822,24.776
mp-825,252.231,96.302
mp-20340,109.129,53.655
mp-866020,50.682,25.265
mp-9075,84.837,32.065
mp-505540,176.642,76.463
mp-1013555,47.628,39.085
mp-3370,164.271,91.448
mp-1534,93.243,42.129
mp-9295,34.708,19.87
mp-2540,254.937,125.024
mp-22967,25.291,16.303
mp-866115,193.549,99.772
mp-20049,71.576,51.439
mp-541487,22.482,14.331
mp-974464,162.958,27.22
mp-974990,3.088,0.512
mp-631523,201.037,21.798000000000002
mp-22631,246.43,87.348
mp-8401,62.499,36.041
mp-866139,189.33,65.793
mp-10139,83.179,68.655
mp-1743,152.527,85.16
mp-21023,157.86,116.018
mp-9845,21.936,11.138
mp-1085,491.593,23.809
mp-980004,93.932,39.1
mp-9325,51.62,31.792
mp-2661,44.145,30.984
mp-568430,93.554,30.235
mp-546500,27.617,12.586
mp-764648,140.834,93.619
mp-863677,78.335,25.855
mp-864770,265.254,131.074
mp-540839,9.811,4.607
mp-28,39.338,33.95
mp-370,71.97,33.755
mp-39681,103.839,32.797
mp-753490,127.282,71.103
mp-21440,189.979,93.389
mp-971744,183.266,51.41
mp-567181,161.195,47.288
mp-9771,138.601,58.663
mp-998307,33.583,17.108
mp-505804,90.931,51.886
mp-2784,19.229,11.389
mp-569857,16.217,9.422
mp-1032,248.908,179.27
mp-1016872,172.529,26.92
mp-11430,62.159,35.969
mp-23085,45.518,22.391
mp-989554,135.546,49.111
mp-5916,106.765,58.089
mp-865433,74.058,20.648
mp-4738,64.503,39.785
mp-19782,76.971,43.513
mp-864840,218.128,77.859
mp-23281,3.21,2.106
mp-864924,58.214,23.305
mp-3411,34.649,15.825
mp-13914,154.032,97.165
mp-16290,194.302,54.987
mp-21260,95.179,53.266
mp-864981,99.317,32.495
mp-1016841,159.867,52.316
mp-1219,35.919,24.771
mp-3960,137.995,54.77
mp-541627,18.725,8.879
mp-30434,25.239,17.206
mp-1018154,111.5,44.974
mp-755089,154.271,77.349
mp-16271,36.538,0.834
mp-976968,104.533,38.431
mp-10021,55.429,46.698
mp-4823,47.04,22.117
mp-1009792,269.305,63.474
mp-2098,192.391,31.442
mp-1069604,103.918,47.82
mp-568940,154.034,82.948
mp-865469,193.143,78.85
mp-1280,65.928,20.06
mp-1597,206.152,92.078
mp-1016928,230.404,135.037
mp-1018048,135.707,77.026
mp-21237,156.743,83.056
mp-1029374,144.299,90.866
mp-530274,184.943,107.776
mp-12524,158.714,171.783
mp-9973,268.991,231.992
mp-27989,3.927,2.16
mp-1910,146.347,65.083
mp-22260,112.507,71.503
mp-925,316.753,162.007
mp-989562,33.191,8.613
mp-27762,21.314,16.394
mp-15624,27.607,19.874
mp-1021489,202.01,102.231
mp-15819,114.667,64.797
mp-30344,43.023,15.372
mp-1226242,301.097,201.556
mp-867356,308.589,192.283
mp-864987,168.969,55.119
mp-1089,294.735,163.457
mp-8013,11.553,4.906
mp-558110,5.928,13.215
mp-973174,52.516,21.232
mp-864765,43.786,17.57
mp-6947,272.328,201.767
mp-20913,90.78,13.408
mp-10991,96.439,47.451
mp-132,17.349,10.874
mp-11181,45.548,30.749
mp-552738,68.302,37.095
mp-4026,55.286,34.149
mp-999201,93.51,13.769
mp-37906,98.683,82.964
mp-20563,76.172,35.045
mp-2354,118.442,68.833
mp-1007693,288.028,105.077
mp-16919,85.427,45.222
mp-8126,93.076,60.168
mp-1016840,202.882,47.226
mp-8399,53.871,24.043
mp-1025067,157.22,96.466
mp-21847,9.764,10.135
mp-1639,373.617,379.418
mp-757100,69.93,19.302
mp-2959,46.567,22.518
mp-10457,169.282,93.146
mp-35717,46.015,30.614
mp-21910,32.77,10.085
mp-971996,84.713,46.093
mp-1025262,110.881,72.64
mp-7927,268.181,161.799
mp-979258,65.115,28.297
mp-573316,22.171,10.872
mp-20206,65.84,31.631
mp-16045,163.16,61.104
mp-1189451,310.237,292.421
mp-1019097,165.345,58.095
mp-866204,66.613,21.006
mp-1095591,85.104,48.429
mp-137,53.667,42.715
mp-2210,105.385,29.697
mp-975664,69.174,22.539
mp-1216295,354.771,132.178
mp-27418,46.429,18.352
mp-8911,46.958,15.031
mp-1547,120.17,60.39
mp-866120,66.273,29.296
mp-1359,258.818,109.754
mp-2639,21.088,11.725
mp-867170,151.641,153.628
mp-863703,50.105,19.158
mp-12532,36.776,13.319
mp-3536,182.861,98.235
mp-839,186.748,75.505
mp-10134,147.36,23.258
mp-733,37.861,28.881
mp-1039123,18.586,0.454
mp-21873,105.659,57.182
mp-999258,81.341,32.765
mp-1019359,78.808,39.448
mp-27861,177.68,97.153
mp-864787,56.084,47.324
mp-862692,43.612,18.839
mp-541895,36.443,20.662
mp-972504,56.309,31.189
mp-865895,203.806,74.202
mp-999490,45.768,27.774
mp-11418,72.033,43.497
mp-569511,120.245,37.576
mp-29025,26.516,16.903
mp-20257,87.148,28.112
mp-1008617,51.549,17.035
mp-999117,343.828,144.403
mp-978543,52.76,14.781
mp-4354,38.486,13.208
mp-12737,201.495,52.887
mp-30507,231.621,101.532
mp-982558,142.29,64.149
mp-5639,173.178,116.187
mp-1078,39.906,23.145
mp-1500,41.171,24.774
mp-1025350,22.211,63.614
