mp_id,kappa_TOT_ave
mp-2472,9.9150521822
mp-2542,292.8382777372
mp-8884,15.9968657987
mp-1541,97.38758661
mp-23295,1.9815427535999999
mp-23703,21.4309326273
mp-1183441,64.3780503044
mp-8883,29.0603220017
mp-22913,2.8285934151000003
mp-1265,47.9311417779
mp-24721,4.3058268771
mp-1008559,372.6255636348
mp-406,6.8907946344
mp-10695,34.0310414009
mp-682,23.0547840902
no-mp-4,122.1757572076
mp-569346,6.688259181
mp-13033,16.0828099274
mp-2172,88.3700918047
mp-19717,0.9840985952
mp-463,6.8459781466
mp-8882,98.5531063268
mp-966800,76.1461728488
mp-1156,35.13494637
mp-22905,3.6507214231000003
mp-1672,27.2760652339
mp-8880,78.6923314277
mp-10044,1257.6942439325
mp-20305,21.8215575335
mp-2201,0.8745133452
mp-23870,15.6951250931
no-mp-3,80.6114593702
mp-8062,367.8729380806
mp-1190,15.816454089
mp-22903,1.7877622596
mp-1500,6.0901321725
mp-1007661,10.5468834188
mp-422,146.442341797
mp-22895,7.0022529188
mp-23193,6.1454225867
mp-7631,376.5863720165
mp-380,15.4052866223
no-mp-2,14.8161515467
mp-1700,217.6469054442
mp-1784,1.6047009309
mp-22862,7.2135219769
mp-580941,1.6904950858
mp-20411,97.9891301539
mp-22914,1.5135513179
mp-22867,3.1575877542
mp-1070,10.8100027006
mp-2653,569.5447480681
mp-252,80.1883180573
mp-2534,32.1448080207
mp-24084,8.293196523
mp-1519,8.9394187128
mp-1018059,23.7022006229
mp-2691,11.6639986101
mp-1639,655.9004118265
mp-1415,15.2336501762
mp-23268,1.6160914996
mp-2133,51.8763318106
mp-2490,92.5424720161
mp-20351,79.7003059534
mp-1132,7.9195402999999995
mp-2605,23.5856646597
mp-12779,5.9008080769
mp-561286,37.7410866535
mp-2624,79.980430291
mp-1138,14.1450669455
mp-22922,0.5274196916
mp-672,19.4747065905
mp-804,180.3652467142
mp-1986,53.9130789556
mp-1000,8.7759194887
mp-22916,2.9518366677000003
mp-24093,7.9492247427
mp-661,234.366176764
mp-1479,401.5106810267
mp-22899,1.4015076284
mp-11718,3.1176545304
no-mp-1,2.3618991368
mp-2469,21.5979457185
mp-830,162.877097618
mp-23259,1.8282087347
mp-1342,3.0410032479
mp-1018100,58.8636755969
mp-1778,358.2733475886
mp-2176,18.7121581187
mp-23251,2.5536899738
mp-22898,1.4034656543000001
mp-984718,1102.8708531262
mp-1007652,20.3818542601
mp-22925,2.3537491945
mp-1253,8.9082535978
mp-22205,117.0512939531
mp-1184046,1.2476976852
mp-20012,13.3892675589
mp-23231,0.43666890880000003
mp-21276,1.4149821156
mp-1039,12.9729630656
mp-8881,75.2686188056
mp-1550,86.3080903308
