entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057537078857422,-4.5143842697143555,4
mp-1018045-GGA,Rb,-3.7895870208740234,-0.9473967552185059,4
mp-1063817-GGA,Rb,-3.7351274490356445,-0.9337818622589111,4
mp-1080106-GGA,Ge,-34.99958801269531,-4.374948501586914,8
mp-1091415-GGA,Ge,-36.11216735839844,-4.514020919799805,8
mp-1120721-GGA,RbGeBr3,-31.5811767578125,-3.15811767578125,10
mp-1120813-GGA,Br,-49.43364715576172,-1.5448014736175537,32
mp-1179656-GGA,Rb,-7.620407581329346,-0.9525509476661682,8
mp-1179802-GGA,Rb,-7.560125827789307,-0.9450157284736633,8
mp-1184708-GGA,GeBr2,-18.772783279418945,-3.1287972132364907,6
mp-1186853-GGA,Rb,-19.01311492919922,-0.950655746459961,20
mp-1186899-GGA,Rb,-27.412561416625977,-0.945260738504344,29
mp-1198022-GGA,Ge,-151.8768310546875,-4.4669656192555145,34
mp-1199056-GGA,RbGe,-93.35686492919922,-2.9174020290374756,32
mp-1209551-GGA,Rb4Ge23,-219.36305236816406,-4.062278747558594,54
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-128-GGA,Ge,-34.81613540649414,-4.352016925811768,8
mp-137-GGA,Ge,-52.05693817138672,-4.3380781809488935,12
mp-1888-GGA,RbGe,-187.76779174804688,-2.9338717460632324,64
mp-22867-GGA,RbBr,-6.109855651855469,-3.0549278259277344,2
mp-23154-GGA,Br,-6.452109336853027,-1.6130273342132568,4
mp-23303-GGA,RbBr,-5.992895126342773,-2.9964475631713867,2
mp-28558-GGA,RbGeBr3,-63.307247161865234,-3.1653623580932617,20
mp-28589-GGA,Rb3Ge2Br7,-151.1565399169922,-3.149094581604004,48
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.90534210205078,-3.162722587585449,24
mp-567604-GGA,GeBr4,-56.984642028808594,-2.8492321014404296,20
mp-569688-GGA,Rb,-24.614097595214844,-0.9466960613544171,26
mp-571246-GGA,GeBr4,-113.9292221069336,-2.84823055267334,40
mp-604321-GGA,Rb,-3.838777542114258,-0.9596943855285645,4
mp-639736-GGA,Rb,-1.8998287916183472,-0.9499143958091736,2
mp-639755-GGA,Rb,-0.9540330171585083,-0.9540330171585083,1
mp-640416-GGA,Rb,-7.562755107879639,-0.9453443884849548,8
mp-656615-GGA,Rb,-7.6303391456604,-0.95379239320755,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-862769-GGA,RbGe3,-29.05725860595703,-3.632157325744629,8
mp-867126-GGA,Rb,-2.8795313835144043,-0.9598437945048014,3
mp-974620-GGA,Rb,-7.522713661193848,-0.940339207649231,8
mp-975129-GGA,Rb,-1.9191659688949585,-0.9595829844474792,2
mp-975204-GGA,Rb,-1.9202836751937866,-0.9601418375968933,2
mp-975411-GGA,RbBr3,-8.299503326416016,-2.074875831604004,4
mp-975519-GGA,Rb,-0.9599875211715698,-0.9599875211715698,1
mp-998864-GGA,Br,-1.5280042886734009,-1.5280042886734009,1
