chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3GeRb,0.835849940776825,https://elagente.ca/grafico/ConceptualAtoms_2a2cb72d-ad50-4d97-86bf-43638788bfd4,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a9aeec11-a80d-4532-9121-2952934252e2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_26101fb9/output.json,0.1,0.01963195800781259,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_87be54de-8ba0-4c24-8ad5-0023775e85ee,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2a2cb72d-ad50-4d97-86bf-43638788bfd4,Br3GeRb
Br3GeRb,0.8106605410575867,https://elagente.ca/grafico/ConceptualAtoms_38d0310d-1ec1-49d0-b657-aa4fb7ab05f4,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4e99e603-de76-48ef-aec1-e28e24057991,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_e30ae7a0/output.json,0.1,0.019511985778808416,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_20c137e0-3669-4bff-9fb2-b60f40acae24,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_38d0310d-1ec1-49d0-b657-aa4fb7ab05f4,Br3GeRb
Br3GeRb,0.7557783126831055,https://elagente.ca/grafico/ConceptualAtoms_39284a1b-b3f9-49d4-b934-220a1feb902a,-7.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7f1d14e0-9199-4e92-aa1a-23ec983260a7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_a626524b/output.json,0.1,0.01994113922119123,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_31185094-43fc-48b7-925a-5e47fba471b6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_39284a1b-b3f9-49d4-b934-220a1feb902a,Br3GeRb
Br3GeRb,1.19288170337677,https://elagente.ca/grafico/ConceptualAtoms_5c0966b7-39bd-4696-ad64-2b7c0e41705d,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_be7a1c50-a425-49ec-9072-07e536af533b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_af97b485/output.json,0.1,0.017881584167480646,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c6fd816e-aa17-4aef-a638-5c5af44d8487,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5c0966b7-39bd-4696-ad64-2b7c0e41705d,Br3GeRb
Br3GeRb,0.9289109706878662,https://elagente.ca/grafico/ConceptualAtoms_67559c01-0d5f-4ba8-a31b-38a97a706eb4,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ef3d82ad-2226-4164-a2df-f6b911e2c99e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_7992f795/output.json,0.1,0.01829814910888672,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_64449ea9-4ddd-4aad-ab06-66da55c2beec,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_67559c01-0d5f-4ba8-a31b-38a97a706eb4,Br3GeRb
Br3GeRb,1.489304780960083,https://elagente.ca/grafico/ConceptualAtoms_781f01c9-bd20-42c4-b5cd-4214a3a473d3,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b5d9ebfb-40b3-4360-b765-ca0ee75355fb,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_33dcac23/output.json,0.1,0.016350746154785156,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ad6b5538-7242-49a7-8389-70cbfc5fd23a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_781f01c9-bd20-42c4-b5cd-4214a3a473d3,Br3GeRb
Br3GeRb,0.8164762258529663,https://elagente.ca/grafico/ConceptualAtoms_86415ada-9e3c-4270-b449-124b59ae620d,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a5c32512-a813-4c74-8f2f-18aecabdec7d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_18f476ed/output.json,0.1,0.019793891906738192,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_827e33fb-d3fd-47a1-bfab-b4d91b089c1a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_86415ada-9e3c-4270-b449-124b59ae620d,Br3GeRb
Br3GeRb,1.4087879657745361,https://elagente.ca/grafico/ConceptualAtoms_aa19a781-21b9-4ca9-a294-2fabf8dded40,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_befa7046-e6fb-44d0-a303-11afc3614615,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_e9b8c5f7/output.json,0.1,0.016543579101562678,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f0e9774d-017f-4ec1-8e06-db3dde4ad377,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_aa19a781-21b9-4ca9-a294-2fabf8dded40,Br3GeRb
Br3GeRb,0.5720117688179016,https://elagente.ca/grafico/ConceptualAtoms_e98dcf9c-a8ed-4006-a10e-413c2e96dd87,-8.495590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_17ef6a2d-37eb-4b51-a2a0-43461ae5d02e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_8c7c3b8e/output.json,0.1,0.02431221008300799,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d9423f46-cddb-452b-9caf-0c0330b30ad5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e98dcf9c-a8ed-4006-a10e-413c2e96dd87,Br3GeRb
Br3GeRb,1.242037296295166,https://elagente.ca/grafico/ConceptualAtoms_ea3a36ae-0036-43e0-aa69-bf9aa16b2e89,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b7038901-72fe-4438-922d-b2df699ff8c5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_7V0TN219UPsOSH45T4Eh7bnE/structures/Br3GeRb_a58a294a/output.json,0.1,0.017794799804687678,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7e4934ba-2b08-4801-a39e-3e5a7f10cdc3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2c49fe77-6ee4-4b02-ac85-dd7dc4b2c653,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ea3a36ae-0036-43e0-aa69-bf9aa16b2e89,Br3GeRb
