entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.05768585205078,-4.514421463012695,4
mp-1018045-GGA,Rb,-3.790119171142578,-0.9475297927856445,4
mp-1063817-GGA,Rb,-3.7357890605926514,-0.9339472651481628,4
mp-1080106-GGA,Ge,-34.99950408935547,-4.374938011169434,8
mp-1091415-GGA,Ge,-36.112266540527344,-4.514033317565918,8
mp-1179656-GGA,Rb,-7.625159740447998,-0.9531449675559998,8
mp-1179802-GGA,Rb,-7.5599188804626465,-0.9449898600578308,8
mp-1180981-GGA,I,-1.4367064237594604,-1.4367064237594604,1
mp-1186853-GGA,Rb,-19.01613426208496,-0.950806713104248,20
mp-1186899-GGA,Rb,-27.41176986694336,-0.945233443687702,29
mp-1198022-GGA,Ge,-151.87734985351562,-4.466980878044577,34
mp-1199056-GGA,RbGe,-93.35649871826172,-2.9173905849456787,32
mp-1209551-GGA,Rb4Ge23,-219.36279296875,-4.0622739438657405,54
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-128-GGA,Ge,-34.816009521484375,-4.352001190185547,8
mp-137-GGA,Ge,-52.05718994140625,-4.3380991617838545,12
mp-1540935-GGA,GeI2,-25.730566024780273,-2.8589517805311413,9
mp-1888-GGA,RbGe,-187.7680206298828,-2.933875322341919,64
mp-22903-GGA,RbI,-5.473342418670654,-2.736671209335327,2
mp-23153-GGA,I,-5.968945503234863,-1.4922363758087158,4
mp-23266-GGA,GeI4,-95.86885833740234,-2.3967214584350587,40
mp-23302-GGA,RbI,-5.3789825439453125,-2.6894912719726562,2
mp-27922-GGA,GeI2,-25.708953857421875,-2.8565504286024304,9
mp-28328-GGA,RbI3,-34.56977081298828,-2.1606106758117676,16
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-567677-GGA,GeI2,-8.251755714416504,-2.7505852381388345,3
mp-567855-GGA,RbGeI3,-56.132415771484375,-2.806620788574219,20
mp-569688-GGA,Rb,-24.6135196685791,-0.9466738334068885,26
mp-571458-GGA,RbGeI3,-13.882909774780273,-2.776581954956055,5
mp-601148-GGA,I,-1.435603380203247,-1.435603380203247,1
mp-604321-GGA,Rb,-3.8390097618103027,-0.9597524404525757,4
mp-639736-GGA,Rb,-1.9001439809799194,-0.9500719904899597,2
mp-639751-GGA,I,-1.4924547672271729,-1.4924547672271729,1
mp-639755-GGA,Rb,-0.9540331363677979,-0.9540331363677979,1
mp-640416-GGA,Rb,-7.562665939331055,-0.9453332424163818,8
mp-656615-GGA,Rb,-7.630953788757324,-0.9538692235946655,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-862769-GGA,RbGe3,-29.057079315185547,-3.6321349143981934,8
mp-867126-GGA,Rb,-2.879168748855591,-0.9597229162851969,3
mp-974620-GGA,Rb,-7.523212909698486,-0.9404016137123108,8
mp-975129-GGA,Rb,-1.9187365770339966,-0.9593682885169983,2
mp-975204-GGA,Rb,-1.9203622341156006,-0.9601811170578003,2
mp-975519-GGA,Rb,-0.9599875211715698,-0.9599875211715698,1
