entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057720184326172,-4.514430046081543,4
mp-1008394-GGA,Cl2,-7.310517311096191,-1.8276293277740479,4
mp-1018045-GGA,Rb,-3.7887191772460938,-0.9471797943115234,4
mp-1063817-GGA,Rb,-3.735546827316284,-0.933886706829071,4
mp-1080106-GGA,Ge,-34.999542236328125,-4.374942779541016,8
mp-1091415-GGA,Ge,-36.112586975097656,-4.514073371887207,8
mp-1120729-GGA,RbGeCl3,-70.14508056640625,-3.5072540283203124,20
mp-1179656-GGA,Rb,-7.625287055969238,-0.9531608819961548,8
mp-1179802-GGA,Rb,-7.559934616088867,-0.9449918270111084,8
mp-1186853-GGA,Rb,-19.015666961669922,-0.9507833480834961,20
mp-1186899-GGA,Rb,-27.412202835083008,-0.945248373623552,29
mp-1198022-GGA,Ge,-151.8771209716797,-4.466974146225873,34
mp-1199056-GGA,RbGe,-93.35690307617188,-2.917403221130371,32
mp-1209551-GGA,Rb4Ge23,-219.36117553710938,-4.062243991427952,54
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-128-GGA,Ge,-34.816436767578125,-4.352054595947266,8
mp-137-GGA,Ge,-52.05703353881836,-4.338086128234863,12
mp-1888-GGA,RbGe,-187.76792907714844,-2.9338738918304443,64
mp-22848-GGA,Cl2,-7.317361354827881,-1.8293403387069702,4
mp-23295-GGA,RbCl,-6.665188789367676,-3.332594394683838,2
mp-23299-GGA,RbCl,-6.54088020324707,-3.270440101623535,2
mp-27369-GGA,RbGeCl3,-35.19500732421875,-3.519500732421875,10
mp-29688-GGA,Ge3Cl8,-150.460205078125,-3.4195501154119317,44
mp-30086-GGA,GeCl4,-66.1727523803711,-3.3086376190185547,20
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-569688-GGA,Rb,-24.613874435424805,-0.9466874782855694,26
mp-570778-GGA,Cl2,-29.16785430908203,-1.822990894317627,16
mp-604321-GGA,Rb,-3.8390283584594727,-0.9597570896148682,4
mp-639736-GGA,Rb,-1.899893045425415,-0.9499465227127075,2
mp-639755-GGA,Rb,-0.9540330171585083,-0.9540330171585083,1
mp-640416-GGA,Rb,-7.562814712524414,-0.9453518390655518,8
mp-656615-GGA,Rb,-7.630471706390381,-0.9538089632987976,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-862769-GGA,RbGe3,-29.05767059326172,-3.632208824157715,8
mp-867126-GGA,Rb,-2.879390239715576,-0.9597967465718588,3
mp-974620-GGA,Rb,-7.522756099700928,-0.940344512462616,8
mp-975129-GGA,Rb,-1.9191659688949585,-0.9595829844474792,2
mp-975204-GGA,Rb,-1.9203355312347412,-0.9601677656173706,2
mp-975519-GGA,Rb,-0.9599875211715698,-0.9599875211715698,1
