chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3GeRb,1.983199954032898,https://elagente.ca/grafico/ConceptualAtoms_0b320d0b-e9ff-414b-a84e-9ebae6e694d1,-6.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_53dabca5-117c-4e15-a787-3c823df270a8,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_0db06de3/output.json,0.1,0.03233795166015785,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2d36dd39-5eb9-48ae-8c78-01622e179407,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0b320d0b-e9ff-414b-a84e-9ebae6e694d1,Cl3GeRb
Cl3GeRb,2.240842342376709,https://elagente.ca/grafico/ConceptualAtoms_221045d9-d6de-4e2f-a28e-3ea2b291352d,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_8562121a-a4ce-4811-af1b-1bd89c1a285c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_5ada7c23/output.json,0.1,0.03134346008300959,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ed1e3a20-7f56-4652-ae67-b2531d0e74fa,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_221045d9-d6de-4e2f-a28e-3ea2b291352d,Cl3GeRb
Cl3GeRb,2.129840850830078,https://elagente.ca/grafico/ConceptualAtoms_2444f95c-4bba-4f59-9a5a-543e18f37c31,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_87be3ecd-2500-492c-88e1-1f9f2977ecc8,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_3493e2e1/output.json,0.1,0.031434631347658115,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1912cea5-cadf-4fb7-9c9f-e2b86ca6e32f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2444f95c-4bba-4f59-9a5a-543e18f37c31,Cl3GeRb
Cl3GeRb,2.105227470397949,https://elagente.ca/grafico/ConceptualAtoms_498d3249-5736-4001-923d-85199a8fc3cc,-6.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_938ddfc8-8ba2-4e0e-8467-82a5b0e0c162,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_0fb5422d/output.json,0.1,0.03165359497070508,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_716ea1d2-c095-441c-a420-bd92b4c4363b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_498d3249-5736-4001-923d-85199a8fc3cc,Cl3GeRb
Cl3GeRb,2.4183473587036133,https://elagente.ca/grafico/ConceptualAtoms_59713866-2f17-4a4b-a4b7-090dede21e7a,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_08465dc0-9d44-4e29-b9a2-a9ba086aeab6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_9a38a8a5/output.json,0.1,0.030048751831056375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d29af3f5-569a-4ce7-b263-55b96fb80591,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_59713866-2f17-4a4b-a4b7-090dede21e7a,Cl3GeRb
Cl3GeRb,2.233686685562134,https://elagente.ca/grafico/ConceptualAtoms_86748286-afa6-4782-aaa0-2bc33bbfbe02,-6.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e92cb24c-45e3-4baa-b4f5-06beade08ff2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_380520db/output.json,0.1,0.03110275268554874,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a548a344-19f8-4680-a17b-a8ea9828af60,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_86748286-afa6-4782-aaa0-2bc33bbfbe02,Cl3GeRb
Cl3GeRb,2.2788491249084473,https://elagente.ca/grafico/ConceptualAtoms_a04b3cab-56d2-4727-8871-9bab748bf51d,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e0c0189b-ba38-4e61-a794-a7b09067aac6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_3e695cb1/output.json,0.1,0.030121612548829724,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5d29ad9d-925f-4c95-a46c-ae708d9f62fe,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a04b3cab-56d2-4727-8871-9bab748bf51d,Cl3GeRb
Cl3GeRb,2.2535042762756348,https://elagente.ca/grafico/ConceptualAtoms_a9684f44-549b-492d-b809-f891cee0280a,-6.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_096e19e7-3a8f-4ec5-b02b-5b8a197d3855,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_b933b6ad/output.json,0.1,0.03024826049804874,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fd66a52d-6f7c-4abf-b81c-791222c74a59,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a9684f44-549b-492d-b809-f891cee0280a,Cl3GeRb
Cl3GeRb,2.1238150596618652,https://elagente.ca/grafico/ConceptualAtoms_b84f0aae-0d9f-4649-a887-ae6f0f5d9dd8,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b00393d0-6dd2-412a-b835-e5b49dd62f32,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_41aa25ef/output.json,0.1,0.03150024414062669,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_55691a4f-6eec-4cf5-b899-a5b7813e3546,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b84f0aae-0d9f-4649-a887-ae6f0f5d9dd8,Cl3GeRb
Cl3GeRb,2.012322187423706,https://elagente.ca/grafico/ConceptualAtoms_bdb39ebb-1442-4713-9b75-1b706a8b0fdb,-6.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3223da32-9148-4bc7-93e9-39fbcb806d19,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_UbO27eN0WS4EORprBRcYYA08/structures/Cl3GeRb_6fa775e1/output.json,0.1,0.03144760131836133,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c91ed61c-c246-4660-9f87-d4a7e55c16b0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d0318f39-1d78-4d4d-8c95-dc6cacbac453,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bdb39ebb-1442-4713-9b75-1b706a8b0fdb,Cl3GeRb
