entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057687759399414,-4.5144219398498535,4
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1068966-GGA,K,-4.910143852233887,-0.9820287704467774,5
mp-1078640-GGA,K,-7.907994270324707,-0.9884992837905884,8
mp-1080043-GGA,K,-8.124265670776367,-1.015533208847046,8
mp-1080106-GGA,Ge,-34.99964904785156,-4.374956130981445,8
mp-1091415-GGA,Ge,-36.11235046386719,-4.514043807983398,8
mp-1120813-GGA,Br,-49.43369674682617,-1.5448030233383179,32
mp-1180961-GGA,K,-2.0296199321746826,-1.0148099660873413,2
mp-1180991-GGA,K,-5.001706123352051,-1.0003412246704102,5
mp-1184708-GGA,GeBr2,-18.772478103637695,-3.1287463506062827,6
mp-1184755-GGA,K,-2.1151504516601562,-1.0575752258300781,2
mp-1184764-GGA,K,-3.173567771911621,-1.0578559239705403,3
mp-1184804-GGA,K,-8.443355560302734,-1.0554194450378418,8
mp-1184808-GGA,K,-8.320980072021484,-1.0401225090026855,8
mp-1184905-GGA,K,-20.905582427978516,-1.0452791213989259,20
mp-1185135-GGA,KBr3,-17.134963989257812,-2.1418704986572266,8
mp-1185201-GGA,K,-30.260652542114258,-1.0434707773142848,29
mp-1196998-GGA,K3Ge17,-162.68601989746094,-4.067150497436524,40
mp-1198022-GGA,Ge,-151.87710571289062,-4.466973697437959,34
mp-1199937-GGA,K,-83.0806655883789,-1.0256872294861594,81
mp-1201758-GGA,KGe,-95.83866119384766,-2.9949581623077393,32
mp-128-GGA,Ge,-34.816192626953125,-4.352024078369141,8
mp-137-GGA,Ge,-52.05702590942383,-4.338085492451985,12
mp-2146-GGA,KGe,-192.63671875,-3.00994873046875,64
mp-23154-GGA,Br,-6.451660633087158,-1.6129151582717896,4
mp-23251-GGA,KBr,-6.225473880767822,-3.112736940383911,2
mp-27800-GGA,K4Ge23,-220.6290283203125,-4.085722746672453,54
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.90544128417969,-3.162726720174154,24
mp-567604-GGA,GeBr4,-56.98475646972656,-2.849237823486328,20
mp-570891-GGA,KBr,-6.074480056762695,-3.0372400283813477,2
mp-571246-GGA,GeBr4,-113.92884063720703,-2.848221015930176,40
mp-573691-GGA,K,-8.342631340026855,-1.042828917503357,8
mp-58-GGA,K,-1.0490100383758545,-1.0490100383758545,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.0287513732910156,-1.0143756866455078,2
mp-972981-GGA,K,-2.1124918460845947,-1.0562459230422974,2
mp-998412-GGA,KGeBr3,-15.65083122253418,-3.130166244506836,5
mp-998612-GGA,KGeBr3,-31.630220413208008,-3.163022041320801,10
mp-998864-GGA,Br,-1.5275264978408813,-1.5275264978408813,1
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
