chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3GeK,1.3660378456115723,https://elagente.ca/grafico/ConceptualAtoms_06ddf722-1cd8-4dec-ba45-05fdf0eef8d8,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4038e14e-3734-4747-b10c-3e62fed059ee,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_99a2e378/output.json,0.1,0.03383369445800932,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b0c9e6f7-7e72-4f5a-85ab-cbed078a22fd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_06ddf722-1cd8-4dec-ba45-05fdf0eef8d8,Br3GeK
Br3GeK,1.3017107248306274,https://elagente.ca/grafico/ConceptualAtoms_2df542ea-a57b-4af1-8cc8-abfeafbf5492,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c7ca1a71-aa25-4d94-b75f-a8e67e96bfff,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_757efff5/output.json,0.1,0.030587577819825462,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d945645d-a28f-49e0-a17d-ce06844d05b7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2df542ea-a57b-4af1-8cc8-abfeafbf5492,Br3GeK
Br3GeK,1.1180551052093506,https://elagente.ca/grafico/ConceptualAtoms_4c5fe42d-75ad-423e-8efb-8fec620ad0a7,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1b69342b-0e87-4e0e-b0f0-201650de4b82,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_f3ff14bb/output.json,0.1,0.031574058532716,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3275be3c-8fe3-46a8-8e00-e727a75540a6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4c5fe42d-75ad-423e-8efb-8fec620ad0a7,Br3GeK
Br3GeK,1.0457489490509033,https://elagente.ca/grafico/ConceptualAtoms_5ad43e46-e379-4f28-bab5-218b5f910542,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_be287d00-2177-4137-bf10-e6cb238d4b00,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_f181515f/output.json,0.1,0.03589096069336062,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_07a9d2e6-cf6e-4d6f-a5e9-a265d0539b61,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5ad43e46-e379-4f28-bab5-218b5f910542,Br3GeK
Br3GeK,1.6923969984054565,https://elagente.ca/grafico/ConceptualAtoms_5b8eac1e-cbda-4306-a796-a7eee41ebb0f,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_935c0455-5e17-4028-96df-c2054d9ad8b3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_0c29e151/output.json,0.1,0.030918312072755416,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bf1ac8b3-02b9-4582-8efc-d476474795bd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5b8eac1e-cbda-4306-a796-a7eee41ebb0f,Br3GeK
Br3GeK,0.9787957072257996,https://elagente.ca/grafico/ConceptualAtoms_64368c1e-5aa7-41ad-9448-fef091737739,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_691c0431-4704-4e0f-9f9d-db140f2b04b9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_ebc9dbd8/output.json,0.1,0.03485622406005984,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_977d93d6-2eb5-436f-aa89-3ce08d805332,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_64368c1e-5aa7-41ad-9448-fef091737739,Br3GeK
Br3GeK,1.2687667608261108,https://elagente.ca/grafico/ConceptualAtoms_6e3c0335-7cdd-4d97-a415-658419d3c91a,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_83cbc5e3-2331-40e9-b940-480e55cf1d02,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_2556ec4f/output.json,0.1,0.03587169647216948,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8e27f962-fe36-42f3-a50c-f511a471078e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6e3c0335-7cdd-4d97-a415-658419d3c91a,Br3GeK
Br3GeK,1.391638159751892,https://elagente.ca/grafico/ConceptualAtoms_a5270c92-fd0c-4f29-83dc-69effb776062,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_20af2b0e-8cb6-4468-bbc1-aa35af0d83ed,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_4ae1688a/output.json,0.1,0.032979011535645864,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_621d1876-6ecf-4985-815a-b6644bd9989b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a5270c92-fd0c-4f29-83dc-69effb776062,Br3GeK
Br3GeK,1.4100311994552612,https://elagente.ca/grafico/ConceptualAtoms_aef95a77-2053-491b-a846-7a1146ce3cc3,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fc965f8b-8daf-4761-a8be-5fd3b592c400,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_6eddec02/output.json,0.1,0.034350967407227984,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fb9fce37-1ade-40aa-8d95-48fb059ba61f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_aef95a77-2053-491b-a846-7a1146ce3cc3,Br3GeK
Br3GeK,0.5711543560028076,https://elagente.ca/grafico/ConceptualAtoms_e1bbe35c-ee2c-4154-8ca2-ae38dff16bd2,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_52f29fd6-6e47-4c9c-b09a-29150cfce894,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_VS1tKVtf5d3Yc234efsErtBR/structures/Br3GeK_53446577/output.json,0.1,0.03602104187011834,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_826d7cc6-1d3c-47c3-8ca5-3f9ceaa85a4e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ad043363-1266-4c59-90df-ae014de5ba4e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e1bbe35c-ee2c-4154-8ca2-ae38dff16bd2,Br3GeK
