chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3RbSn,1.8751109838485718,https://elagente.ca/grafico/ConceptualAtoms_02d24ffc-fad5-4267-8656-47c4251c9f31,-9.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fe3914df-aed5-4091-b79c-518e082d85ca,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_02eca65f/output.json,0.1,0.03522224426269638,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3102c0b5-3108-4d79-9f0e-c3beca790b31,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_02d24ffc-fad5-4267-8656-47c4251c9f31,Cl3RbSn
Cl3RbSn,1.8617360591888428,https://elagente.ca/grafico/ConceptualAtoms_0e23fd88-cce7-4b1c-8da0-8bdeb4a1517f,-9.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_51b2052e-5e7a-4c7a-b118-c932f3b93b7e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_d34e007d/output.json,0.1,0.034331893920899414,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2db00dd5-4525-483e-9022-263a0ea46d4b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0e23fd88-cce7-4b1c-8da0-8bdeb4a1517f,Cl3RbSn
Cl3RbSn,1.7558023929595947,https://elagente.ca/grafico/ConceptualAtoms_393ed282-09d9-495b-a0fe-80852c6483d6,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6d5f3bfa-eefc-44b5-ba88-7125b813a38f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_06551ae4/output.json,0.1,0.03380813598632937,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0ae5cf5b-3081-46f3-8f3c-959bb66b898f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_393ed282-09d9-495b-a0fe-80852c6483d6,Cl3RbSn
Cl3RbSn,1.7714899778366089,https://elagente.ca/grafico/ConceptualAtoms_3b9bb4c5-1d1c-415d-8716-58b2c4ab40d1,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_899296d9-7b1e-4a79-bf72-257980d54737,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_30749faf/output.json,0.1,0.0315376281738291,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_55b2b7fd-867e-46da-beac-563ccc7befe3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3b9bb4c5-1d1c-415d-8716-58b2c4ab40d1,Cl3RbSn
Cl3RbSn,1.8205832242965698,https://elagente.ca/grafico/ConceptualAtoms_5c2c836d-3f09-40cb-a5a4-8e8d85ab2938,-9.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2f371924-030c-4f35-8678-01050c282e1e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_9e908c87/output.json,0.1,0.034270858764649414,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1f6b32f5-25d8-4c55-a932-806e8bffe392,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5c2c836d-3f09-40cb-a5a4-8e8d85ab2938,Cl3RbSn
Cl3RbSn,1.727257490158081,https://elagente.ca/grafico/ConceptualAtoms_6cb85a25-5d60-45f4-838d-6b89c97e22b3,-8.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d305cf95-a67b-403b-a143-dd505bae598a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_8eabfbc1/output.json,0.1,0.03306198120117321,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1bfed3ae-2725-4144-98bf-b0747e0e751b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6cb85a25-5d60-45f4-838d-6b89c97e22b3,Cl3RbSn
Cl3RbSn,1.775513768196106,https://elagente.ca/grafico/ConceptualAtoms_74cbb7a8-0eb2-4b50-a99c-88400a4c3769,-9.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ff110f64-6561-489c-9af7-f8c0e801f8d5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_51a23290/output.json,0.1,0.03331375122070446,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c0e8cfe8-7f80-40bc-919e-1100dbd981f9,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_74cbb7a8-0eb2-4b50-a99c-88400a4c3769,Cl3RbSn
Cl3RbSn,1.73491370677948,https://elagente.ca/grafico/ConceptualAtoms_b0af190f-9506-48d8-ab6b-d1447c517a0a,-9.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_41dbb3d0-fb77-477d-bc5a-1cfb83691e4d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_3a37d68b/output.json,0.1,0.03405838012695428,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2b2731d4-cd5c-4138-bb80-fc3d9d50519e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b0af190f-9506-48d8-ab6b-d1447c517a0a,Cl3RbSn
Cl3RbSn,1.745642900466919,https://elagente.ca/grafico/ConceptualAtoms_bdbffe5d-beac-47c7-a4d9-77558e2eef83,-7.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7b3176bb-0874-4689-8e71-4ff91caee6a7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_f0792c79/output.json,0.1,0.033726501464844905,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4d8a5ab2-8a38-476d-8530-73b21902f95e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bdbffe5d-beac-47c7-a4d9-77558e2eef83,Cl3RbSn
Cl3RbSn,1.9400922060012817,https://elagente.ca/grafico/ConceptualAtoms_fcbbab84-709b-42af-ad62-4a01c7ade631,-9.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_85ecfc2f-f0e2-4e65-ba19-3ee2a0aa81a0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_ZYHhw1LYQlVwPqL1Ki1xEVbf/structures/Cl3RbSn_4deec820/output.json,0.1,0.03458976745605602,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c5feb7e2-8b4b-4288-a800-ed40a0fd6aaf,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_abc7e94b-d470-4f69-8585-a7a5fd465527,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_fcbbab84-709b-42af-ad62-4a01c7ade631,Cl3RbSn
