entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9698958992958069,-0.9698958992958069,1
mp-1007976-GGA,Cs,-3.8761048316955566,-0.9690262079238892,4
mp-1008394-GGA,Cl2,-7.310431957244873,-1.8276079893112183,4
mp-1012110-GGA,Cs,-3.8691210746765137,-0.9672802686691284,4
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1056308-GGA,Sn,-3.769486427307129,-3.769486427307129,1
mp-1070375-GGA,CsSnCl3,-17.409278869628906,-3.481855773925781,5
mp-1096915-GGA,Cs,-0.9699693918228149,-0.9699693918228149,1
mp-11055-GGA,CsSn,-85.40458679199219,-2.668893337249756,32
mp-117-GGA,Sn,-7.702747821807861,-3.8513739109039307,2
mp-1179414-GGA,Sn,-30.189241409301758,-3.7736551761627197,8
mp-1182809-GGA,Cs,-3.8809986114501953,-0.9702496528625488,4
mp-11832-GGA,Cs,-1.938064455986023,-0.9690322279930115,2
mp-1183694-GGA,Cs,-0.9687461256980896,-0.9687461256980896,1
mp-1183897-GGA,Cs,-19.193145751953125,-0.9596572875976562,20
mp-1184151-GGA,Cs,-27.77960968017578,-0.9579175751784752,29
mp-22848-GGA,Cl2,-7.317370891571045,-1.8293427228927612,4
mp-22865-GGA,CsCl,-6.539666175842285,-3.2698330879211426,2
mp-2496-GGA,Cs4Sn23,-192.86639404296875,-3.5715998896846064,54
mp-27394-GGA,CsSnCl3,-69.93247985839844,-3.496623992919922,20
mp-29179-GGA,SnCl2,-83.90895080566406,-3.496206283569336,24
mp-29866-GGA,SnCl4,-63.763004302978516,-3.1881502151489256,20
mp-3-GGA,Cs,-1.9372296333312988,-0.9686148166656494,2
mp-30164-GGA,CsSn2Cl5,-56.036109924316406,-3.5022568702697754,16
mp-55-GGA,Sn,-3.7681198120117188,-3.7681198120117188,1
mp-569152-GGA,SnCl2,-41.95926284790039,-3.4966052373250327,12
mp-570778-GGA,Cl2,-29.167882919311523,-1.8229926824569702,16
mp-571056-GGA,CsSn,-170.7935333251953,-2.6686489582061768,64
mp-573579-GGA,Cs,-7.748848915100098,-0.9686061143875122,8
mp-573697-GGA,CsCl,-6.63954496383667,-3.319772481918335,2
mp-608555-GGA,Cs2SnCl6,-30.385194778442383,-3.376132753160265,9
mp-623511-GGA,Sn,-3.779235363006592,-3.779235363006592,1
mp-639727-GGA,Cs,-3.878004312515259,-0.9695010781288147,4
mp-672241-GGA,Cs,-7.7359771728515625,-0.9669971466064453,8
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.6038923263549805,-3.8019461631774902,2
mp-865565-GGA,CsSn3,-26.1275634765625,-3.2659454345703125,8
mp-949028-GGA,Sn,-175.14605712890625,-3.807522981063179,46
mp-949029-GGA,Cs,-7.6476593017578125,-0.9559574127197266,8
