chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3CsSn,1.4999336004257202,https://elagente.ca/grafico/ConceptualAtoms_11674dba-8b9f-4e2a-a719-9a9fa36d0007,-9.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_db5a0eb2-fffe-4cfa-8272-be07e616cd4e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_7bfacc8f/output.json,0.1,0.01595726013183718,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bff8698e-ddb9-4c29-bee4-e4399db0bee1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_11674dba-8b9f-4e2a-a719-9a9fa36d0007,Cl3CsSn
Cl3CsSn,0.7745350003242493,https://elagente.ca/grafico/ConceptualAtoms_2d2619a3-b546-41de-8c19-7900aaa4f229,-8.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_42d16758-92b8-4c43-8f34-608aabf734dc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_323a7cf8/output.json,0.1,0.017590713500978072,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d20a9990-badd-4d7a-b1c0-60212d2bceca,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2d2619a3-b546-41de-8c19-7900aaa4f229,Cl3CsSn
Cl3CsSn,0.7239898443222046,https://elagente.ca/grafico/ConceptualAtoms_3b17d406-00ed-4eb8-b8de-9e2b69207d34,-7.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_8da13892-a556-49f6-b780-7fb8e1c3c3e2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_9d2caffb/output.json,0.1,0.016640090942384056,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6273cb08-22e6-4c3d-91d9-2ce5ae0219c3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3b17d406-00ed-4eb8-b8de-9e2b69207d34,Cl3CsSn
Cl3CsSn,1.3117337226867676,https://elagente.ca/grafico/ConceptualAtoms_5bf35f89-6a8f-408f-a375-44e36e2549f2,-9.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ae419f50-4948-4471-9423-503533add46d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_701ab0a3/output.json,0.1,0.016137313842774947,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4cc94ab8-8c5d-4d9a-9770-de7a9afcf470,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5bf35f89-6a8f-408f-a375-44e36e2549f2,Cl3CsSn
Cl3CsSn,0.8693678379058838,https://elagente.ca/grafico/ConceptualAtoms_865a16fd-485c-48a5-b256-b2d21dd72231,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c3621071-0a95-4c71-a5d8-0af08e35f8a5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_86dbab01/output.json,0.1,0.01662406921386861,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_81b3c61c-8082-4aef-9f8d-ce9d29963dff,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_865a16fd-485c-48a5-b256-b2d21dd72231,Cl3CsSn
Cl3CsSn,1.5413775444030762,https://elagente.ca/grafico/ConceptualAtoms_8f0cb672-7f8f-4eda-bf53-2e8baee5590c,-9.495590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_66d73b05-16fd-472b-9c8a-8494c6950f0c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_f2820d14/output.json,0.1,0.01554679870605602,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f8d79afa-0be8-433d-b603-e0a7d98db6bb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8f0cb672-7f8f-4eda-bf53-2e8baee5590c,Cl3CsSn
Cl3CsSn,0.849810779094696,https://elagente.ca/grafico/ConceptualAtoms_92dcf99e-c0ae-4d4b-ad32-c65a7996f029,-7.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2b8c159f-c6cd-43e8-b3a4-9818c63245fc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_1fd720ad/output.json,0.1,0.01697616577148553,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_96c07ae0-d7b8-4714-b1bd-afb8d2d0287c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_92dcf99e-c0ae-4d4b-ad32-c65a7996f029,Cl3CsSn
Cl3CsSn,0.8718406558036804,https://elagente.ca/grafico/ConceptualAtoms_a700bfd2-a55b-40af-aecd-20e751feff92,-8.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d36e574f-4d66-454e-8cf2-ae733847d6d0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_7b35f03e/output.json,0.1,0.016611099243165395,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1e4afa1d-6aa5-4b22-8e5c-1a769e95fa94,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a700bfd2-a55b-40af-aecd-20e751feff92,Cl3CsSn
Cl3CsSn,0.9577760100364685,https://elagente.ca/grafico/ConceptualAtoms_b02f80cf-ca2e-4941-821f-d59fc6a32799,-7.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6d5772ad-3ce1-4f8c-8e75-21789a2c10e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_3f6ac737/output.json,0.1,0.01654357910156401,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fc2436a9-41bf-4f65-8087-d67ca1514ea3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b02f80cf-ca2e-4941-821f-d59fc6a32799,Cl3CsSn
Cl3CsSn,1.2162364721298218,https://elagente.ca/grafico/ConceptualAtoms_f268a7bf-1cfb-4fbe-8265-1588d49a69a6,-9.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ec8448eb-5eed-4795-a22a-50f7871cb8c3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d3XU650YavebakJ4uKmjJpMq/structures/Cl3CsSn_9893c74b/output.json,0.1,0.01502799987793102,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7bf4c5d7-bd8a-446a-8a6d-220b83d2a053,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e061bc2a-46c9-477f-b217-15e96f6c4e1c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f268a7bf-1cfb-4fbe-8265-1588d49a69a6,Cl3CsSn
