entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9699093699455261,-0.9699093699455261,1
mp-1007760-GGA,Ge,-18.05756378173828,-4.51439094543457,4
mp-1007976-GGA,Cs,-3.8764731884002686,-0.9691182971000671,4
mp-1012110-GGA,Cs,-3.869624137878418,-0.9674060344696045,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1068340-GGA,CsGeBr3,-15.935754776000977,-3.1871509552001953,5
mp-1080106-GGA,Ge,-34.999786376953125,-4.374973297119141,8
mp-1091415-GGA,Ge,-36.11240005493164,-4.514050006866455,8
mp-1096915-GGA,Cs,-0.9699811339378357,-0.9699811339378357,1
mp-1120813-GGA,Br,-49.43233871459961,-1.5447605848312378,32
mp-1181521-GGA,CsGe,-11.172130584716797,-2.793032646179199,4
mp-1182809-GGA,Cs,-3.8803484439849854,-0.9700871109962463,4
mp-11832-GGA,Cs,-1.9379334449768066,-0.9689667224884033,2
mp-1183694-GGA,Cs,-0.968739926815033,-0.968739926815033,1
mp-1183897-GGA,Cs,-19.195091247558594,-0.9597545623779297,20
mp-1184151-GGA,Cs,-27.778947830200195,-0.9578947527655239,29
mp-1184708-GGA,GeBr2,-18.772693634033203,-3.128782272338867,6
mp-1198022-GGA,Ge,-151.87725830078125,-4.466978185317096,34
mp-1273-GGA,CsGe,-187.32301330566406,-2.926922082901001,64
mp-128-GGA,Ge,-34.81608581542969,-4.352010726928711,8
mp-137-GGA,Ge,-52.057003021240234,-4.338083585103353,12
mp-22906-GGA,CsBr,-6.019260406494141,-3.0096302032470703,2
mp-23154-GGA,Br,-6.453060150146484,-1.613265037536621,4
mp-27641-GGA,CsBr3,-38.825382232666016,-2.426586389541626,16
mp-3-GGA,Cs,-1.9376916885375977,-0.9688458442687988,2
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.9057846069336,-3.1627410252889,24
mp-567604-GGA,GeBr4,-56.984466552734375,-2.849223327636719,20
mp-570223-GGA,CsGeBr3,-15.858774185180664,-3.171754837036133,5
mp-571222-GGA,CsBr,-6.10579776763916,-3.05289888381958,2
mp-571246-GGA,GeBr4,-113.92921447753906,-2.8482303619384766,40
mp-573579-GGA,Cs,-7.748392581939697,-0.9685490727424622,8
mp-639727-GGA,Cs,-3.8774611949920654,-0.9693652987480164,4
mp-642739-GGA,CsGeBr3,-15.937172889709473,-3.1874345779418944,5
mp-672241-GGA,Cs,-7.734952926635742,-0.9668691158294678,8
mp-866501-GGA,CsGe,-93.07630920410156,-2.908634662628174,32
mp-949029-GGA,Cs,-7.648087501525879,-0.9560109376907349,8
mp-998864-GGA,Br,-1.5278921127319336,-1.5278921127319336,1
