chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3CsGe,1.9406647682189941,https://elagente.ca/grafico/ConceptualAtoms_05bf9b77-7d98-43f6-aa61-6f1e5decf8f5,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_40926dab-bc96-45e5-a5c8-1433c1b58f27,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_ac1fbb4b/output.json,0.1,0.0005485534667979408,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2824d568-2a6c-41be-a1ae-56ab3942f377,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_05bf9b77-7d98-43f6-aa61-6f1e5decf8f5,Br3CsGe
Br3CsGe,1.7177048921585083,https://elagente.ca/grafico/ConceptualAtoms_28921a24-6801-4e48-98ed-3ae631eb06ec,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3edda09b-7378-44a5-8253-eda622a8bb26,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_716d4d18/output.json,0.1,0.0015344619750989885,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_619876a9-4bad-4b20-a9a9-ef294656f9ba,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_28921a24-6801-4e48-98ed-3ae631eb06ec,Br3CsGe
Br3CsGe,1.9318424463272095,https://elagente.ca/grafico/ConceptualAtoms_4f187e73-fc79-4ab2-9fe0-e42ee49725e4,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_725ab98a-1454-4542-b6fb-c97bf32de42e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_00994597/output.json,0.1,-1.6212463377573982e-05,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5e268db7-e057-4696-9ff9-cfc06289d86c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4f187e73-fc79-4ab2-9fe0-e42ee49725e4,Br3CsGe
Br3CsGe,1.5371087789535522,https://elagente.ca/grafico/ConceptualAtoms_5b00a22a-f552-4826-a1e7-afd6ccd3bac4,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_793ce5b7-7591-4c7c-b95b-3f9eb5875097,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_06017491/output.json,0.1,0.0006233215332045461,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_162db2fd-3f18-4240-a696-9722ab97c154,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5b00a22a-f552-4826-a1e7-afd6ccd3bac4,Br3CsGe
Br3CsGe,2.0628433227539062,https://elagente.ca/grafico/ConceptualAtoms_5e02c393-acf4-49b3-87e6-73771d1ea09a,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_38e8cfdf-4a8b-41ed-91ee-8e195246d29e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_b5da6a40/output.json,0.1,0.0001539230346692122,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fb4e0501-0c86-4b39-8306-0830abe727dd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5e02c393-acf4-49b3-87e6-73771d1ea09a,Br3CsGe
Br3CsGe,1.6600533723831177,https://elagente.ca/grafico/ConceptualAtoms_80928e3c-d6be-479f-b0cd-6fa7ca55a7be,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_728e9b62-2f58-4553-8390-ca5329ff3a38,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_c1f0a2ca/output.json,0.1,0.0005586624145519359,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2a1d4b13-e0de-407a-989b-90ffa59dac1f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_80928e3c-d6be-479f-b0cd-6fa7ca55a7be,Br3CsGe
Br3CsGe,1.861643671989441,https://elagente.ca/grafico/ConceptualAtoms_a5463026-d824-40f2-af3e-e718496c66d5,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_71b72f03-af96-4fbf-b2fd-334171962450,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_5f8d8644/output.json,0.1,-0.0005449295043931102,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_40125beb-36c4-41b2-a563-2fdc2b8e4058,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a5463026-d824-40f2-af3e-e718496c66d5,Br3CsGe
Br3CsGe,1.914475917816162,https://elagente.ca/grafico/ConceptualAtoms_c4cd9a1f-27e7-4db2-aec9-e0eab031b86b,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c86dc958-33a5-416b-b717-b8b58789528d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_15bfa6af/output.json,0.1,-0.0006689071655259227,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ec621ae5-8c7c-4051-a446-f779e0801869,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c4cd9a1f-27e7-4db2-aec9-e0eab031b86b,Br3CsGe
Br3CsGe,0.9442186951637268,https://elagente.ca/grafico/ConceptualAtoms_d6c67e68-3a80-423d-80c8-d839adf99e90,-8.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7a2782f8-d343-4c77-9e46-f48b7e410324,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_98e18e62/output.json,0.1,0.011750984191895686,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6244adb7-ebe9-43cf-9fe9-01b9da140757,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d6c67e68-3a80-423d-80c8-d839adf99e90,Br3CsGe
Br3CsGe,1.9263296127319336,https://elagente.ca/grafico/ConceptualAtoms_e6dff180-434a-4932-a569-3c5580f0dc4c,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_aa2d67ab-9c67-416d-9357-9a74417adad1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_dUwWwnlRABbubOdD94dPgxWx/structures/Br3CsGe_547c22c3/output.json,0.1,0.0002779006958020247,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a69efba8-f566-4d60-a480-72ca00648298,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0b34de33-eea4-465d-b88d-077e21a2bfec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e6dff180-434a-4932-a569-3c5580f0dc4c,Br3CsGe
