entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057668685913086,-4.5144171714782715,4
mp-1008394-GGA,Cl2,-7.310517311096191,-1.8276293277740479,4
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1068966-GGA,K,-4.910497665405273,-0.9820995330810547,5
mp-1078640-GGA,K,-7.90794563293457,-0.9884932041168213,8
mp-1080043-GGA,K,-8.123771667480469,-1.0154714584350586,8
mp-1080106-GGA,Ge,-34.99977111816406,-4.374971389770508,8
mp-1091415-GGA,Ge,-36.11254119873047,-4.514067649841309,8
mp-1180961-GGA,K,-2.029764413833618,-1.014882206916809,2
mp-1180991-GGA,K,-5.001461982727051,-1.0002923965454102,5
mp-1184755-GGA,K,-2.1150240898132324,-1.0575120449066162,2
mp-1184764-GGA,K,-3.173522472381592,-1.0578408241271973,3
mp-1184804-GGA,K,-8.443770408630371,-1.0554713010787964,8
mp-1184808-GGA,K,-8.320980072021484,-1.0401225090026855,8
mp-1184905-GGA,K,-20.906015396118164,-1.0453007698059082,20
mp-1185148-GGA,KCl3,-9.019292831420898,-2.2548232078552246,4
mp-1185201-GGA,K,-30.26067543029785,-1.043471566561995,29
mp-1196998-GGA,K3Ge17,-162.6844024658203,-4.067110061645508,40
mp-1198022-GGA,Ge,-151.87710571289062,-4.466973697437959,34
mp-1199937-GGA,K,-83.08085632324219,-1.025689584237558,81
mp-1201758-GGA,KGe,-95.83893585205078,-2.994966745376587,32
mp-128-GGA,Ge,-34.81639862060547,-4.352049827575684,8
mp-137-GGA,Ge,-52.056846618652344,-4.338070551554362,12
mp-2146-GGA,KGe,-192.63636779785156,-3.0099432468414307,64
mp-22848-GGA,Cl2,-7.317394733428955,-1.8293486833572388,4
mp-23193-GGA,KCl,-6.810478687286377,-3.4052393436431885,2
mp-23289-GGA,KCl,-6.656698226928711,-3.3283491134643555,2
mp-27800-GGA,K4Ge23,-220.6285400390625,-4.085713704427083,54
mp-29688-GGA,Ge3Cl8,-150.4605712890625,-3.419558438387784,44
mp-30086-GGA,GeCl4,-66.1727523803711,-3.3086376190185547,20
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-570778-GGA,Cl2,-29.167646408081055,-1.822977900505066,16
mp-573691-GGA,K,-8.342318534851074,-1.0427898168563843,8
mp-58-GGA,K,-1.049010157585144,-1.049010157585144,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.028639316558838,-1.014319658279419,2
mp-972981-GGA,K,-2.112305164337158,-1.056152582168579,2
mp-998231-GGA,KGeCl3,-17.358131408691406,-3.4716262817382812,5
mp-998613-GGA,KGeCl3,-35.05708312988281,-3.5057083129882813,10
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
