chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3GeK,0.5156197547912598,https://elagente.ca/grafico/ConceptualAtoms_21a2f044-e894-4775-a60d-8aaefefd5745,-6.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_909a63a1-c23c-4d32-969b-c9231a0fc381,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_7fc9a2f9/output.json,0.1,0.034753417968751865,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0f5b8a95-e912-4036-9ee8-0fc6e5e6277d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_21a2f044-e894-4775-a60d-8aaefefd5745,Cl3GeK
Cl3GeK,0.43526703119277954,https://elagente.ca/grafico/ConceptualAtoms_30fa5960-01ae-4b1a-8ad5-b921c6cf3c31,-6.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a075b1e1-e84c-4cd9-9531-d1ec0bac32f5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_d38d8c62/output.json,0.1,0.03177719116211142,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_24e507d5-07bc-4f49-b926-bad11ef6a8f1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_30fa5960-01ae-4b1a-8ad5-b921c6cf3c31,Cl3GeK
Cl3GeK,0.6819665431976318,https://elagente.ca/grafico/ConceptualAtoms_34cd7c08-eff5-4279-a8ac-4c66dc19bc0a,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d1d4fac8-d500-4ff1-b3bc-126a82ce04a0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_1fd3e707/output.json,0.1,0.04090347290039231,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e3bb0e44-9552-41b1-92cb-353179e582df,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_34cd7c08-eff5-4279-a8ac-4c66dc19bc0a,Cl3GeK
Cl3GeK,0.7738515138626099,https://elagente.ca/grafico/ConceptualAtoms_65424a83-eed6-42b5-80d6-d2035f99face,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2fda10d2-72c7-4240-87c6-a6b9e2f6b19c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_ef64b40c/output.json,0.1,0.03161087036132981,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_37a51ba8-9833-4c40-82fa-a055350323bc,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_65424a83-eed6-42b5-80d6-d2035f99face,Cl3GeK
Cl3GeK,0.5015025734901428,https://elagente.ca/grafico/ConceptualAtoms_6692a55d-93d4-4414-84f0-2731b6a333a9,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_206ac82e-30e1-4e3b-b9ac-e3f01fa036d7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_b2370c7e/output.json,0.1,0.03367843627929856,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_77ea7960-340e-42ef-837c-20aeca1676f4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6692a55d-93d4-4414-84f0-2731b6a333a9,Cl3GeK
Cl3GeK,0.4882884621620178,https://elagente.ca/grafico/ConceptualAtoms_8ba2b08d-4b5c-4e36-8e87-5cee48129427,-6.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9b4de043-14c8-441f-9e1c-d856bd9206e5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_56df0c7c/output.json,0.1,0.03473510742187669,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_110a3d76-4880-40f8-bc86-d82449df6971,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8ba2b08d-4b5c-4e36-8e87-5cee48129427,Cl3GeK
Cl3GeK,0.5952449440956116,https://elagente.ca/grafico/ConceptualAtoms_951b724b-acd2-4174-a1cb-c3d70a3489e6,-6.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_38d14c48-805c-469d-97fb-df35de2d6ede,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_1cd49b58/output.json,0.1,0.030524826049806553,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_184eacf0-64fc-4c9f-be8e-2cbbbaf46cf4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_951b724b-acd2-4174-a1cb-c3d70a3489e6,Cl3GeK
Cl3GeK,0.6657151579856873,https://elagente.ca/grafico/ConceptualAtoms_bfd2a045-1bcc-40d8-bbf7-360ecc822f05,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9d760457-ec7c-48c2-b07c-f84a8bb58365,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_47681941/output.json,0.1,0.03366279602050959,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d7f9f0a9-6bee-4f84-ab05-219c1c15e241,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bfd2a045-1bcc-40d8-bbf7-360ecc822f05,Cl3GeK
Cl3GeK,0.4933682382106781,https://elagente.ca/grafico/ConceptualAtoms_c2dfbdc4-34b4-423c-a7a2-e334f274b8fd,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_576d19f2-adbb-4a1c-9119-ca95858e2cc9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_3bcc014a/output.json,0.1,0.027943038940431375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3d1323c4-f14f-4894-8ab7-5516853a709d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c2dfbdc4-34b4-423c-a7a2-e334f274b8fd,Cl3GeK
Cl3GeK,0.7800754904747009,https://elagente.ca/grafico/ConceptualAtoms_c50837c5-c5f3-449b-b8b6-fcf4cbc88331,-6.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_68c6d99d-297e-4b8b-8f16-650520839063,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_fvodgeakEreVx0s88P9upjLr/structures/Cl3GeK_fe8c0de1/output.json,0.1,0.03749618530273624,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_82b663f2-764d-4573-939e-3bb7426c2d75,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5210d8e8-bee9-47c5-af5e-8a85bfeabf10,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c50837c5-c5f3-449b-b8b6-fcf4cbc88331,Cl3GeK
