chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CsGeI3,1.5970063209533691,https://elagente.ca/grafico/ConceptualAtoms_32d14765-78aa-42e4-a756-10be562a52a2,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_afd5183c-47cf-467f-93a8-dbd1d3a2e318,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_4ab01903/output.json,0.1,0.0016326904296888323,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5a5d8168-4b98-4ab5-8c24-8b005d0a158c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_32d14765-78aa-42e4-a756-10be562a52a2,CsGeI3
CsGeI3,1.5474876165390015,https://elagente.ca/grafico/ConceptualAtoms_33a8a71a-7440-4026-822a-8c9c4da2a97f,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6b197c0c-bab3-405b-96b8-9b444a961b95,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_3a74182c/output.json,0.1,0.0024858474731459523,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_aa1cabaf-8f5d-43ab-9ad5-d21fde929ff0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_33a8a71a-7440-4026-822a-8c9c4da2a97f,CsGeI3
CsGeI3,1.5501818656921387,https://elagente.ca/grafico/ConceptualAtoms_37be1c2c-2279-4c42-b40f-9042f4dfcdac,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d4d7946f-cf7e-4fcc-95bc-b08c162e2f2c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_1fbfe46c/output.json,0.1,0.004659843444825729,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_13555bc8-1db5-49a1-a6d8-c42c4532acf8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_37be1c2c-2279-4c42-b40f-9042f4dfcdac,CsGeI3
CsGeI3,1.53334641456604,https://elagente.ca/grafico/ConceptualAtoms_a9d645dc-3c35-47cb-bae9-8fd4dd62c774,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_139e72a9-0d65-4b54-aafb-d6bf28378958,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_830c94eb/output.json,0.1,0.005261802673341087,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3b724847-9151-45d6-b1a4-94cd23908fe2,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a9d645dc-3c35-47cb-bae9-8fd4dd62c774,CsGeI3
CsGeI3,1.517647385597229,https://elagente.ca/grafico/ConceptualAtoms_d44aab30-ca85-4077-a999-9d3ece7797c7,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c846ba0c-5c86-455a-bf9a-8105d2c095ab,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_faba2cf2/output.json,0.1,0.0019870758056654836,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1efa7a8f-f377-400f-9fb4-3b364ab73ad8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d44aab30-ca85-4077-a999-9d3ece7797c7,CsGeI3
CsGeI3,1.5827263593673706,https://elagente.ca/grafico/ConceptualAtoms_d7061a87-95af-440f-8a17-5a8e6929512e,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7663faea-5671-447d-8af8-42b6d6186bf3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_a2b5d60e/output.json,0.1,0.0017416000366226037,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a365a85a-c924-4008-bc91-2cd2bb8c0d9e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d7061a87-95af-440f-8a17-5a8e6929512e,CsGeI3
CsGeI3,1.4517178535461426,https://elagente.ca/grafico/ConceptualAtoms_db74b41e-be4a-43bf-900c-d794aa675756,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_16dcb026-3533-4069-9520-6bf5956bba26,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_f9353895/output.json,0.1,0.0026037216186538537,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_39198def-e181-4d86-9ccd-767d640a2354,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_db74b41e-be4a-43bf-900c-d794aa675756,CsGeI3
CsGeI3,1.578126072883606,https://elagente.ca/grafico/ConceptualAtoms_e76ac38b-9311-481e-ac78-ac7d5f7a6150,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d6d5712e-7524-411c-8ba9-bdef9de69338,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_39ee674c/output.json,0.1,0.0036314010620128734,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c7c2ce56-2d1a-43bd-8201-0c51e41ba698,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e76ac38b-9311-481e-ac78-ac7d5f7a6150,CsGeI3
CsGeI3,1.6071950197219849,https://elagente.ca/grafico/ConceptualAtoms_f0b40a43-aaee-44d2-aafd-359341a25423,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6f2fe285-c07a-40be-93a5-d6788f6bb815,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_a36fdfe5/output.json,0.1,0.00575561523437651,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_34352e80-f445-4d36-8068-991063fff23f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f0b40a43-aaee-44d2-aafd-359341a25423,CsGeI3
CsGeI3,1.5249273777008057,https://elagente.ca/grafico/ConceptualAtoms_f699e998-9956-43ef-810a-cd3ea6f155d7,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b1668e45-be5b-4f40-86c6-4f9eafe571f3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_kwSaJaDwvcGY72lVXuXcX3gt/structures/CsGeI3_0a8303ec/output.json,0.1,0.00271148681640776,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8fc3038e-b770-4dd2-bb1d-9149b8b91673,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0a9fe47c-7457-4d16-80ff-d63236057257,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f699e998-9956-43ef-810a-cd3ea6f155d7,CsGeI3
