entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9699077010154724,-0.9699077010154724,1
mp-1007760-GGA,Ge,-18.057693481445312,-4.514423370361328,4
mp-1007976-GGA,Cs,-3.875791072845459,-0.9689477682113647,4
mp-1008394-GGA,Cl2,-7.310410976409912,-1.827602744102478,4
mp-1012110-GGA,Cs,-3.869323253631592,-0.967330813407898,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1080106-GGA,Ge,-34.99964904785156,-4.374956130981445,8
mp-1091415-GGA,Ge,-36.11240005493164,-4.514050006866455,8
mp-1096915-GGA,Cs,-0.9699844121932983,-0.9699844121932983,1
mp-1181521-GGA,CsGe,-11.172247886657715,-2.7930619716644287,4
mp-1182809-GGA,Cs,-3.8806629180908203,-0.9701657295227051,4
mp-11832-GGA,Cs,-1.9380884170532227,-0.9690442085266113,2
mp-1183694-GGA,Cs,-0.9687343239784241,-0.9687343239784241,1
mp-1183897-GGA,Cs,-19.194250106811523,-0.9597125053405762,20
mp-1184151-GGA,Cs,-27.779136657714844,-0.9579012640591326,29
mp-1198022-GGA,Ge,-151.8769073486328,-4.466967863195083,34
mp-1273-GGA,CsGe,-187.32350158691406,-2.9269297122955322,64
mp-128-GGA,Ge,-34.816410064697266,-4.352051258087158,8
mp-137-GGA,Ge,-52.057090759277344,-4.338090896606445,12
mp-22848-GGA,Cl2,-7.317328929901123,-1.8293322324752808,4
mp-22865-GGA,CsCl,-6.539666175842285,-3.2698330879211426,2
mp-22988-GGA,CsGeCl3,-17.63950538635254,-3.5279010772705077,5
mp-27882-GGA,Cs2GeCl6,-30.023439407348633,-3.3359377119276257,9
mp-29688-GGA,Ge3Cl8,-150.45970153808594,-3.419538671320135,44
mp-3-GGA,Cs,-1.9376916885375977,-0.9688458442687988,2
mp-30086-GGA,GeCl4,-66.1726303100586,-3.3086315155029298,20
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-570778-GGA,Cl2,-29.167688369750977,-1.822980523109436,16
mp-573579-GGA,Cs,-7.7483601570129395,-0.9685450196266174,8
mp-573697-GGA,CsCl,-6.63954496383667,-3.319772481918335,2
mp-639727-GGA,Cs,-3.8783485889434814,-0.9695871472358704,4
mp-672241-GGA,Cs,-7.733488082885742,-0.9666860103607178,8
mp-866501-GGA,CsGe,-93.07564544677734,-2.908613920211792,32
mp-949029-GGA,Cs,-7.647926330566406,-0.9559907913208008,8
