chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3CsGe,2.4636802673339844,https://elagente.ca/grafico/ConceptualAtoms_1e82c6e7-8d8f-421f-a944-16a6c9677632,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_dbcf6d97-9aa0-4a25-be6b-25e49d0d9989,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_a3e816e6/output.json,0.1,0.0003650665283219112,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7cd8729f-9e55-4509-b429-1b321b4230d4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1e82c6e7-8d8f-421f-a944-16a6c9677632,Cl3CsGe
Cl3CsGe,2.25492525100708,https://elagente.ca/grafico/ConceptualAtoms_5f72a721-adf5-4433-9b3c-c4459f0d82a2,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f60d2a7d-08ae-47f1-ab7a-59996e0146c7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_06b8b0a5/output.json,0.1,0.0006435394287125362,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3392a766-881c-4fb1-b11d-3bb779500aa6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5f72a721-adf5-4433-9b3c-c4459f0d82a2,Cl3CsGe
Cl3CsGe,2.014280080795288,https://elagente.ca/grafico/ConceptualAtoms_6afd0ea7-403c-4af5-9550-5e8bf0237f0e,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4f2b9316-1c64-46e7-98f8-bfd9ae6a5761,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_864d89c3/output.json,0.1,0.0023754119873062862,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3b2470d5-3769-4fd0-a3a5-4e8851a5bbc7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6afd0ea7-403c-4af5-9550-5e8bf0237f0e,Cl3CsGe
Cl3CsGe,2.3766627311706543,https://elagente.ca/grafico/ConceptualAtoms_962d8cff-0166-447d-9738-56a9aa4b9965,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e1785fdb-caf6-4b89-9ba5-b66e85686424,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_295de4a3/output.json,0.1,-7.629394516150967e-07,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e61bf847-9c13-4fcc-9f35-6c82486f07a3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_962d8cff-0166-447d-9738-56a9aa4b9965,Cl3CsGe
Cl3CsGe,2.487051248550415,https://elagente.ca/grafico/ConceptualAtoms_b0392eb8-90ba-45cf-86f1-5e8105ceb510,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_868b79cf-cac2-418b-9cf5-80b8c771c910,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_3dce9593/output.json,0.1,0.00036659240722825004,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_762523a6-226d-4e2f-9ec5-38f0688e0762,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b0392eb8-90ba-45cf-86f1-5e8105ceb510,Cl3CsGe
Cl3CsGe,2.3969109058380127,https://elagente.ca/grafico/ConceptualAtoms_b2853b0d-c1bb-41da-a666-e89ccc964c62,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f7acaefa-539b-48a7-8003-b4d0a9128d63,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_fa9f4948/output.json,0.1,0.00024452209472825004,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6bcc5ede-2edc-491b-86fd-b30a85d73ad7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b2853b0d-c1bb-41da-a666-e89ccc964c62,Cl3CsGe
Cl3CsGe,2.1588735580444336,https://elagente.ca/grafico/ConceptualAtoms_b8c2aeb1-715b-4c56-8368-1c93a0df4d42,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1cf73fe9-2da0-45c2-a86f-06aca5fdb0ed,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_b33051ff/output.json,0.1,0.001301193237306375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7b4d26e6-f7fd-4f90-9fa9-79767d914c9a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b8c2aeb1-715b-4c56-8368-1c93a0df4d42,Cl3CsGe
Cl3CsGe,2.48850154876709,https://elagente.ca/grafico/ConceptualAtoms_c184bfcd-99a7-406a-81b3-e4c5b8b33aa0,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_656ef92c-7753-4c6e-ad22-75783d524926,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_7d974005/output.json,0.1,0.00013122558593936517,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_291918d2-a6af-40fc-b2f1-aa4590f700ac,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c184bfcd-99a7-406a-81b3-e4c5b8b33aa0,Cl3CsGe
Cl3CsGe,2.4511263370513916,https://elagente.ca/grafico/ConceptualAtoms_dcb4352a-7d53-4b13-9d27-f8ba88cd713b,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_50a8a42a-b698-4275-b190-348bb3315e61,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_09046e86/output.json,0.1,0.00029602050781418754,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8abc5dd2-b0b0-4238-86ba-460de68217a9,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_dcb4352a-7d53-4b13-9d27-f8ba88cd713b,Cl3CsGe
Cl3CsGe,2.407939910888672,https://elagente.ca/grafico/ConceptualAtoms_f92bd175-4a5b-4963-8676-b49e3a6bec63,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_956f9129-b2ff-494e-9d9f-1c17ad82d548,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_mxqJ8HiIp4swfGcOuWSNWoiz/structures/Cl3CsGe_8970c88e/output.json,0.1,0.0009136199951189639,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_70a15635-c368-4012-a164-c70c6e8a36b3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_4bc2f9e7-78a0-4b93-8449-c8c0d2d17d5d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f92bd175-4a5b-4963-8676-b49e3a6bec63,Cl3CsGe
