entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745930671691895,-9.745930671691895,1
mp-1009460-GGA,Hf,-29.620119094848633,-9.873373031616211,3
mp-1009490-GGA,O2,-9.885466575622559,-4.942733287811279,2
mp-1018721-GGA,HfO2,-60.73387908935547,-10.122313181559244,6
mp-103-GGA,Hf,-19.878219604492188,-9.939109802246094,2
mp-1066100-GGA,O2,-19.737281799316406,-4.934320449829102,4
mp-1087546-GGA,O2,-39.46155548095703,-4.932694435119629,8
mp-1179128-GGA,SrO6,-72.76605987548828,-5.19757570539202,14
mp-1179143-GGA,SrO6,-72.83415222167969,-5.202439444405692,14
mp-1179197-GGA,SrO10,-55.786949157714844,-5.071540832519531,11
mp-1179224-GGA,SrO10,-111.40316009521484,-5.063780004327947,22
mp-1179236-GGA,SrO10,-111.18354034423828,-5.053797288374468,22
mp-1180036-GGA,O2,-19.81866455078125,-4.9546661376953125,4
mp-1187073-GGA,Sr,-4.914045333862305,-1.6380151112874348,3
mp-1224381-GGA,HfO2,-121.032470703125,-10.086039225260416,12
mp-12957-GGA,O2,-39.667659759521484,-4.9584574699401855,8
mp-13108-GGA,SrHfO3,-43.2796516418457,-8.655930328369141,5
mp-13109-GGA,SrHfO3,-86.86402130126953,-8.686402130126954,10
mp-139-GGA,Sr,-3.2753982543945312,-1.6376991271972656,2
mp-1858-GGA,HfO2,-243.72265625,-10.155110677083334,24
mp-2472-GGA,SrO,-12.063570022583008,-6.031785011291504,2
mp-2697-GGA,SrO2,-17.224994659423828,-5.741664886474609,3
mp-3378-GGA,SrHfO3,-173.73985290527344,-8.686992645263672,20
mp-352-GGA,HfO2,-122.1080322265625,-10.175669352213541,12
mp-3721-GGA,SrHfO3,-86.8140869140625,-8.68140869140625,10
mp-4551-GGA,SrHfO3,-43.30588912963867,-8.661177825927734,5
mp-4673-GGA,SrHfO3,-173.70152282714844,-8.685076141357422,20
mp-550893-GGA,HfO2,-30.26767921447754,-10.089226404825846,3
mp-550908-GGA,SrHfO3,-86.71670532226562,-8.671670532226562,10
mp-567826-GGA,Sr,-6.029863357543945,-1.5074658393859863,4
mp-607540-GGA,O2,-9.865825653076172,-4.932912826538086,2
mp-610917-GGA,O2,-9.860130310058594,-4.930065155029297,2
mp-611836-GGA,O2,-9.862122535705566,-4.931061267852783,2
mp-685097-GGA,HfO2,-121.78606414794922,-10.148838678995768,12
mp-723285-GGA,O2,-39.51374816894531,-4.939218521118164,8
mp-726705-GGA,SrO2,-68.64986419677734,-5.720822016398112,12
mp-741-GGA,HfO2,-120.53897857666016,-10.044914881388346,12
mp-752537-GGA,Sr2HfO4,-110.35647583007812,-7.882605416434152,14
mp-752581-GGA,Sr2HfO4,-221.631103515625,-7.915396554129464,28
mp-752691-GGA,Sr3Hf2O7,-197.70065307617188,-8.237527211507162,24
mp-754282-GGA,SrO,-23.776277542114258,-5.9440693855285645,4
mp-754761-GGA,Sr2HfO4,-221.85133361816406,-7.9232619149344305,28
mp-754824-GGA,SrO,-23.94087791442871,-5.985219478607178,4
mp-757149-GGA,Sr2Hf7O16,-239.39476013183594,-9.575790405273438,25
mp-76-GGA,Sr,-1.6417336463928223,-1.6417336463928223,1
mp-768305-GGA,Sr2HfO4,-55.36005401611328,-7.90857914515904,7
mp-775757-GGA,HfO2,-244.11648559570312,-10.171520233154297,24
mp-776097-GGA,HfO2,-365.5565490722656,-10.154348585340712,36
mp-776532-GGA,HfO2,-60.96896743774414,-10.161494572957357,6
mp-779001-GGA,Sr4Hf3O10,-284.4696044921875,-8.366753073299632,34
mp-779428-GGA,Sr4HfO6,-157.74789428710938,-7.170358831232244,22
mp-779517-GGA,Sr3Hf2O7,-98.70513153076172,-8.225427627563477,12
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-867202-GGA,Sr,-6.557611465454102,-1.6394028663635254,4
mp-95-GGA,Sr,-1.6313023567199707,-1.6313023567199707,1
