chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
HfO3Sr,3.480191946029663,https://elagente.ca/grafico/ConceptualAtoms_11c7a84a-57a5-4d31-8034-cbe8a365298b,-5.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9908ed61-b36b-4913-b47b-a2b246c643ae,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_495a4959/output.json,0.1,0.031701660156249645,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e35658a0-6495-433d-b11c-8347e52dccb6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_11c7a84a-57a5-4d31-8034-cbe8a365298b,HfO3Sr
HfO3Sr,3.4929635524749756,https://elagente.ca/grafico/ConceptualAtoms_23d2fa2b-9cbb-4306-abaf-303e0239c7ff,-5.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e226c69b-72c3-485d-8829-b2a7350c93b0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_fd07e38a/output.json,0.1,0.03301467895507848,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fb23f7b4-38b1-433f-86aa-9bc4c92eab97,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_23d2fa2b-9cbb-4306-abaf-303e0239c7ff,HfO3Sr
HfO3Sr,3.506622552871704,https://elagente.ca/grafico/ConceptualAtoms_3b03244f-5d22-4131-8eb2-594a900514b6,-5.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_37f7772f-cca9-454c-86b8-7783177b32b4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_f4df3c89/output.json,0.1,0.032202911376952414,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c2fc4703-dac7-4b2e-baf2-8e0ffaaaf23b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3b03244f-5d22-4131-8eb2-594a900514b6,HfO3Sr
HfO3Sr,3.5174896717071533,https://elagente.ca/grafico/ConceptualAtoms_423f66c2-b566-46d1-bff3-ae1f21093756,-5.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_140e7a52-25a9-4f45-85db-dc8d8f922936,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_cc9e8996/output.json,0.1,0.032431793212889914,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ba30c1f9-8889-475b-8187-1ce27e365e46,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_423f66c2-b566-46d1-bff3-ae1f21093756,HfO3Sr
HfO3Sr,3.4688756465911865,https://elagente.ca/grafico/ConceptualAtoms_b6fe3050-a650-411e-aefa-c2093d6c2dc7,-5.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_bc719a50-f4b3-4c4b-ae15-f7fce545e26a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_027ab080/output.json,0.1,0.031456756591797586,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4249c013-4e78-4932-93ed-ac5f097d6b51,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b6fe3050-a650-411e-aefa-c2093d6c2dc7,HfO3Sr
HfO3Sr,3.4945268630981445,https://elagente.ca/grafico/ConceptualAtoms_c1553edd-67cb-4088-91b9-48560e18b4d4,-5.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a49045be-4d3e-401d-9539-97eab886be72,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_19d3c873/output.json,0.1,0.031204986572266336,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_49a0af5f-e197-4170-bd37-5ea129cac47e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c1553edd-67cb-4088-91b9-48560e18b4d4,HfO3Sr
HfO3Sr,3.4499638080596924,https://elagente.ca/grafico/ConceptualAtoms_c8a95548-ab55-4650-b883-6cd7881cc37f,-5.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e4f9e762-c0a4-4876-aba1-990dc831a5b4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_ac6fc433/output.json,0.1,0.031914520263672586,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_193a4ca4-9e77-4efe-a7e2-90d796832b20,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c8a95548-ab55-4650-b883-6cd7881cc37f,HfO3Sr
HfO3Sr,3.507399797439575,https://elagente.ca/grafico/ConceptualAtoms_c8cdd33f-8a64-470b-9a79-39ab8042dfbe,-5.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7f7323c2-2c1e-4b58-9a43-a611c6356e9f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_583c1885/output.json,0.1,0.031925201416015625,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a3edd44f-ea5c-43cc-9c90-da271843499b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c8cdd33f-8a64-470b-9a79-39ab8042dfbe,HfO3Sr
HfO3Sr,3.4845170974731445,https://elagente.ca/grafico/ConceptualAtoms_dadf8102-8305-423f-8838-83324e7d6574,-5.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_77497937-59ce-4561-9cdf-da758cc13086,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_31cbf2fd/output.json,0.1,0.03250656127929652,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6d254e73-ae33-4190-aee8-b2dc0b596b44,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_dadf8102-8305-423f-8838-83324e7d6574,HfO3Sr
HfO3Sr,3.457197904586792,https://elagente.ca/grafico/ConceptualAtoms_eb190aff-8c85-4ba0-a175-8bc46bc7ba15,-5.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3bd4902a-25e4-4214-8f5f-1a035c0d0417,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_3cfsAN0ZLlNssAcjfyOgoRgK/structures/HfO3Sr_44543b79/output.json,0.1,0.032817840576171875,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_20bbfae3-64d7-4a3c-8c48-76b94e639d10,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ec2ead32-b4c3-4a7c-ab66-32999d0ecccd,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_eb190aff-8c85-4ba0-a175-8bc46bc7ba15,HfO3Sr
