entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1018045-GGA,Rb,-3.790193557739258,-0.9475483894348145,4
mp-1022725-GGA,Sn,-3.7793846130371094,-3.7793846130371094,1
mp-1056308-GGA,Sn,-3.769486427307129,-3.769486427307129,1
mp-1063817-GGA,Rb,-3.7357256412506104,-0.9339314103126526,4
mp-1105170-GGA,SnBr2,-56.45795440673828,-3.136553022596571,18
mp-11054-GGA,RbSn,-85.66465759277344,-2.67702054977417,32
mp-1120813-GGA,Br,-49.432682037353516,-1.5447713136672974,32
mp-117-GGA,Sn,-7.702747821807861,-3.8513739109039307,2
mp-1179414-GGA,Sn,-30.189157485961914,-3.7736446857452393,8
mp-1179656-GGA,Rb,-7.618991374969482,-0.9523739218711853,8
mp-1179802-GGA,Rb,-7.560373306274414,-0.9450466632843018,8
mp-1186853-GGA,Rb,-19.01337432861328,-0.9506687164306641,20
mp-1186899-GGA,Rb,-27.412384033203125,-0.9452546218345905,29
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-1272139-GGA,SnBr2,-9.4603271484375,-3.1534423828125,3
mp-22867-GGA,RbBr,-6.109855651855469,-3.0549278259277344,2
mp-23154-GGA,Br,-6.451969146728516,-1.612992286682129,4
mp-23216-GGA,SnBr4,-55.554866790771484,-2.777743339538574,20
mp-23303-GGA,RbBr,-5.992895126342773,-2.9964475631713867,2
mp-29862-GGA,SnBr2,-37.7289924621582,-3.14408270517985,12
mp-55-GGA,Sn,-3.768120765686035,-3.768120765686035,1
mp-567780-GGA,RbSn2Br5,-50.3339958190918,-3.1458747386932373,16
mp-569028-GGA,Rb2SnBr6,-26.564666748046875,-2.951629638671875,9
mp-569688-GGA,Rb,-24.613140106201172,-0.9466592348538913,26
mp-604321-GGA,Rb,-3.839014768600464,-0.959753692150116,4
mp-623511-GGA,Sn,-3.7792348861694336,-3.7792348861694336,1
mp-639736-GGA,Rb,-1.9002894163131714,-0.9501447081565857,2
mp-639755-GGA,Rb,-0.9540331363677979,-0.9540331363677979,1
mp-640416-GGA,Rb,-7.562107086181641,-0.9452633857727051,8
mp-656615-GGA,Rb,-7.630557537078857,-0.9538196921348572,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.604011058807373,-3.8020055294036865,2
mp-867126-GGA,Rb,-2.8795318603515625,-0.9598439534505209,3
mp-867229-GGA,RbSn3,-26.05814552307129,-3.257268190383911,8
mp-949028-GGA,Sn,-175.1462860107422,-3.807527956755265,46
mp-974620-GGA,Rb,-7.522670745849609,-0.9403338432312012,8
mp-974789-GGA,Rb3Sn,-6.670373916625977,-1.6675934791564941,4
mp-975129-GGA,Rb,-1.9189271926879883,-0.9594635963439941,2
mp-975204-GGA,Rb,-1.9201682806015015,-0.9600841403007507,2
mp-975411-GGA,RbBr3,-8.299503326416016,-2.074875831604004,4
mp-975519-GGA,Rb,-0.9599875211715698,-0.9599875211715698,1
mp-978985-GGA,SnBr2,-18.85846519470215,-3.143077532450358,6
mp-998157-GGA,RbSnBr3,-15.546448707580566,-3.1092897415161134,5
mp-998778-GGA,RbSnBr3,-62.920162200927734,-3.146008110046387,20
mp-998864-GGA,Br,-1.5275250673294067,-1.5275250673294067,1
