chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3RbSn,1.0880341529846191,https://elagente.ca/grafico/ConceptualAtoms_0eeaa53c-62a2-4060-8dd0-e3b757fac937,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c29638c7-86f5-4a4f-b321-098c5d97854c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_e419e7cd/output.json,0.1,0.04043674468994274,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ea35bc97-c3cb-4846-88b9-ac92638b838f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0eeaa53c-62a2-4060-8dd0-e3b757fac937,Br3RbSn
Br3RbSn,0.8270652294158936,https://elagente.ca/grafico/ConceptualAtoms_1deabf28-7730-469e-99c3-549af5f2c96f,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ef85ccb9-e30a-4d1c-ac42-6fe048e8cfae,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_00496830/output.json,0.1,0.03664150238037234,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_05241447-2f6a-4073-8a42-7321077f042f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1deabf28-7730-469e-99c3-549af5f2c96f,Br3RbSn
Br3RbSn,1.0559241771697998,https://elagente.ca/grafico/ConceptualAtoms_733239e0-4623-4033-9f33-8b27de149da0,-7.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_58ada924-ca92-41cb-b7e1-b7a7d7857ca3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_042e837f/output.json,0.1,0.03713817596435698,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ada41998-5b7f-4139-9c4a-2a2f111721e1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_733239e0-4623-4033-9f33-8b27de149da0,Br3RbSn
Br3RbSn,1.275968074798584,https://elagente.ca/grafico/ConceptualAtoms_7c1ab023-4597-4528-9648-e4744733cab0,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_913a615c-d3b2-4fdc-9c28-94908e0d60bf,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_ee12dd25/output.json,0.1,0.038978958129884056,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_175304b4-39e2-467e-a5f0-7027f672b6c3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7c1ab023-4597-4528-9648-e4744733cab0,Br3RbSn
Br3RbSn,1.0163707733154297,https://elagente.ca/grafico/ConceptualAtoms_82fe6776-c4d0-468e-b3fa-23089dcd6d74,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_18e6dc92-7b17-404a-8ad3-fe985f457994,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_1c227a94/output.json,0.1,0.04132213592529421,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9a60d3cf-3b2f-45a7-9f20-e262e9791d82,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_82fe6776-c4d0-468e-b3fa-23089dcd6d74,Br3RbSn
Br3RbSn,1.181244134902954,https://elagente.ca/grafico/ConceptualAtoms_96f703f6-380b-4a31-8873-804d47f525bb,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_860afba1-4e33-4a1d-a928-5231d92f821b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_2b1eefd7/output.json,0.1,0.03924236297607564,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c4bc8183-5c7b-473a-84d0-992432dbe141,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_96f703f6-380b-4a31-8873-804d47f525bb,Br3RbSn
Br3RbSn,1.2690962553024292,https://elagente.ca/grafico/ConceptualAtoms_aa993ddc-d28c-46e0-8e19-1f6160f431ac,-7.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_845aba3d-e75b-4d7e-92da-9bcb64ffbaf3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_4b87d95d/output.json,0.1,0.03974800109863441,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_edcbabdf-bdc3-429d-9fe7-5ebc2dc0965f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_aa993ddc-d28c-46e0-8e19-1f6160f431ac,Br3RbSn
Br3RbSn,0.9746609926223755,https://elagente.ca/grafico/ConceptualAtoms_b060c17b-459c-4c5b-b3cf-56274aa776a4,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1c98fa21-13f9-474d-85f4-e77882ceda5c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_22ee333c/output.json,0.1,0.03766574859619265,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fbf62152-5f73-45e6-81eb-321e6f4a89eb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b060c17b-459c-4c5b-b3cf-56274aa776a4,Br3RbSn
Br3RbSn,0.9791141748428345,https://elagente.ca/grafico/ConceptualAtoms_cd3e25a8-89b5-4a87-bb32-b27deb13cad9,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_82304fff-d546-41f6-9bda-7fc4e4a16fa6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_4502a762/output.json,0.1,0.039644432067872604,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4000c8e6-3459-46c9-9608-10243fa1a25f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cd3e25a8-89b5-4a87-bb32-b27deb13cad9,Br3RbSn
Br3RbSn,1.0188417434692383,https://elagente.ca/grafico/ConceptualAtoms_ea79a528-b800-4c6d-973c-4d76b25caf54,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_61cc7907-93b2-427a-8d76-c716a67ba6d0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_5XgFxjJCgBaMCWbtcEvTuAc9/structures/Br3RbSn_a633a556/output.json,0.1,0.03623924255371236,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_24c441f2-b448-473b-9028-9517d93e0060,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_8527ee6c-6d27-469a-ae73-2196c8565790,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ea79a528-b800-4c6d-973c-4d76b25caf54,Br3RbSn
