entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.05747413635254,-4.514368534088135,4
mp-1018045-GGA,Rb,-3.7898716926574707,-0.9474679231643677,4
mp-1063817-GGA,Rb,-3.7357704639434814,-0.9339426159858704,4
mp-1080106-GGA,Ge,-34.9995002746582,-4.374937534332275,8
mp-1091415-GGA,Ge,-36.11219024658203,-4.514023780822754,8
mp-1120721-GGA,RbGeBr3,-31.581151962280273,-3.158115196228027,10
mp-1120813-GGA,Br,-49.43353271484375,-1.5447978973388672,32
mp-1179656-GGA,Rb,-7.625216484069824,-0.953152060508728,8
mp-1179802-GGA,Rb,-7.560269355773926,-0.9450336694717407,8
mp-1184708-GGA,GeBr2,-18.77269744873047,-3.1287829081217446,6
mp-1186853-GGA,Rb,-19.01360321044922,-0.950680160522461,20
mp-1186899-GGA,Rb,-27.41153907775879,-0.9452254854399582,29
mp-1198022-GGA,Ge,-151.8770751953125,-4.466972799862132,34
mp-1199056-GGA,RbGe,-93.35684967041016,-2.9174015522003174,32
mp-1209551-GGA,Rb4Ge23,-219.36231994628906,-4.062265184190538,54
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-128-GGA,Ge,-34.81620788574219,-4.352025985717773,8
mp-137-GGA,Ge,-52.05697250366211,-4.338081041971843,12
mp-1888-GGA,RbGe,-187.76783752441406,-2.9338724613189697,64
mp-22867-GGA,RbBr,-6.109855651855469,-3.0549278259277344,2
mp-23154-GGA,Br,-6.452913284301758,-1.6132283210754395,4
mp-23303-GGA,RbBr,-5.9929304122924805,-2.9964652061462402,2
mp-28558-GGA,RbGeBr3,-63.30674362182617,-3.1653371810913087,20
mp-28589-GGA,Rb3Ge2Br7,-151.15582275390625,-3.1490796407063804,48
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.90528106689453,-3.162720044453939,24
mp-567604-GGA,GeBr4,-56.984596252441406,-2.8492298126220703,20
mp-569688-GGA,Rb,-24.614046096801758,-0.9466940806462214,26
mp-571246-GGA,GeBr4,-113.92921447753906,-2.8482303619384766,40
mp-604321-GGA,Rb,-3.8387396335601807,-0.9596849083900452,4
mp-639736-GGA,Rb,-1.9000599384307861,-0.9500299692153931,2
mp-639755-GGA,Rb,-0.9540331363677979,-0.9540331363677979,1
mp-640416-GGA,Rb,-7.5633721351623535,-0.9454215168952942,8
mp-656615-GGA,Rb,-7.6307806968688965,-0.9538475871086121,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-862769-GGA,RbGe3,-29.057283401489258,-3.6321604251861572,8
mp-867126-GGA,Rb,-2.8790884017944336,-0.9596961339314779,3
mp-974620-GGA,Rb,-7.523063659667969,-0.9403829574584961,8
mp-975129-GGA,Rb,-1.9191659688949585,-0.9595829844474792,2
mp-975204-GGA,Rb,-1.9198695421218872,-0.9599347710609436,2
mp-975411-GGA,RbBr3,-8.299503326416016,-2.074875831604004,4
mp-975519-GGA,Rb,-0.9599874019622803,-0.9599874019622803,1
mp-998864-GGA,Br,-1.5277456045150757,-1.5277456045150757,1
