chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3GeRb,0.6259133815765381,https://elagente.ca/grafico/ConceptualAtoms_0e0bf5cc-b6d0-4317-b51e-22d421ff52f4,-7.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7ee3e888-12b6-485a-8217-9f30ecabd1f6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_d5fb343b/output.json,0.1,0.02178401947021502,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c1895981-b632-4d53-aed3-5685efe86d08,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0e0bf5cc-b6d0-4317-b51e-22d421ff52f4,Br3GeRb
Br3GeRb,0.9351348280906677,https://elagente.ca/grafico/ConceptualAtoms_135a189b-0e60-4916-88b7-2700bbb70638,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_180a3a14-e5ba-47f8-9089-42d0952ad704,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_fc2f7291/output.json,0.1,0.01917400360107413,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_794e2d49-8577-4ae2-a839-08391f2e9630,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_135a189b-0e60-4916-88b7-2700bbb70638,Br3GeRb
Br3GeRb,0.6614527702331543,https://elagente.ca/grafico/ConceptualAtoms_2cdf8643-e34a-4de3-b842-ff890f74a4bb,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7f266255-8e74-44cc-a8ec-5070e44efcda,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_eadfbdd4/output.json,0.1,0.020003700256347567,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4655ffd8-e23e-4719-b21d-3497bd3658f2,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2cdf8643-e34a-4de3-b842-ff890f74a4bb,Br3GeRb
Br3GeRb,0.9507746696472168,https://elagente.ca/grafico/ConceptualAtoms_35b56bdf-f3f2-4881-8e7d-f3f671978d96,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a43d0a4d-8943-41a8-a62d-271c38f445f7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_3128afbf/output.json,0.1,0.02058010101318386,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ddbff2e0-47f0-4dc8-a39c-882aeb4e25c4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_35b56bdf-f3f2-4881-8e7d-f3f671978d96,Br3GeRb
Br3GeRb,0.7835149765014648,https://elagente.ca/grafico/ConceptualAtoms_3c090a42-ac3c-4ba9-9293-645b3220ecde,-7.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e827bd4d-ea67-4ba4-b86e-7deb8875b0f1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_33dea7f6/output.json,0.1,0.020339775085449485,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_87eb8251-6cf4-42d1-acd0-f845cfecb5e2,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3c090a42-ac3c-4ba9-9293-645b3220ecde,Br3GeRb
Br3GeRb,1.2826247215270996,https://elagente.ca/grafico/ConceptualAtoms_4e68ece7-94ab-4aa6-92a0-185cb23791e7,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6fd593df-8116-4552-923d-6e2777dd4828,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_427c27e7/output.json,0.1,0.01729030609130877,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5a7c2412-6a7a-4e1b-8b05-599903797c92,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4e68ece7-94ab-4aa6-92a0-185cb23791e7,Br3GeRb
Br3GeRb,0.8247965574264526,https://elagente.ca/grafico/ConceptualAtoms_57996456-9b7b-4653-ad17-ed540b438146,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_cecc984c-40e7-444e-ba97-694261b55d67,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_8b5d5dcd/output.json,0.1,0.020860671997070312,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1010cb55-8455-4bc3-be8a-019ae96fae91,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_57996456-9b7b-4653-ad17-ed540b438146,Br3GeRb
Br3GeRb,0.8294311165809631,https://elagente.ca/grafico/ConceptualAtoms_91d47239-8b57-4a40-bdd2-1397f742a45a,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5555addb-a754-49ed-a4c3-388ebba8a20d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_3eaaea6d/output.json,0.1,0.019536781311035423,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3cc3c04e-93c8-4e4c-96c4-aed2eb7357bd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_91d47239-8b57-4a40-bdd2-1397f742a45a,Br3GeRb
Br3GeRb,0.9146223664283752,https://elagente.ca/grafico/ConceptualAtoms_b8e02520-fe3e-4223-9c45-416758a33802,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_96e8719d-12c4-44b5-8679-a1b839ce819a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_25df7f46/output.json,0.1,0.018272209167480735,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d1253cb7-8118-4d43-b165-4febb052072f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b8e02520-fe3e-4223-9c45-416758a33802,Br3GeRb
Br3GeRb,1.1431106328964233,https://elagente.ca/grafico/ConceptualAtoms_d6f3c994-d4af-44ff-9926-aaa34e4fa641,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9159c310-158a-4d87-9141-edd83fcd5c42,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_9bZLVwEOOBbAwhkgoEMMN1GD/structures/Br3GeRb_17e54eea/output.json,0.1,0.017755889892578036,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2d475290-cdba-4d32-bb5e-87ff19659fdc,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5d81a3b5-0303-487c-b489-a2029c5692f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d6f3c994-d4af-44ff-9926-aaa34e4fa641,Br3GeRb
