chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3CsGe,1.3568319082260132,https://elagente.ca/grafico/ConceptualAtoms_2bcedfe5-469e-4ef5-a3f3-249c83e564b1,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_98781792-e283-4ff4-b19b-d52dd1af3bf5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_f7000d18/output.json,0.1,0.0048276901245127846,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0533c348-5d3c-408e-a151-2fc50ddab514,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2bcedfe5-469e-4ef5-a3f3-249c83e564b1,Br3CsGe
Br3CsGe,1.6683018207550049,https://elagente.ca/grafico/ConceptualAtoms_499c2569-b753-4cb8-a4e2-f61ab757edfb,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5ce00d99-27f0-4e78-911a-91cbdabe7181,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_164a2de4/output.json,0.1,-3.8146972514141453e-07,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_40199a44-7780-450c-a0b6-951c86169f63,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_499c2569-b753-4cb8-a4e2-f61ab757edfb,Br3CsGe
Br3CsGe,1.1975640058517456,https://elagente.ca/grafico/ConceptualAtoms_4a6c41fb-b5a6-452d-9f63-51e11daab2c1,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_db17516b-a626-4b8f-92cd-7416f0a5bc3a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_71a399f9/output.json,0.1,0.004973983764649859,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d619db9d-c129-40b4-bf92-a3af8857db63,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4a6c41fb-b5a6-452d-9f63-51e11daab2c1,Br3CsGe
Br3CsGe,1.4034771919250488,https://elagente.ca/grafico/ConceptualAtoms_58a77ee8-c4a5-4852-91ae-f82453caab11,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c18a8977-0a9b-4ac0-b1b8-e7acbd13af7d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_de7617bf/output.json,0.1,0.001556587219239347,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9d0a6695-0af4-41b8-92cc-9e93380aeb7e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_58a77ee8-c4a5-4852-91ae-f82453caab11,Br3CsGe
Br3CsGe,1.9415464401245117,https://elagente.ca/grafico/ConceptualAtoms_84861ed0-7eeb-4a66-9efe-17275caf3842,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_eddd2cd7-d9fa-47c3-ade8-1e91e830742f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_fc72162b/output.json,0.1,-8.125305175665787e-05,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_86d24059-91b9-4948-b959-0da33b23f72d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_84861ed0-7eeb-4a66-9efe-17275caf3842,Br3CsGe
Br3CsGe,1.9591561555862427,https://elagente.ca/grafico/ConceptualAtoms_9e07487c-1e3b-4ce7-a448-997c27bc1ed8,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_18a3cf39-27b3-4802-8002-7dfb7d3d7624,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_270dab8c/output.json,0.1,0.0007616043090834523,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_787c2990-106b-4ecf-b132-786c8ef2b530,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9e07487c-1e3b-4ce7-a448-997c27bc1ed8,Br3CsGe
Br3CsGe,1.3000272512435913,https://elagente.ca/grafico/ConceptualAtoms_c427edba-1d2c-4703-b105-48d27c25ce05,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0869602c-a0fe-42ee-bb32-049d159de6d7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_2834549d/output.json,0.1,0.0037891387939463783,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0d70ef0b-31d5-4783-bb35-83ddac7e6361,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c427edba-1d2c-4703-b105-48d27c25ce05,Br3CsGe
Br3CsGe,1.8981512784957886,https://elagente.ca/grafico/ConceptualAtoms_dd40b354-455f-44e3-bdd0-34b1e9f6c443,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_36a7da05-0eba-497f-9df3-636bbd3b39fc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_0c510c36/output.json,0.1,0.00012702941894637831,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d2e8c85f-6375-40ce-83aa-3ccb71f9a5b8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_dd40b354-455f-44e3-bdd0-34b1e9f6c443,Br3CsGe
Br3CsGe,1.7795162200927734,https://elagente.ca/grafico/ConceptualAtoms_e2f489ae-365d-4b09-9b9a-0b8dc6b8e8b9,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_dc6a7e4b-47f2-4578-8c09-4ed27f444ad8,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_baf51bea/output.json,0.1,-1.144409178532868e-06,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_95775b7b-18d9-4a7e-a209-8c033aad0a1b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e2f489ae-365d-4b09-9b9a-0b8dc6b8e8b9,Br3CsGe
Br3CsGe,1.6877013444900513,https://elagente.ca/grafico/ConceptualAtoms_f3b98e73-382e-4b41-a102-5dbe0fb07f93,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ba899c44-93ea-4a20-9671-2f76ed12a705,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_GP7cI8YR8fOGzZZ2n034Uxgs/structures/Br3CsGe_10c98771/output.json,0.1,0.0010173797607433421,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c2cdc3b9-6fe9-4c43-b513-920c9b19bd4d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f7e94fa7-4afd-463d-a425-5050e0de0a6b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f3b98e73-382e-4b41-a102-5dbe0fb07f93,Br3CsGe
