entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9698928594589233,-0.9698928594589233,1
mp-1007976-GGA,Cs,-3.876143455505371,-0.9690358638763428,4
mp-1012110-GGA,Cs,-3.8699746131896973,-0.9674936532974243,4
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1056308-GGA,Sn,-3.769486904144287,-3.769486904144287,1
mp-1096915-GGA,Cs,-0.9699759483337402,-0.9699759483337402,1
mp-1105170-GGA,SnBr2,-56.45841598510742,-3.136578665839301,18
mp-11055-GGA,CsSn,-85.40458679199219,-2.668893337249756,32
mp-1120813-GGA,Br,-49.43357467651367,-1.5447992086410522,32
mp-117-GGA,Sn,-7.702598571777344,-3.851299285888672,2
mp-1179414-GGA,Sn,-30.18899154663086,-3.7736239433288574,8
mp-1182809-GGA,Cs,-3.8806581497192383,-0.9701645374298096,4
mp-11832-GGA,Cs,-1.9381029605865479,-0.9690514802932739,2
mp-1183694-GGA,Cs,-0.9687491655349731,-0.9687491655349731,1
mp-1183897-GGA,Cs,-19.193971633911133,-0.9596985816955567,20
mp-1184151-GGA,Cs,-27.779125213623047,-0.9579008694352775,29
mp-1247749-GGA,CsSnBr3,-63.2276725769043,-3.161383628845215,20
mp-1272139-GGA,SnBr2,-9.4603271484375,-3.1534423828125,3
mp-22906-GGA,CsBr,-6.019260406494141,-3.0096302032470703,2
mp-23154-GGA,Br,-6.453350067138672,-1.613337516784668,4
mp-23216-GGA,SnBr4,-55.555274963378906,-2.7777637481689452,20
mp-23467-GGA,CsSn2Br5,-50.51265335083008,-3.15704083442688,16
mp-2496-GGA,Cs4Sn23,-192.8667755126953,-3.5716069539388022,54
mp-27214-GGA,CsSnBr3,-15.766192436218262,-3.1532384872436525,5
mp-27641-GGA,CsBr3,-38.82506561279297,-2.4265666007995605,16
mp-29862-GGA,SnBr2,-37.7291259765625,-3.1440938313802085,12
mp-3-GGA,Cs,-1.9379836320877075,-0.9689918160438538,2
mp-55-GGA,Sn,-3.768120288848877,-3.768120288848877,1
mp-571056-GGA,CsSn,-170.79275512695312,-2.6686367988586426,64
mp-571222-GGA,CsBr,-6.10579776763916,-3.05289888381958,2
mp-573579-GGA,Cs,-7.748813629150391,-0.9686017036437988,8
mp-623511-GGA,Sn,-3.7792348861694336,-3.7792348861694336,1
mp-639727-GGA,Cs,-3.8782238960266113,-0.9695559740066528,4
mp-641923-GGA,Cs2SnBr6,-26.817710876464844,-2.9797456529405384,9
mp-672241-GGA,Cs,-7.734315872192383,-0.9667894840240479,8
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.603878974914551,-3.8019394874572754,2
mp-865565-GGA,CsSn3,-26.127233505249023,-3.265904188156128,8
mp-949028-GGA,Sn,-175.14605712890625,-3.807522981063179,46
mp-949029-GGA,Cs,-7.647843360900879,-0.9559804201126099,8
mp-978985-GGA,SnBr2,-18.858501434326172,-3.1430835723876953,6
mp-998864-GGA,Br,-1.5276395082473755,-1.5276395082473755,1
