entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9698992371559143,-0.9698992371559143,1
mp-1007760-GGA,Ge,-18.057510375976562,-4.514377593994141,4
mp-1007976-GGA,Cs,-3.8758668899536133,-0.9689667224884033,4
mp-1012110-GGA,Cs,-3.869511127471924,-0.967377781867981,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1056920-GGA,CsI,-5.444182395935059,-2.7220911979675293,2
mp-1078801-GGA,CsI,-21.919742584228516,-2.7399678230285645,8
mp-1079694-GGA,CsI,-21.09589385986328,-2.63698673248291,8
mp-1080106-GGA,Ge,-34.99964141845703,-4.374955177307129,8
mp-1091415-GGA,Ge,-36.11219787597656,-4.51402473449707,8
mp-1096915-GGA,Cs,-0.9699810147285461,-0.9699810147285461,1
mp-1180981-GGA,I,-1.4367246627807617,-1.4367246627807617,1
mp-1181521-GGA,CsGe,-11.172805786132812,-2.793201446533203,4
mp-1182809-GGA,Cs,-3.880887031555176,-0.970221757888794,4
mp-11832-GGA,Cs,-1.9375026226043701,-0.9687513113021851,2
mp-1183694-GGA,Cs,-0.9687301516532898,-0.9687301516532898,1
mp-1183897-GGA,Cs,-19.196346282958984,-0.9598173141479492,20
mp-1184038-GGA,Cs3I,-14.451499938964844,-1.8064374923706055,8
mp-1184151-GGA,Cs,-27.780595779418945,-0.9579515786006533,29
mp-1198022-GGA,Ge,-151.87709045410156,-4.466973248650046,34
mp-1273-GGA,CsGe,-187.32327270507812,-2.9269261360168457,64
mp-128-GGA,Ge,-34.81589889526367,-4.351987361907959,8
mp-137-GGA,Ge,-52.057159423828125,-4.338096618652344,12
mp-1444738-GGA,CsI,-10.960533142089844,-2.740133285522461,4
mp-1540935-GGA,GeI2,-25.730567932128906,-2.8589519924587674,9
mp-22876-GGA,CsI3,-35.04615020751953,-2.1903843879699707,16
mp-23153-GGA,I,-5.968480110168457,-1.4921200275421143,4
mp-23266-GGA,GeI4,-95.86903381347656,-2.3967258453369142,40
mp-27922-GGA,GeI2,-25.708925247192383,-2.8565472496880426,9
mp-28377-GGA,CsGeI3,-14.139286994934082,-2.8278573989868163,5
mp-3-GGA,Cs,-1.9374526739120483,-0.9687263369560242,2
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-567677-GGA,GeI2,-8.251755714416504,-2.7505852381388345,3
mp-571011-GGA,CsI4,-41.2288932800293,-2.0614446640014648,20
mp-573579-GGA,Cs,-7.747945308685303,-0.9684931635856628,8
mp-601148-GGA,I,-1.4356582164764404,-1.4356582164764404,1
mp-614603-GGA,CsI,-5.481367588043213,-2.7406837940216064,2
mp-639727-GGA,Cs,-3.877830982208252,-0.969457745552063,4
mp-639751-GGA,I,-1.492494821548462,-1.492494821548462,1
mp-642690-GGA,CsGeI3,-14.103635787963867,-2.8207271575927733,5
mp-672241-GGA,Cs,-7.732733726501465,-0.9665917158126831,8
mp-866501-GGA,CsGe,-93.07612609863281,-2.9086289405822754,32
mp-949029-GGA,Cs,-7.647798538208008,-0.955974817276001,8
