chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CsGeI3,1.6403367519378662,https://elagente.ca/grafico/ConceptualAtoms_02b987dc-8d2f-4db2-8581-050ebac90068,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1bc58dd7-b252-49ed-9772-c1d0bf82e4e3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_75f1992a/output.json,0.1,0.0027565002441418684,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_991c2df0-4d44-4f40-8fa7-e6c16caf3897,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_02b987dc-8d2f-4db2-8581-050ebac90068,CsGeI3
CsGeI3,1.605413794517517,https://elagente.ca/grafico/ConceptualAtoms_0eaf5f83-5d43-4694-b4dd-510433acc7ff,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6c32c584-b399-49d1-80e7-74d3740b40e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_b13f8254/output.json,0.1,0.004716300964356712,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_17d391a7-b35a-4a1d-a5d8-8dbdd003aecb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0eaf5f83-5d43-4694-b4dd-510433acc7ff,CsGeI3
CsGeI3,1.5911309719085693,https://elagente.ca/grafico/ConceptualAtoms_0ed040b2-f839-4f50-bc59-7e720def3587,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_97260e47-ac96-44da-b9d9-bead21d148af,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_70e4cfbc/output.json,0.1,0.0028476715087903948,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_29879210-28e0-4ff4-beca-a3e42a30fb70,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0ed040b2-f839-4f50-bc59-7e720def3587,CsGeI3
CsGeI3,1.5771446228027344,https://elagente.ca/grafico/ConceptualAtoms_4a51da82-8a74-4a77-8b35-0c91f4165ccf,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b89e8287-0594-4711-91b0-b7e16774e321,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_543b719a/output.json,0.1,0.0026674270629896135,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_537a3e54-720a-425b-8d2f-1fcd9277c94d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4a51da82-8a74-4a77-8b35-0c91f4165ccf,CsGeI3
CsGeI3,1.4562147855758667,https://elagente.ca/grafico/ConceptualAtoms_4e6c0f49-1a14-4f58-ad79-73eca24ca377,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1530b223-972f-468e-a71d-8abacd5fd82c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_c59efe9f/output.json,0.1,0.0025415420532239885,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_52c06659-2590-43a9-86bf-ad7ac9ef2d09,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4e6c0f49-1a14-4f58-ad79-73eca24ca377,CsGeI3
CsGeI3,1.624082088470459,https://elagente.ca/grafico/ConceptualAtoms_5eecfe59-cb7c-4c6b-848e-f5cd89f58b69,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f9213edc-02bf-4b23-9cf8-197f15ad3f4f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_11e369c1/output.json,0.1,0.0034404754638686086,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_70067676-dfa1-407e-ad9f-6c04de00164f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5eecfe59-cb7c-4c6b-848e-f5cd89f58b69,CsGeI3
CsGeI3,1.5922762155532837,https://elagente.ca/grafico/ConceptualAtoms_666c168a-4352-440b-af8c-117cf32b56ff,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0b432487-b4fa-487f-a391-fbb8ac0cd4d1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_d1d8ea4e/output.json,0.1,0.002084159851075462,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_83e5e364-fcb0-4ad7-9350-c840383b0d27,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_666c168a-4352-440b-af8c-117cf32b56ff,CsGeI3
CsGeI3,1.5584694147109985,https://elagente.ca/grafico/ConceptualAtoms_9237106a-2e07-4404-b2ad-efa7753c156c,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7edef5a5-beb1-4473-9f60-b955e45ec4a1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_a09e61c6/output.json,0.1,0.006170082092286311,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5046f8eb-05cf-4e7b-87e7-8237ebcd046a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9237106a-2e07-4404-b2ad-efa7753c156c,CsGeI3
CsGeI3,1.5299856662750244,https://elagente.ca/grafico/ConceptualAtoms_cae47615-89a7-496c-96e5-58f1a8497e58,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b265fa20-d573-4811-ad5e-efae2fed0a5e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_f9c1fbc1/output.json,0.1,0.002027320861817561,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c26d0638-dfb0-474e-80a7-1e8701785dd8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cae47615-89a7-496c-96e5-58f1a8497e58,CsGeI3
CsGeI3,1.6116869449615479,https://elagente.ca/grafico/ConceptualAtoms_e585aa04-74c5-4d57-ab78-ce90499026ca,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b0828c2c-ffa8-4bb6-b66d-56252662a93f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TThPxFzzGrsqBpzMPq1OZqO0/structures/CsGeI3_0574a947/output.json,0.1,0.0014776229858410872,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2b65c5a4-0a1a-45a3-9df2-ce18c7171f12,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5606ad90-a17f-4fda-8595-6dc5d3aa9d7a,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e585aa04-74c5-4d57-ab78-ce90499026ca,CsGeI3
