entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057674407958984,-4.514418601989746,4
mp-1018045-GGA,Rb,-3.789870500564575,-0.9474676251411438,4
mp-1063817-GGA,Rb,-3.736098289489746,-0.9340245723724365,4
mp-1080106-GGA,Ge,-34.999717712402344,-4.374964714050293,8
mp-1091415-GGA,Ge,-36.112266540527344,-4.514033317565918,8
mp-1179656-GGA,Rb,-7.625479698181152,-0.953184962272644,8
mp-1179802-GGA,Rb,-7.560555934906006,-0.9450694918632507,8
mp-1180981-GGA,I,-1.4367021322250366,-1.4367021322250366,1
mp-1186853-GGA,Rb,-19.012895584106445,-0.9506447792053223,20
mp-1186899-GGA,Rb,-27.412715911865234,-0.9452660659263874,29
mp-1198022-GGA,Ge,-151.87710571289062,-4.466973697437959,34
mp-1199056-GGA,RbGe,-93.35679626464844,-2.9173998832702637,32
mp-1209551-GGA,Rb4Ge23,-219.36224365234375,-4.062263771339699,54
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-128-GGA,Ge,-34.81597137451172,-4.351996421813965,8
mp-137-GGA,Ge,-52.05663299560547,-4.338052749633789,12
mp-1540935-GGA,GeI2,-25.730567932128906,-2.8589519924587674,9
mp-1888-GGA,RbGe,-187.7677764892578,-2.9338715076446533,64
mp-22903-GGA,RbI,-5.473342418670654,-2.736671209335327,2
mp-23153-GGA,I,-5.969151496887207,-1.4922878742218018,4
mp-23266-GGA,GeI4,-95.86863708496094,-2.3967159271240233,40
mp-23302-GGA,RbI,-5.3789825439453125,-2.6894912719726562,2
mp-27922-GGA,GeI2,-25.708650588989258,-2.8565167321099176,9
mp-28328-GGA,RbI3,-34.56989288330078,-2.160618305206299,16
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-567677-GGA,GeI2,-8.251755714416504,-2.7505852381388345,3
mp-567855-GGA,RbGeI3,-56.13200378417969,-2.8066001892089845,20
mp-569688-GGA,Rb,-24.613323211669922,-0.9466662773719201,26
mp-571458-GGA,RbGeI3,-13.882909774780273,-2.776581954956055,5
mp-601148-GGA,I,-1.435610055923462,-1.435610055923462,1
mp-604321-GGA,Rb,-3.8389363288879395,-0.9597340822219849,4
mp-639736-GGA,Rb,-1.8996312618255615,-0.9498156309127808,2
mp-639751-GGA,I,-1.492504358291626,-1.492504358291626,1
mp-639755-GGA,Rb,-0.9540328979492188,-0.9540328979492188,1
mp-640416-GGA,Rb,-7.562593936920166,-0.9453242421150208,8
mp-656615-GGA,Rb,-7.630890846252441,-0.9538613557815552,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-862769-GGA,RbGe3,-29.057409286499023,-3.632176160812378,8
mp-867126-GGA,Rb,-2.879304885864258,-0.9597682952880859,3
mp-974620-GGA,Rb,-7.5229315757751465,-0.9403664469718933,8
mp-975129-GGA,Rb,-1.9191659688949585,-0.9595829844474792,2
mp-975204-GGA,Rb,-1.9200125932693481,-0.9600062966346741,2
mp-975519-GGA,Rb,-0.9599875211715698,-0.9599875211715698,1
