chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
GeI3Rb,1.4102333784103394,https://elagente.ca/grafico/ConceptualAtoms_08f7ff53-9ce7-4d34-8eea-01ca1f500656,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_92b6a666-f3f0-43a3-a811-015bac6da74d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_d5459c94/output.json,0.1,0.02851654688517291,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1d6e3bd9-a089-47f2-bb6e-2d6a12f32abf,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_08f7ff53-9ce7-4d34-8eea-01ca1f500656,GeI3Rb
GeI3Rb,1.4636238813400269,https://elagente.ca/grafico/ConceptualAtoms_13429418-b67c-4764-8cf2-466ed2e2e974,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_18ad8490-fe6a-438d-9945-b3cdf8b5e9a5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_8960916c/output.json,0.1,0.02454029719034878,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_63cc0bef-0569-400d-a8db-7cb23283c9aa,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_13429418-b67c-4764-8cf2-466ed2e2e974,GeI3Rb
GeI3Rb,1.5776147842407227,https://elagente.ca/grafico/ConceptualAtoms_40c6eba1-aeca-4158-a6c9-6fb5e0393d29,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_19fa432c-c6e1-45ac-87f1-6778dc0b61f7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_0ebd4ea0/output.json,0.1,0.025163046518962062,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_eff041d3-dc54-4799-a3d5-84234764fcf6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_40c6eba1-aeca-4158-a6c9-6fb5e0393d29,GeI3Rb
GeI3Rb,1.5643585920333862,https://elagente.ca/grafico/ConceptualAtoms_4fa7bf65-cf62-47ac-b477-f381416c755d,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_14fd1ef1-1ca9-4b27-b155-1370dcb1eb81,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_62e0a101/output.json,0.1,0.024956671396891394,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4deb7912-16e4-4190-bd6a-647db6e7ab3e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4fa7bf65-cf62-47ac-b477-f381416c755d,GeI3Rb
GeI3Rb,1.6245328187942505,https://elagente.ca/grafico/ConceptualAtoms_69c53cba-7374-4939-baef-52a10fd48d9c,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3ab05971-df28-45bd-9399-9c7bcd1d1e06,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_fdea8912/output.json,0.1,0.025594107309977687,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1d0e22fc-3f7a-4290-92dd-13dc28b32d00,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_69c53cba-7374-4939-baef-52a10fd48d9c,GeI3Rb
GeI3Rb,1.4182206392288208,https://elagente.ca/grafico/ConceptualAtoms_78e64981-028f-4750-b32b-f66c77c14a74,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_62d288a3-9463-4ff5-94ea-d0a11204289b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_9bcd9a46/output.json,0.1,0.02954785029093454,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f7ca80fb-7448-48dc-b8fb-4fa696ec540a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_78e64981-028f-4750-b32b-f66c77c14a74,GeI3Rb
GeI3Rb,1.5237061977386475,https://elagente.ca/grafico/ConceptualAtoms_a6687cf1-1831-4eba-bd8b-d35018b603a7,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_45b26026-2e98-4ba9-9657-b602c7443d23,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_ed9513f4/output.json,0.1,0.02335564295450876,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bcafab0a-be3e-41ef-8c79-6cdabd441e7a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a6687cf1-1831-4eba-bd8b-d35018b603a7,GeI3Rb
GeI3Rb,1.5713011026382446,https://elagente.ca/grafico/ConceptualAtoms_b5e88092-c120-4ab4-813a-dbb64befae73,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fc976749-b2a2-40aa-9bc1-e52a5e9e14a8,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_c765f465/output.json,0.1,0.02508408228556336,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_68dda82e-3f8d-4beb-9f2a-ea849ed03ad0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b5e88092-c120-4ab4-813a-dbb64befae73,GeI3Rb
GeI3Rb,1.5380151271820068,https://elagente.ca/grafico/ConceptualAtoms_cef4dd32-8311-460a-bc9e-e1207f2edfce,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_28ef458a-9882-405d-96c7-75b4b5f87306,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_62773559/output.json,0.1,0.0268972078959151,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ef05abb7-6e78-4575-8f12-5fe9845eadf2,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cef4dd32-8311-460a-bc9e-e1207f2edfce,GeI3Rb
GeI3Rb,1.6887892484664917,https://elagente.ca/grafico/ConceptualAtoms_e3785109-aa52-4cfe-98ea-eb7fc209ede4,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9754512f-248c-4b1e-b796-56ee2b095122,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Wv8xMmBDEBFne04hwQ8Knimd/structures/GeI3Rb_d2e594f0/output.json,0.1,0.02403618494669635,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8415a170-6f52-41da-beb6-b9fe6312f2c0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1ccb0222-4cbd-456f-9d8b-d86adf6a8e8e,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e3785109-aa52-4cfe-98ea-eb7fc209ede4,GeI3Rb
