entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1006878-GGA,BaO2,-16.974998474121094,-5.658332824707031,3
mp-1008500-GGA,BaO,-23.50990104675293,-5.877475261688232,4
mp-1009490-GGA,O2,-9.885539054870605,-4.942769527435303,2
mp-1017-GGA,Zr3O,-72.4266357421875,-9.053329467773438,8
mp-1019544-GGA,BaZrO3,-83.20682525634766,-8.320682525634766,10
mp-1058581-GGA,Ba,-3.800875186920166,-1.900437593460083,2
mp-1066100-GGA,O2,-19.73875617980957,-4.934689044952393,4
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1077723-GGA,Zr,-51.05204772949219,-8.508674621582031,6
mp-1087546-GGA,O2,-39.46223449707031,-4.932779312133789,8
mp-1096840-GGA,Ba,-3.8032422065734863,-1.9016211032867432,2
mp-1105-GGA,BaO2,-17.3594913482666,-5.786497116088867,3
mp-1178514-GGA,BaO,-23.510414123535156,-5.877603530883789,4
mp-1178531-GGA,BaO,-376.6743469238281,-5.8855366706848145,64
mp-1180036-GGA,O2,-19.817398071289062,-4.954349517822266,4
mp-1182164-GGA,BaO6,-73.37699890136719,-5.241214207240513,14
mp-1182169-GGA,BaO6,-73.40261840820312,-5.243044172014509,14
mp-1182327-GGA,BaO4,-107.73121643066406,-5.3865608215332035,20
mp-1182404-GGA,BaO10,-112.08866882324219,-5.094939491965554,22
mp-1182433-GGA,BaO4,-107.67231750488281,-5.383615875244141,20
mp-1182511-GGA,BaO10,-111.94127655029297,-5.088239843195135,22
mp-1182576-GGA,BaO10,-112.17488098144531,-5.098858226429332,22
mp-1190186-GGA,ZrO2,-229.1356201171875,-9.547317504882812,24
mp-1198148-GGA,BaO10,-222.8811492919922,-5.065480665727095,44
mp-1198787-GGA,BaO6,-293.9632873535156,-5.249344417027065,56
mp-1215377-GGA,Zr4O,-134.20318603515625,-8.946879069010416,15
mp-122-GGA,Ba,-1.9034066200256348,-1.9034066200256348,1
mp-1245298-GGA,BaO,-571.4743041992188,-5.714743041992188,100
mp-1245311-GGA,BaO,-573.8076171875,-5.738076171875,100
mp-12957-GGA,O2,-39.647438049316406,-4.955929756164551,8
mp-131-GGA,Zr,-17.057804107666016,-8.528902053833008,2
mp-1342-GGA,BaO,-11.810745239257812,-5.905372619628906,2
mp-14024-GGA,Zr3O,-72.47811889648438,-9.059764862060547,8
mp-1565-GGA,ZrO2,-28.502445220947266,-9.500815073649088,3
mp-2574-GGA,ZrO2,-57.18227767944336,-9.53037961324056,6
mp-2858-GGA,ZrO2,-114.84649658203125,-9.570541381835938,12
mp-3834-GGA,BaZrO3,-41.62676239013672,-8.325352478027344,5
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-556605-GGA,ZrO2,-114.56586456298828,-9.547155380249023,12
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-561418-GGA,Zr3O,-144.90020751953125,-9.056262969970703,16
mp-570384-GGA,Ba,-7.150859832763672,-1.787714958190918,4
mp-605790-GGA,Ba,-1.7207629680633545,-1.7207629680633545,1
mp-607540-GGA,O2,-9.86624526977539,-4.933122634887695,2
mp-610917-GGA,O2,-9.860146522521973,-4.930073261260986,2
mp-611836-GGA,O2,-9.862442970275879,-4.9312214851379395,2
mp-684977-GGA,Zr27O49,-718.1913452148438,-9.449886121247944,76
mp-685070-GGA,Zr19O40,-548.138427734375,-9.290481826006356,59
mp-723285-GGA,O2,-39.51435089111328,-4.93929386138916,8
mp-726415-GGA,BaO2,-137.8668212890625,-5.7444508870442705,24
mp-7487-GGA,BaO,-23.148502349853516,-5.787125587463379,4
mp-753629-GGA,Zr2O,-164.93252563476562,-9.162918090820312,18
mp-754403-GGA,ZrO2,-57.35130310058594,-9.558550516764322,6
mp-754741-GGA,ZrO2,-113.81558227539062,-9.484631856282553,12
mp-755089-GGA,ZrO2,-114.62966918945312,-9.552472432454428,12
mp-755556-GGA,Ba6ZrO8,-100.0845718383789,-6.672304789225261,15
mp-755759-GGA,ZrO2,-114.33019256591797,-9.52751604715983,12
mp-755769-GGA,ZrO2,-114.25077056884766,-9.52089754740397,12
mp-755895-GGA,Ba3Zr2O7,-95.30807495117188,-7.942339579264323,12
mp-761151-GGA,Zr6O11,-161.192138671875,-9.481890510110293,17
mp-769391-GGA,Ba4ZrO6,-153.14950561523438,-6.961341164328835,22
mp-769802-GGA,Ba2Zr7O16,-225.97059631347656,-9.038823852539062,25
mp-775909-GGA,ZrO2,-57.173309326171875,-9.528884887695312,6
mp-775910-GGA,ZrO2,-285.1424865722656,-9.504749552408855,30
mp-775935-GGA,ZrO2,-85.37862396240234,-9.48651377360026,9
mp-775980-GGA,ZrO2,-343.0694885253906,-9.529708014594185,36
mp-776386-GGA,ZrO2,-227.86087036132812,-9.494202931722006,24
mp-776404-GGA,ZrO2,-229.54449462890625,-9.564353942871094,24
mp-776427-GGA,ZrO2,-228.8283233642578,-9.534513473510742,24
mp-776658-GGA,BaO,-188.3630828857422,-5.886346340179443,32
mp-8335-GGA,Ba2ZrO4,-53.62944793701172,-7.661349705287388,7
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-963-GGA,ZrO2,-113.55392456054688,-9.46282704671224,12
