chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaO3Zr,3.4604434967041016,https://elagente.ca/grafico/ConceptualAtoms_19abbc5c-ff29-44d5-9b4a-17faa7b51351,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_63acbc44-363c-42ca-8560-526cd5b3f6da,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_b2942a8f/output.json,0.1,0.0003524780273451711,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_67803fc4-890b-47c3-901a-db5e922f5bab,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_19abbc5c-ff29-44d5-9b4a-17faa7b51351,BaO3Zr
BaO3Zr,3.4770309925079346,https://elagente.ca/grafico/ConceptualAtoms_1af1a9c3-31c6-4e21-9413-7c0cc6bace9c,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b54de72e-7758-458b-b83b-8c47f9bce017,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_8aeb76aa/output.json,0.1,0.001277923583984375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_febfbba6-ab14-4818-890e-eb9aef03cbe1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1af1a9c3-31c6-4e21-9413-7c0cc6bace9c,BaO3Zr
BaO3Zr,3.4627835750579834,https://elagente.ca/grafico/ConceptualAtoms_5c0cc54e-ea33-4861-b820-484108ff0d12,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2bac5c20-288c-4283-8b16-27829030f911,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_318d13ec/output.json,0.1,0.0008880615234385658,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2b45276b-4ff3-41b2-8a06-7244b51218e0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5c0cc54e-ea33-4861-b820-484108ff0d12,BaO3Zr
BaO3Zr,3.448298454284668,https://elagente.ca/grafico/ConceptualAtoms_62137319-ff84-43b1-8cfc-496d4cd52808,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7f708816-8a7a-4c3b-9b53-f7eca8725a5c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_abbe9551/output.json,0.1,0.000164031982421875,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4c936a9c-669d-4703-a994-cdb690684866,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_62137319-ff84-43b1-8cfc-496d4cd52808,BaO3Zr
BaO3Zr,3.4684863090515137,https://elagente.ca/grafico/ConceptualAtoms_8f6312af-f23a-43dc-90d3-58d8240613a9,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_57ed3208-7063-460e-bbda-02e897424cf9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_35c247e9/output.json,0.1,0.0004554748535170461,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c6a2929f-cec6-44e0-b9c9-fbac86ea6188,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8f6312af-f23a-43dc-90d3-58d8240613a9,BaO3Zr
BaO3Zr,3.453037738800049,https://elagente.ca/grafico/ConceptualAtoms_92bfbdfc-8ac7-45d0-a162-ef6a548e11e5,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5d326528-896a-4394-95f5-99905860352b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_aa10d641/output.json,0.1,0.0008346557617198158,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ad384b6b-9890-4d55-aad8-2eb9bfdcb5e5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_92bfbdfc-8ac7-45d0-a162-ef6a548e11e5,BaO3Zr
BaO3Zr,3.478024482727051,https://elagente.ca/grafico/ConceptualAtoms_98dc1a92-67a9-48c5-a234-ce0bb2682973,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f13eee45-ba40-4ba1-91dd-c5b6ac75b7c2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_4ec9b7ea/output.json,0.1,0.00025405883789098027,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_029a1ee3-d84b-41f5-8f0a-b8b66d20b429,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_98dc1a92-67a9-48c5-a234-ce0bb2682973,BaO3Zr
BaO3Zr,3.448535203933716,https://elagente.ca/grafico/ConceptualAtoms_ba050662-c390-49b3-bc97-89b0af9f3ccc,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_cd155e76-b9de-4e1a-90f7-adf01c547c42,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_c886c344/output.json,0.1,0.001176452636720171,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3ac29861-2058-495f-b075-c286af5a0d46,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ba050662-c390-49b3-bc97-89b0af9f3ccc,BaO3Zr
BaO3Zr,3.44880747795105,https://elagente.ca/grafico/ConceptualAtoms_ca8816d3-38dc-4c00-9efd-4e351e20b0b4,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_446aadd9-963f-4add-97b0-29df06ddd28c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_10a187fe/output.json,0.1,0.00031738281250071054,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_08effcc7-32ae-4525-9ccc-4c4d3fbe45d6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ca8816d3-38dc-4c00-9efd-4e351e20b0b4,BaO3Zr
BaO3Zr,3.460636854171753,https://elagente.ca/grafico/ConceptualAtoms_dc929586-868d-4e3c-b3ae-3c1f031db937,-10.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9cf378d0-2426-4145-b794-502ba6d87d3c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_X9mRKstMywXyHkijsFbG7aSv/structures/BaO3Zr_cfedb88e/output.json,0.1,0.0007888793945323158,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_62995634-fc9b-4040-8aa1-80f19bd8d7d9,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_3c3ba677-d0d4-4b07-a3ed-d8d8c956274f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_dc929586-868d-4e3c-b3ae-3c1f031db937,BaO3Zr
