entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1006878-GGA,BaO2,-16.974998474121094,-5.658332824707031,3
mp-1008500-GGA,BaO,-23.509920120239258,-5.8774800300598145,4
mp-1009490-GGA,O2,-9.885539054870605,-4.942769527435303,2
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1041584-GGA,SnO2,-74.57405090332031,-6.214504241943359,12
mp-1041984-GGA,SnO2,-36.38911437988281,-6.064852396647136,6
mp-1044721-GGA,SnO2,-72.73619079589844,-6.061349232991536,12
mp-1056308-GGA,Sn,-3.769486904144287,-3.769486904144287,1
mp-1058581-GGA,Ba,-3.800442695617676,-1.900221347808838,2
mp-1066100-GGA,O2,-19.73827362060547,-4.934568405151367,4
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1078644-GGA,SnO,-44.4697151184082,-5.558714389801025,8
mp-1087546-GGA,O2,-39.462501525878906,-4.932812690734863,8
mp-1096840-GGA,Ba,-3.8030378818511963,-1.9015189409255981,2
mp-1105-GGA,BaO2,-17.359403610229492,-5.786467870076497,3
mp-117-GGA,Sn,-7.702747821807861,-3.8513739109039307,2
mp-1178513-GGA,BaSnO3,-62.86808395385742,-6.2868083953857425,10
mp-1178514-GGA,BaO,-23.51045036315918,-5.877612590789795,4
mp-1178531-GGA,BaO,-376.67437744140625,-5.885537147521973,64
mp-1179414-GGA,Sn,-30.18937110900879,-3.7736713886260986,8
mp-1180036-GGA,O2,-19.818716049194336,-4.954679012298584,4
mp-1182164-GGA,BaO6,-73.38456726074219,-5.241754804338727,14
mp-1182169-GGA,BaO6,-73.40264892578125,-5.243046351841518,14
mp-1182327-GGA,BaO4,-107.730712890625,-5.38653564453125,20
mp-1182404-GGA,BaO10,-112.09413146972656,-5.09518779407848,22
mp-1182433-GGA,BaO4,-107.67201232910156,-5.3836006164550785,20
mp-1182511-GGA,BaO10,-111.93846893310547,-5.088112224232066,22
mp-1182576-GGA,BaO10,-112.17793273925781,-5.098996942693537,22
mp-1190176-GGA,Ba3Sn2,-66.38761901855469,-3.3193809509277346,20
mp-1198148-GGA,BaO10,-222.881103515625,-5.065479625355113,44
mp-1198787-GGA,BaO6,-293.9630126953125,-5.249339512416294,56
mp-122-GGA,Ba,-1.9034066200256348,-1.9034066200256348,1
mp-1245076-GGA,SnO,-439.25091552734375,-5.4906364440917965,80
mp-1245298-GGA,BaO,-571.490966796875,-5.71490966796875,100
mp-1245311-GGA,BaO,-573.8013916015625,-5.738013916015625,100
mp-1245329-GGA,SnO,-438.8562927246094,-5.485703659057617,80
mp-12957-GGA,O2,-39.66725158691406,-4.958406448364258,8
mp-12978-GGA,SnO2,-74.3897705078125,-6.199147542317708,12
mp-1342-GGA,BaO,-11.810688018798828,-5.905344009399414,2
mp-1374892-GGA,SnO2,-147.1190185546875,-6.1299591064453125,24
mp-1384340-GGA,SnO2,-73.86456298828125,-6.1553802490234375,12
mp-1390618-GGA,SnO2,-18.198719024658203,-6.066239674886067,3
mp-1401382-GGA,SnO2,-72.4713363647461,-6.039278030395508,12
mp-17325-GGA,Ba5Sn3,-52.07966995239258,-3.254979372024536,16
mp-18636-GGA,Ba3Sn5,-59.45567321777344,-3.71597957611084,16
mp-1981-GGA,Ba2Sn,-37.779571533203125,-3.1482976277669272,12
mp-2097-GGA,SnO,-22.704540252685547,-5.676135063171387,4
mp-29243-GGA,Ba3SnO,-21.420398712158203,-4.284079742431641,5
mp-3163-GGA,BaSnO3,-31.45597267150879,-6.2911945343017575,5
mp-3359-GGA,Ba2SnO4,-43.763763427734375,-6.251966203962054,7
mp-545552-GGA,SnO,-22.42616081237793,-5.606540203094482,4
mp-545820-GGA,SnO,-45.38543701171875,-5.673179626464844,8
mp-55-GGA,Sn,-3.7681217193603516,-3.7681217193603516,1
mp-550172-GGA,SnO2,-37.28107452392578,-6.213512420654297,6
mp-555487-GGA,SnO2,-223.38259887695312,-6.205072191026476,36
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-560417-GGA,SnO2,-145.90017700195312,-6.079174041748047,24
mp-567510-GGA,BaSn2,-11.304208755493164,-3.768069585164388,3
mp-570384-GGA,Ba,-7.151147842407227,-1.7877869606018066,4
mp-571353-GGA,BaSn5,-22.872028350830078,-3.812004725138346,6
mp-605790-GGA,Ba,-1.7207684516906738,-1.7207684516906738,1
mp-607540-GGA,O2,-9.868011474609375,-4.9340057373046875,2
mp-610917-GGA,O2,-9.859903335571289,-4.9299516677856445,2
mp-611836-GGA,O2,-9.861736297607422,-4.930868148803711,2
mp-623511-GGA,Sn,-3.779235363006592,-3.779235363006592,1
mp-697-GGA,SnO2,-73.36897277832031,-6.114081064860026,12
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-723285-GGA,O2,-39.51403045654297,-4.939253807067871,8
mp-726415-GGA,BaO2,-137.8644561767578,-5.744352340698242,24
mp-7487-GGA,BaO,-23.14850616455078,-5.787126541137695,4
mp-755071-GGA,SnO2,-36.92034912109375,-6.153391520182292,6
mp-768510-GGA,Ba4Sn3O10,-213.3907470703125,-6.2761984432444855,34
mp-770846-GGA,Ba3Sn2O7,-150.44906616210938,-6.268711090087891,24
mp-772086-GGA,Ba4Sn3O10,-211.67721557617188,-6.225800458122702,34
mp-7759-GGA,BaSn3,-30.514080047607422,-3.8142600059509277,8
mp-776658-GGA,BaO,-188.36322021484375,-5.886350631713867,32
mp-84-GGA,Sn,-7.603857040405273,-3.8019285202026367,2
mp-856-GGA,SnO2,-37.27882766723633,-6.213137944539388,6
mp-872-GGA,BaSn,-14.282794952392578,-3.5706987380981445,4
mp-949028-GGA,Sn,-175.1461181640625,-3.8075243079144023,46
mp-978114-GGA,Sn5O6,-128.2017364501953,-5.82735165682706,22
