chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaO3Sn,2.203944206237793,https://elagente.ca/grafico/ConceptualAtoms_12595c3c-f55e-40db-a5d1-c202a60c2b0b,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d82cc7ef-54da-4356-8a18-c254391ad43c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_45bf46a8/output.json,0.1,0.0028320312499996447,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d8723118-0d21-47f4-808b-4514d38732c6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_12595c3c-f55e-40db-a5d1-c202a60c2b0b,BaO3Sn
BaO3Sn,2.1972665786743164,https://elagente.ca/grafico/ConceptualAtoms_49794200-7ea8-4681-b5fe-fcad527ef1b8,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d1facbdc-7105-4131-953a-364c92d58dd6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_e3a5248c/output.json,0.1,0.0016384124755859375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9d429912-cb88-4b2a-8ec2-1b0d13eac6b2,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_49794200-7ea8-4681-b5fe-fcad527ef1b8,BaO3Sn
BaO3Sn,2.1967177391052246,https://elagente.ca/grafico/ConceptualAtoms_565702f7-354f-4dc5-9588-88d16bc0971b,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0545ee9a-8e6c-4ef5-915d-3112cb23eaa5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_db768f6a/output.json,0.1,0.0035282135009762072,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_262c039e-c3b9-416b-8e4b-3506c0b2e258,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_565702f7-354f-4dc5-9588-88d16bc0971b,BaO3Sn
BaO3Sn,2.1943938732147217,https://elagente.ca/grafico/ConceptualAtoms_6864893d-a24b-49c0-b342-6e70a18604fc,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d49ebb06-e068-489e-8a2b-53904d3b5d4f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_6b560776/output.json,0.1,0.0032497406005855822,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5e4754e1-ef66-483c-bc05-3893617c3978,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6864893d-a24b-49c0-b342-6e70a18604fc,BaO3Sn
BaO3Sn,2.2246603965759277,https://elagente.ca/grafico/ConceptualAtoms_6bb370ac-1054-4ce9-97f4-7c3137c8249b,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_042c6b4d-9762-423e-8ac6-3582bd633116,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_a6f37fa5/output.json,0.1,0.00220489501953125,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e8bcd63f-bc8e-453d-b359-3012c6f94c83,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6bb370ac-1054-4ce9-97f4-7c3137c8249b,BaO3Sn
BaO3Sn,2.193218231201172,https://elagente.ca/grafico/ConceptualAtoms_a327f877-ffa7-4be7-b278-e59a0e3d5853,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_17b9be4c-fc5c-400e-b616-02cc033c35ab,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_91693308/output.json,0.1,0.0033370971679680395,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f0e92a7f-31de-438d-8b1b-33f1757ae0fb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a327f877-ffa7-4be7-b278-e59a0e3d5853,BaO3Sn
BaO3Sn,2.1932010650634766,https://elagente.ca/grafico/ConceptualAtoms_c1b46a40-8777-4f4d-bb86-12a0b06a343e,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2f3269df-2541-4640-b7bc-6db514c18e3f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_d78083a5/output.json,0.1,0.0035327911376947796,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_88f3d326-d130-4fcb-8025-b13c59a0da79,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c1b46a40-8777-4f4d-bb86-12a0b06a343e,BaO3Sn
BaO3Sn,2.166123390197754,https://elagente.ca/grafico/ConceptualAtoms_cd73fbc2-46d8-48cf-b66a-6b7b11173a03,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_27328ebd-18d3-45bb-8553-49594ab116e9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_23aa5856/output.json,0.1,0.003332901000976385,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fd053d76-4fee-40c9-8936-885d5dc0e7b6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cd73fbc2-46d8-48cf-b66a-6b7b11173a03,BaO3Sn
BaO3Sn,2.1952524185180664,https://elagente.ca/grafico/ConceptualAtoms_e1cca551-43f2-40ce-9358-fa4104d60fca,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1bc68f0d-c48a-4f18-a4a9-77b820b6d0ac,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_1ea79747/output.json,0.1,0.00454483032226527,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a884dd08-0ff7-48cf-9430-6ecdfe927097,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e1cca551-43f2-40ce-9358-fa4104d60fca,BaO3Sn
BaO3Sn,2.190985679626465,https://elagente.ca/grafico/ConceptualAtoms_ed4c76c4-2ded-4cd1-9533-285d084642d9,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d2a18189-c85e-4ae5-822c-23fab332fbd3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iS60doyR48AVsEbryGjv4W6Q/structures/BaO3Sn_e67baf7c/output.json,0.1,0.0019996643066404474,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_00d4a4ad-ee5c-409a-bb0a-16046e288bc6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_915938d5-93be-4e2a-b9ca-4e0fd79b6628,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ed4c76c4-2ded-4cd1-9533-285d084642d9,BaO3Sn
