entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.05752944946289,-4.514382362365723,4
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1068966-GGA,K,-4.911158561706543,-0.9822317123413086,5
mp-1078640-GGA,K,-7.908141613006592,-0.988517701625824,8
mp-1078836-GGA,KI,-11.051567077636719,-2.7628917694091797,4
mp-1080043-GGA,K,-8.123698234558105,-1.0154622793197632,8
mp-1080106-GGA,Ge,-34.99966049194336,-4.37495756149292,8
mp-1091415-GGA,Ge,-36.11240005493164,-4.514050006866455,8
mp-1180961-GGA,K,-2.029775619506836,-1.014887809753418,2
mp-1180981-GGA,I,-1.4365839958190918,-1.4365839958190918,1
mp-1180991-GGA,K,-5.00161075592041,-1.000322151184082,5
mp-1184755-GGA,K,-2.1151504516601562,-1.0575752258300781,2
mp-1184764-GGA,K,-3.1734750270843506,-1.057825009028117,3
mp-1184804-GGA,K,-8.444497108459473,-1.055562138557434,8
mp-1184808-GGA,K,-8.320993423461914,-1.0401241779327393,8
mp-1184905-GGA,K,-20.90593147277832,-1.045296573638916,20
mp-1185201-GGA,K,-30.260709762573242,-1.0434727504335601,29
mp-1196998-GGA,K3Ge17,-162.6868438720703,-4.067171096801758,40
mp-1198022-GGA,Ge,-151.87713623046875,-4.466974595013787,34
mp-1199937-GGA,K,-83.08081817626953,-1.025689113287278,81
mp-1201758-GGA,KGe,-95.8391342163086,-2.9949729442596436,32
mp-128-GGA,Ge,-34.81618118286133,-4.352022647857666,8
mp-137-GGA,Ge,-52.05695724487305,-4.338079770406087,12
mp-1540935-GGA,GeI2,-25.730567932128906,-2.8589519924587674,9
mp-2146-GGA,KGe,-192.6367950439453,-3.0099499225616455,64
mp-22898-GGA,KI,-5.56224250793457,-2.781121253967285,2
mp-22901-GGA,KI,-5.41987419128418,-2.70993709564209,2
mp-23153-GGA,I,-5.968624114990234,-1.4921560287475586,4
mp-23266-GGA,GeI4,-95.86865997314453,-2.396716499328613,40
mp-27800-GGA,K4Ge23,-220.62747192382812,-4.085693924515335,54
mp-27922-GGA,GeI2,-25.708967208862305,-2.856551912095812,9
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-567677-GGA,GeI2,-8.251764297485352,-2.7505880991617837,3
mp-573691-GGA,K,-8.342939376831055,-1.0428674221038818,8
mp-58-GGA,K,-1.049010157585144,-1.049010157585144,1
mp-601148-GGA,I,-1.4356122016906738,-1.4356122016906738,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.029086112976074,-1.014543056488037,2
mp-639751-GGA,I,-1.492561936378479,-1.492561936378479,1
mp-726865-GGA,KI,-22.097206115722656,-2.762150764465332,8
mp-972981-GGA,K,-2.1124918460845947,-1.0562459230422974,2
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
