chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
GeI3K,1.196555495262146,https://elagente.ca/grafico/ConceptualAtoms_4334720d-8faa-4672-8b02-8311b4c092d4,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4d359389-05f2-4b21-8ebf-753ad79407e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_a7df59d1/output.json,0.1,0.05921332041422511,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bbebd6b6-489a-40f8-b258-22095b4adfb1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4334720d-8faa-4672-8b02-8311b4c092d4,GeI3K
GeI3K,1.272948980331421,https://elagente.ca/grafico/ConceptualAtoms_5f75e847-048f-4830-ba21-5312bc9f866e,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f7dd075a-7d06-4a6b-b976-806d30491b30,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_bc76505e/output.json,0.1,0.06446406046549491,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fafe1f0e-4252-4d08-b6e0-2cbc7171196d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5f75e847-048f-4830-ba21-5312bc9f866e,GeI3K
GeI3K,1.2213304042816162,https://elagente.ca/grafico/ConceptualAtoms_6b48c1af-2ebc-4df7-8e52-a8f1972c7ffa,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a709418a-b0c9-4dc4-9a23-afee8679d9e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_ffe99d92/output.json,0.1,0.06145636240641261,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6dbfe04b-716f-4cd1-8c76-9f3595749c05,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6b48c1af-2ebc-4df7-8e52-a8f1972c7ffa,GeI3K
GeI3K,1.3206615447998047,https://elagente.ca/grafico/ConceptualAtoms_6bb03bc6-d447-42af-98db-543425a2c414,-7.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_cb67bbba-ebe7-4eb7-8150-e47e4a1cb475,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_387f7aca/output.json,0.1,0.056278101603190134,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1afff3a1-9cf6-42ed-a68c-efc875e576b1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6bb03bc6-d447-42af-98db-543425a2c414,GeI3K
GeI3K,1.1984944343566895,https://elagente.ca/grafico/ConceptualAtoms_781fe356-ac7e-46fc-aa72-b0db617f5e3b,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_14f8db28-9d5f-4a13-bd2d-0fff2fd44dac,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_eb9c51de/output.json,0.1,0.06726748148600281,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4f34222c-a8dc-41ed-95ba-27251180aaa3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_781fe356-ac7e-46fc-aa72-b0db617f5e3b,GeI3K
GeI3K,1.3639941215515137,https://elagente.ca/grafico/ConceptualAtoms_91ebf7f8-62e7-4fec-a3b0-8661f9079f3a,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_393f90c8-2f11-479b-8f2b-a600742ba5d8,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_b8fc4b1c/output.json,0.1,0.062398783365885446,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_adb7c1f4-b39f-494d-8499-d92a260afbb0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_91ebf7f8-62e7-4fec-a3b0-8661f9079f3a,GeI3K
GeI3K,1.1846040487289429,https://elagente.ca/grafico/ConceptualAtoms_b715f4df-ced3-42c0-8497-16da0672056e,-7.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fca053a1-fc8f-40f1-849b-989da94b9c46,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_eba789b2/output.json,0.1,0.06467920939127625,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_87121fc6-f5d8-4587-a303-eebce0fbec3b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b715f4df-ced3-42c0-8497-16da0672056e,GeI3K
GeI3K,1.3930774927139282,https://elagente.ca/grafico/ConceptualAtoms_c96c0e9a-766b-4686-82ed-ce1eec6c43a6,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_74800825-0b7a-41ee-9a1f-b798e718eddf,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_245e6be1/output.json,0.1,0.06612974802653016,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0ef62438-fd1c-40af-afa7-350e731d9c23,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c96c0e9a-766b-4686-82ed-ce1eec6c43a6,GeI3K
GeI3K,1.1615779399871826,https://elagente.ca/grafico/ConceptualAtoms_daa7111b-1bbb-434d-a83e-7b37db500b78,-7.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6032d68e-91c2-4e03-87da-e39bfe3ff240,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_9fa3b693/output.json,0.1,0.06906801859537781,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_cfdd88d5-8b01-4fe6-9d03-9b6c03331d6b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_daa7111b-1bbb-434d-a83e-7b37db500b78,GeI3K
GeI3K,1.1680757999420166,https://elagente.ca/grafico/ConceptualAtoms_ff8c9ae7-ae6e-4155-8217-2c78184b63b5,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b99b288a-ce80-46d1-be55-960993464298,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jwDO80WleRusQ2LqiyrzH9Jl/structures/GeI3K_19336c9f/output.json,0.1,0.06429602305094395,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d87b904b-8b40-4c4e-9f58-e5a62947be5c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_575ab919-6a4d-47b4-a551-d3ed04bf793d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ff8c9ae7-ae6e-4155-8217-2c78184b63b5,GeI3K
