entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745930671691895,-9.745930671691895,1
mp-1006878-GGA,BaO2,-16.97494125366211,-5.658313751220703,3
mp-1008500-GGA,BaO,-23.50990104675293,-5.877475261688232,4
mp-1009460-GGA,Hf,-29.620431900024414,-9.873477300008139,3
mp-1009490-GGA,O2,-9.885469436645508,-4.942734718322754,2
mp-1018721-GGA,HfO2,-60.73374557495117,-10.12229092915853,6
mp-103-GGA,Hf,-19.878496170043945,-9.939248085021973,2
mp-1058581-GGA,Ba,-3.800976514816284,-1.900488257408142,2
mp-1066100-GGA,O2,-19.739883422851562,-4.934970855712891,4
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1087546-GGA,O2,-39.46234130859375,-4.932792663574219,8
mp-1096840-GGA,Ba,-3.803652286529541,-1.9018261432647705,2
mp-1105-GGA,BaO2,-17.35943603515625,-5.786478678385417,3
mp-1178514-GGA,BaO,-23.51044464111328,-5.87761116027832,4
mp-1178531-GGA,BaO,-376.67413330078125,-5.885533332824707,64
mp-1180036-GGA,O2,-19.816436767578125,-4.954109191894531,4
mp-1182164-GGA,BaO6,-73.37788391113281,-5.241277422223773,14
mp-1182169-GGA,BaO6,-73.40242767333984,-5.243030548095703,14
mp-1182327-GGA,BaO4,-107.73036193847656,-5.386518096923828,20
mp-1182404-GGA,BaO10,-112.09143829345703,-5.095065376975319,22
mp-1182433-GGA,BaO4,-107.67223358154297,-5.383611679077148,20
mp-1182511-GGA,BaO10,-111.93086242675781,-5.087766473943537,22
mp-1182576-GGA,BaO10,-112.18940734863281,-5.099518515846946,22
mp-1198148-GGA,BaO10,-222.8780059814453,-5.06540922685103,44
mp-1198787-GGA,BaO6,-293.9626159667969,-5.249332427978516,56
mp-122-GGA,Ba,-1.9034066200256348,-1.9034066200256348,1
mp-1224381-GGA,HfO2,-121.03254699707031,-10.086045583089193,12
mp-1245298-GGA,BaO,-571.4894409179688,-5.714894409179688,100
mp-1245311-GGA,BaO,-573.8079833984375,-5.738079833984375,100
mp-12957-GGA,O2,-39.66310119628906,-4.957887649536133,8
mp-1342-GGA,BaO,-11.810745239257812,-5.905372619628906,2
mp-1858-GGA,HfO2,-243.7216339111328,-10.155068079630533,24
mp-352-GGA,HfO2,-122.10897064208984,-10.175747553507486,12
mp-550893-GGA,HfO2,-30.26767921447754,-10.089226404825846,3
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-570384-GGA,Ba,-7.150795936584473,-1.7876989841461182,4
mp-605790-GGA,Ba,-1.7207809686660767,-1.7207809686660767,1
mp-607540-GGA,O2,-9.86673355102539,-4.933366775512695,2
mp-610917-GGA,O2,-9.860175132751465,-4.930087566375732,2
mp-611836-GGA,O2,-9.861623764038086,-4.930811882019043,2
mp-685097-GGA,HfO2,-121.78376770019531,-10.14864730834961,12
mp-723285-GGA,O2,-39.51420593261719,-4.939275741577148,8
mp-726415-GGA,BaO2,-137.8672637939453,-5.744469324747722,24
mp-741-GGA,HfO2,-120.53640747070312,-10.044700622558594,12
mp-7487-GGA,BaO,-23.148500442504883,-5.787125110626221,4
mp-754128-GGA,Ba3Hf2O7,-99.13789367675781,-8.261491139729818,12
mp-754363-GGA,Ba2HfO4,-55.53666305541992,-7.933809007917132,7
mp-755610-GGA,Ba6HfO8,-101.97726440429688,-6.798484293619792,15
mp-756014-GGA,Ba4HfO6,-156.9393768310547,-7.133608037775213,22
mp-756180-GGA,Ba2Hf7O16,-238.61663818359375,-9.54466552734375,25
mp-775757-GGA,HfO2,-244.1165771484375,-10.171524047851562,24
mp-776097-GGA,HfO2,-365.5572814941406,-10.154368930392796,36
mp-776532-GGA,HfO2,-60.96870422363281,-10.161450703938803,6
mp-776658-GGA,BaO,-188.36317443847656,-5.886349201202393,32
mp-779519-GGA,Ba4Hf3O10,-285.31365966796875,-8.391578225528493,34
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-998552-GGA,BaHfO3,-43.55924987792969,-8.711849975585938,5
