chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaHfO3,3.6380724906921387,https://elagente.ca/grafico/ConceptualAtoms_18bc88cf-0998-472d-bbdd-799dadb3c6ba,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4117f426-9377-4fb9-933e-ea948bfb1fe2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_42ebae70/output.json,0.1,0.003222656250001066,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_dc1c6e76-2202-408a-9c5f-3792102bc168,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_18bc88cf-0998-472d-bbdd-799dadb3c6ba,BaHfO3
BaHfO3,3.6540184020996094,https://elagente.ca/grafico/ConceptualAtoms_282022ad-ef4e-4ef0-b89c-4745e5b68957,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f5a0cef6-57bd-4c08-924b-9e0dea0399a0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_d0353d53/output.json,0.1,0.002883148193360441,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_13c7c4c8-6d0a-45eb-8171-a206df966148,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_282022ad-ef4e-4ef0-b89c-4745e5b68957,BaHfO3
BaHfO3,3.629185199737549,https://elagente.ca/grafico/ConceptualAtoms_5c5d7ca8-1790-4140-9e6e-67fca3550cf3,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d79ba928-0a23-4995-bdde-877886090741,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_089a56cd/output.json,0.1,0.001983642578125,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7c304f62-f64e-4b97-bd80-2624e7f38bd1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5c5d7ca8-1790-4140-9e6e-67fca3550cf3,BaHfO3
BaHfO3,3.645045518875122,https://elagente.ca/grafico/ConceptualAtoms_67264c61-2f20-4c76-88e9-74fbc2b8470c,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b57d2bba-3c07-47ed-ab14-0eec9bd59bfc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_2d07993d/output.json,0.1,0.0031761169433597303,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_02aef7c4-4f26-4819-a8bb-9c0dea237005,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_67264c61-2f20-4c76-88e9-74fbc2b8470c,BaHfO3
BaHfO3,3.6594560146331787,https://elagente.ca/grafico/ConceptualAtoms_77d50b32-0e72-4ab9-ad6f-cd85c9016258,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d83b5377-8b00-4aef-affe-0e3b3bbefb8d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_33a5d76e/output.json,0.1,0.0024116516113288355,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b3bcff72-071a-4083-85ca-e857cab25205,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_77d50b32-0e72-4ab9-ad6f-cd85c9016258,BaHfO3
BaHfO3,3.6415021419525146,https://elagente.ca/grafico/ConceptualAtoms_ad4f7087-d90a-4dc8-8f1c-38e952ff07a1,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1c14af85-e04c-44ec-a306-18c9a478e035,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_04eb23f1/output.json,0.1,0.003009033203126066,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1570c2ce-a365-438a-98b4-0c604120e490,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ad4f7087-d90a-4dc8-8f1c-38e952ff07a1,BaHfO3
BaHfO3,3.6408090591430664,https://elagente.ca/grafico/ConceptualAtoms_c0ea5341-64ba-41ea-9308-b115abe16efb,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d91002ae-c19c-434e-a244-7215481a63ca,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_33c2028d/output.json,0.1,0.00266265869140625,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d22575e4-2de9-44b7-b958-d60b67075272,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c0ea5341-64ba-41ea-9308-b115abe16efb,BaHfO3
BaHfO3,3.6609294414520264,https://elagente.ca/grafico/ConceptualAtoms_ca8b230a-4967-4a5c-b902-23b7b4c2e4b4,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d398d4da-15a2-4f6c-9fc3-d3045c6ca335,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_7e61daa5/output.json,0.1,0.004726409912109375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8b9becd2-f477-4d70-b0fe-e568b056d4a7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ca8b230a-4967-4a5c-b902-23b7b4c2e4b4,BaHfO3
BaHfO3,3.6416046619415283,https://elagente.ca/grafico/ConceptualAtoms_e0df97b6-0d4f-4129-855d-e8d55d08553e,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9ad1011f-5ea4-433a-a112-70a5307d47c5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_351a6812/output.json,0.1,0.0036300659179691053,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ca04eccc-eaf8-4479-8cab-111e4b369c5c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e0df97b6-0d4f-4129-855d-e8d55d08553e,BaHfO3
BaHfO3,3.661510467529297,https://elagente.ca/grafico/ConceptualAtoms_e541723c-dde0-4c32-906b-49fec2158f89,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6d3af2c1-6851-4d50-9dcd-630e37a70e9d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_q2Tst4Pqo7ZuB5WyBzCucKdT/structures/BaHfO3_3ffed762/output.json,0.1,0.0010803222656257105,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ca32fea7-30e7-42e2-9b99-5182d0bfcfd0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_e0d79ef2-9570-4ae9-bfe6-5df076bd80cb,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e541723c-dde0-4c32-906b-49fec2158f89,BaHfO3
