entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1018045-GGA,Rb,-3.789534568786621,-0.9473836421966553,4
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1056308-GGA,Sn,-3.769486427307129,-3.769486427307129,1
mp-1063817-GGA,Rb,-3.7357711791992188,-0.9339427947998047,4
mp-1067833-GGA,SnI3,-9.479259490966797,-2.369814872741699,4
mp-1095094-GGA,SnI3,-19.09209442138672,-2.38651180267334,8
mp-11054-GGA,RbSn,-85.66436004638672,-2.677011251449585,32
mp-117-GGA,Sn,-7.702747821807861,-3.8513739109039307,2
mp-1179414-GGA,Sn,-30.18943214416504,-3.77367901802063,8
mp-1179656-GGA,Rb,-7.625033378601074,-0.9531291723251343,8
mp-1179802-GGA,Rb,-7.560283184051514,-0.9450353980064392,8
mp-1180981-GGA,I,-1.4367082118988037,-1.4367082118988037,1
mp-1186853-GGA,Rb,-19.01486587524414,-0.950743293762207,20
mp-1186899-GGA,Rb,-27.41271209716797,-0.9452659343851024,29
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-22903-GGA,RbI,-5.473342418670654,-2.736671209335327,2
mp-23153-GGA,I,-5.968687057495117,-1.4921717643737793,4
mp-23182-GGA,SnI4,-93.91911315917969,-2.3479778289794924,40
mp-23302-GGA,RbI,-5.3789825439453125,-2.6894912719726562,2
mp-27194-GGA,SnI2,-25.02808952331543,-2.780898835923937,9
mp-27635-GGA,Rb2SnI6,-22.719003677368164,-2.524333741929796,9
mp-28328-GGA,RbI3,-34.56977462768555,-2.1606109142303467,16
mp-29405-GGA,RbSnI3,-55.964473724365234,-2.798223686218262,20
mp-55-GGA,Sn,-3.768120288848877,-3.768120288848877,1
mp-569688-GGA,Rb,-24.61275291442871,-0.9466443428626428,26
mp-571436-GGA,SnI4,-11.654083251953125,-2.330816650390625,5
mp-601148-GGA,I,-1.4355998039245605,-1.4355998039245605,1
mp-604321-GGA,Rb,-3.839038610458374,-0.9597596526145935,4
mp-623511-GGA,Sn,-3.7792348861694336,-3.7792348861694336,1
mp-639736-GGA,Rb,-1.8998156785964966,-0.9499078392982483,2
mp-639751-GGA,I,-1.4922353029251099,-1.4922353029251099,1
mp-639755-GGA,Rb,-0.9540330171585083,-0.9540330171585083,1
mp-640416-GGA,Rb,-7.562689781188965,-0.9453362226486206,8
mp-656615-GGA,Rb,-7.630453109741211,-0.9538066387176514,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.604043960571289,-3.8020219802856445,2
mp-867126-GGA,Rb,-2.87923526763916,-0.9597450892130533,3
mp-867229-GGA,RbSn3,-26.05824851989746,-3.2572810649871826,8
mp-949028-GGA,Sn,-175.14610290527344,-3.8075239762015967,46
mp-974620-GGA,Rb,-7.523338794708252,-0.9404173493385315,8
mp-974789-GGA,Rb3Sn,-6.670373916625977,-1.6675934791564941,4
mp-975129-GGA,Rb,-1.9187365770339966,-0.9593682885169983,2
mp-975204-GGA,Rb,-1.9203773736953735,-0.9601886868476868,2
mp-975519-GGA,Rb,-0.9599872827529907,-0.9599872827529907,1
mp-978846-GGA,SnI2,-16.65390968322754,-2.7756516138712564,6
