chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
I3RbSn,0.9039615392684937,https://elagente.ca/grafico/ConceptualAtoms_38130386-d7da-446d-8183-20018bf31568,-7.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_99aa8ebd-014e-46a3-a69f-4e321dadcb72,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_b0bf3010/output.json,0.1,0.050458717346193005,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1694d94f-c913-4dfb-8ae0-4aa91af31613,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_38130386-d7da-446d-8183-20018bf31568,I3RbSn
I3RbSn,1.0748471021652222,https://elagente.ca/grafico/ConceptualAtoms_43e714f2-00dc-4b84-b432-19872fc0be7f,-8.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_61501ef4-47f1-4ee8-924d-fffe95ff7c3a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_6d6ad4e9/output.json,0.1,0.05118160247802894,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_01a7a7ce-f369-49e7-aa3a-60f01f0d7f75,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_43e714f2-00dc-4b84-b432-19872fc0be7f,I3RbSn
I3RbSn,1.5434850454330444,https://elagente.ca/grafico/ConceptualAtoms_4e699f07-9fe2-4ab7-8fc1-edbfeee11150,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b27f6813-ce9a-419b-8d01-df9844dd2f2c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_ef88c4c5/output.json,0.1,0.05104637145996227,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a1592e5f-74e6-4c72-89ca-12d7202bc29b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4e699f07-9fe2-4ab7-8fc1-edbfeee11150,I3RbSn
I3RbSn,0.44419610500335693,https://elagente.ca/grafico/ConceptualAtoms_770e3129-ccd4-436e-95f7-582553ee5807,-7.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9784c13b-1b51-4b11-be97-ad0401fab461,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_5cb1999e/output.json,0.1,0.050377273559572,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1cdeef87-d43c-4e26-9e91-8e56bb54c92d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_770e3129-ccd4-436e-95f7-582553ee5807,I3RbSn
I3RbSn,1.6566731929779053,https://elagente.ca/grafico/ConceptualAtoms_79be98b5-90b8-4834-878a-e306418808d2,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4a845f2b-7d00-4774-b485-ba29b01c52ba,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_309528c7/output.json,0.1,0.04919586181640767,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9ffce45a-995d-4cd9-bf87-4879f1fc5140,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_79be98b5-90b8-4834-878a-e306418808d2,I3RbSn
I3RbSn,0.15811951458454132,https://elagente.ca/grafico/ConceptualAtoms_7a4f3361-d94b-4613-a97e-9fa715b83001,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_66f9713b-2b3b-4bff-a1de-92cd091a0304,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_a93603e0/output.json,0.1,0.049332237243653765,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_065dedaa-2cfc-44c8-b2ff-c6e5c3855815,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7a4f3361-d94b-4613-a97e-9fa715b83001,I3RbSn
I3RbSn,0.8524353504180908,https://elagente.ca/grafico/ConceptualAtoms_890e48c0-0d87-44a4-81d4-f106292cb4f0,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_26d3b026-41e2-4387-9823-0616338684fc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_808ae119/output.json,0.1,0.051686286926270864,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_72b283f2-aa46-45c8-bf6b-0dd4483d2fd1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_890e48c0-0d87-44a4-81d4-f106292cb4f0,I3RbSn
I3RbSn,0.16450119018554688,https://elagente.ca/grafico/ConceptualAtoms_d4a2d794-1ce1-44e1-a810-8797cded088d,-8.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f23d384e-e8fa-4db7-be96-ef32534c153e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_93216451/output.json,0.1,0.0520082473754897,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d4ad14e1-8a09-4cf8-9b3b-a53e48a179b7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d4a2d794-1ce1-44e1-a810-8797cded088d,I3RbSn
I3RbSn,1.325100302696228,https://elagente.ca/grafico/ConceptualAtoms_dca6daa9-de99-4cb0-90a5-f1a812161a76,-7.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_eb1738e1-e40e-4869-9fbe-647a2e3e8f05,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_0641f12b/output.json,0.1,0.050884437561036666,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bbd9bc82-dbd6-4b71-821e-b096a39089a8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_dca6daa9-de99-4cb0-90a5-f1a812161a76,I3RbSn
I3RbSn,0.1563257873058319,https://elagente.ca/grafico/ConceptualAtoms_e7904400-466d-4a0c-b09e-00024e5b37a5,-8.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4e3d7d14-91a6-43d2-94aa-2d03ea7c0de5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_sRaLyTTNw8GcYeOawgdiwJbj/structures/I3RbSn_31310949/output.json,0.1,0.05178298950195481,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f1404a43-f6fb-4776-a525-62ff9cad0b73,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_64fdb1f7-92b3-43df-a7e7-7ea4b2c3794c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e7904400-466d-4a0c-b09e-00024e5b37a5,I3RbSn
