entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1009490-GGA,O2,-9.885550498962402,-4.942775249481201,2
mp-1017-GGA,Zr3O,-72.42633819580078,-9.053292274475098,8
mp-1020622-GGA,SrZrO3,-82.88713073730469,-8.288713073730468,10
mp-1025349-GGA,Sr2ZrO4,-53.41736602783203,-7.63105228969029,7
mp-1066100-GGA,O2,-19.741744995117188,-4.935436248779297,4
mp-1068742-GGA,SrZrO3,-41.30091094970703,-8.260182189941407,5
mp-1077723-GGA,Zr,-51.051753997802734,-8.508625666300455,6
mp-1080575-GGA,SrZrO3,-83.01091003417969,-8.30109100341797,10
mp-1087546-GGA,O2,-39.46052932739258,-4.932566165924072,8
mp-1179128-GGA,SrO6,-72.76728057861328,-5.197662898472378,14
mp-1179143-GGA,SrO6,-72.84196472167969,-5.202997480119977,14
mp-1179197-GGA,SrO10,-55.7830810546875,-5.0711891867897725,11
mp-1179224-GGA,SrO10,-111.39356231689453,-5.063343741677024,22
mp-1179236-GGA,SrO10,-111.18077850341797,-5.053671750155362,22
mp-1180036-GGA,O2,-19.819011688232422,-4.9547529220581055,4
mp-1187073-GGA,Sr,-4.915358066558838,-1.638452688852946,3
mp-1190186-GGA,ZrO2,-229.13412475585938,-9.547255198160807,24
mp-1208748-GGA,Sr4Zr3O10,-546.5015869140625,-8.03678804285386,68
mp-1215377-GGA,Zr4O,-134.19955444335938,-8.946636962890626,15
mp-12957-GGA,O2,-39.668704986572266,-4.958588123321533,8
mp-131-GGA,Zr,-17.057910919189453,-8.528955459594727,2
mp-139-GGA,Sr,-3.2753982543945312,-1.6376991271972656,2
mp-14024-GGA,Zr3O,-72.47624969482422,-9.059531211853027,8
mp-1565-GGA,ZrO2,-28.50239372253418,-9.500797907511393,3
mp-2472-GGA,SrO,-12.063570022583008,-6.031785011291504,2
mp-2574-GGA,ZrO2,-57.181880950927734,-9.530313491821289,6
mp-2697-GGA,SrO2,-17.224645614624023,-5.741548538208008,3
mp-27690-GGA,Sr3Zr2O7,-94.73006439208984,-7.894172032674153,12
mp-2858-GGA,ZrO2,-114.84739685058594,-9.570616404215494,12
mp-3323-GGA,SrZrO3,-41.28076171875,-8.25615234375,5
mp-3626-GGA,SrZrO3,-165.97828674316406,-8.298914337158203,20
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-4387-GGA,SrZrO3,-166.1194610595703,-8.305973052978516,20
mp-5076-GGA,SrZrO3,-82.98281860351562,-8.298281860351562,10
mp-556605-GGA,ZrO2,-114.56552124023438,-9.547126770019531,12
mp-557203-GGA,SrZrO3,-330.31817626953125,-8.257954406738282,40
mp-561418-GGA,Zr3O,-144.90235900878906,-9.056397438049316,16
mp-567826-GGA,Sr,-6.029682159423828,-1.507420539855957,4
mp-607540-GGA,O2,-9.8670654296875,-4.93353271484375,2
mp-610917-GGA,O2,-9.85983943939209,-4.929919719696045,2
mp-611836-GGA,O2,-9.862041473388672,-4.931020736694336,2
mp-684977-GGA,Zr27O49,-718.1764526367188,-9.449690166272616,76
mp-685070-GGA,Zr19O40,-548.1318969726562,-9.290371135129767,59
mp-723285-GGA,O2,-39.51403045654297,-4.939253807067871,8
mp-726705-GGA,SrO2,-68.65132904052734,-5.720944086710612,12
mp-753629-GGA,Zr2O,-164.93414306640625,-9.16300794813368,18
mp-754282-GGA,SrO,-23.77623176574707,-5.944057941436768,4
mp-754403-GGA,ZrO2,-57.352020263671875,-9.558670043945312,6
mp-754741-GGA,ZrO2,-113.81468200683594,-9.484556833902994,12
mp-754824-GGA,SrO,-23.940750122070312,-5.985187530517578,4
mp-755089-GGA,ZrO2,-114.63142395019531,-9.552618662516275,12
mp-755759-GGA,ZrO2,-114.33267211914062,-9.527722676595053,12
mp-755769-GGA,ZrO2,-114.2521743774414,-9.521014531453451,12
mp-76-GGA,Sr,-1.6417336463928223,-1.6417336463928223,1
mp-761151-GGA,Zr6O11,-161.19134521484375,-9.481843836167279,17
mp-770419-GGA,Sr2Zr7O16,-226.6241912841797,-9.064967651367187,25
mp-775909-GGA,ZrO2,-57.17387771606445,-9.528979619344076,6
mp-775910-GGA,ZrO2,-285.15692138671875,-9.505230712890626,30
mp-775935-GGA,ZrO2,-85.38054656982422,-9.486727396647135,9
mp-775980-GGA,ZrO2,-343.0763854980469,-9.529899597167969,36
mp-776386-GGA,ZrO2,-227.86666870117188,-9.494444529215494,24
mp-776404-GGA,ZrO2,-229.54409790039062,-9.564337412516275,24
mp-776427-GGA,ZrO2,-228.82167053222656,-9.534236272176107,24
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-867202-GGA,Sr,-6.557884693145752,-1.639471173286438,4
mp-95-GGA,Sr,-1.6313023567199707,-1.6313023567199707,1
mp-963-GGA,ZrO2,-113.55581665039062,-9.462984720865885,12
