chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
O3SrZr,3.2183549404144287,https://elagente.ca/grafico/ConceptualAtoms_078ab07b-a16e-4d6d-88d7-17e95b2370a0,-10.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_36cb3c73-e4b8-4788-824a-2d2788b82008,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_ff72834d/output.json,0.1,0.0511322021484375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bb1010bf-5e0f-4850-9566-ff38833108a3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_078ab07b-a16e-4d6d-88d7-17e95b2370a0,O3SrZr
O3SrZr,3.288970947265625,https://elagente.ca/grafico/ConceptualAtoms_30fe8bff-7646-4244-914a-aa48ffaa5249,-10.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_da3d33ad-e2c0-4817-a303-bcfc58ea51cd,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_3e538d2c/output.json,0.1,0.04789199829101598,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c5490e76-c44c-43ed-a51c-071b68b38c85,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_30fe8bff-7646-4244-914a-aa48ffaa5249,O3SrZr
O3SrZr,3.28261137008667,https://elagente.ca/grafico/ConceptualAtoms_3b4f5dc5-9970-4507-9c0a-85a05aa7f830,-10.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_21858a41-4d2a-4deb-8c7f-13719d5e1190,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_b09844f0/output.json,0.1,0.047644805908202414,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4f016149-f01b-417c-9b33-fe97ae65b673,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3b4f5dc5-9970-4507-9c0a-85a05aa7f830,O3SrZr
O3SrZr,3.2503318786621094,https://elagente.ca/grafico/ConceptualAtoms_5b6a4f58-1da3-4b17-9747-11433ee72e42,-10.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_dcd7cf97-b471-474e-8866-7404daf1645e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_b557c2bc/output.json,0.1,0.04847488403320277,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_99f331b7-e347-4f56-90f3-be14aa032d91,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5b6a4f58-1da3-4b17-9747-11433ee72e42,O3SrZr
O3SrZr,3.2410459518432617,https://elagente.ca/grafico/ConceptualAtoms_5fee35b4-acbd-46d7-93ec-0e149a54cd16,-10.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_cc74c579-f084-45c6-acb9-edd6aec817a7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_1f1a37ee/output.json,0.1,0.04858932495117152,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_447d2423-80ad-4207-b2c7-c1dffb54c6c0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5fee35b4-acbd-46d7-93ec-0e149a54cd16,O3SrZr
O3SrZr,3.286196708679199,https://elagente.ca/grafico/ConceptualAtoms_68edb856-4fe8-4729-8c66-eeaeb0be3b82,-10.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f0adca28-9aef-4a03-9e42-8d8c9a5c21f5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_c14951ae/output.json,0.1,0.04487380981445277,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0d79ab5d-1f8f-45b6-8cea-166c37c2b051,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_68edb856-4fe8-4729-8c66-eeaeb0be3b82,O3SrZr
O3SrZr,3.2591123580932617,https://elagente.ca/grafico/ConceptualAtoms_a231f3cb-4704-44e1-a610-396e58db37ff,-10.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7fa7eb71-4ad2-4e1f-ac9d-b31f6bc7bf92,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_ee52f410/output.json,0.1,0.04686203002929723,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_16bda5d1-437e-466d-8c17-c06d6b490b16,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a231f3cb-4704-44e1-a610-396e58db37ff,O3SrZr
O3SrZr,3.247864007949829,https://elagente.ca/grafico/ConceptualAtoms_cae71f0e-5208-4aa2-8042-c2525c6ac77b,-10.345596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d3736fc2-53b2-4751-b7c0-764c0d6c8438,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_f083c5b0/output.json,0.1,0.04786376953125071,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_731fb8c0-f1a7-440e-bdca-93ee98f635df,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cae71f0e-5208-4aa2-8042-c2525c6ac77b,O3SrZr
O3SrZr,3.26470685005188,https://elagente.ca/grafico/ConceptualAtoms_e33f9973-6d11-4f11-a5fe-d915f4c8c728,-10.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0ac0fdb3-1a49-41a0-9105-cbd813543df6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_62118f24/output.json,0.1,0.045012664794921164,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_765b58d7-8faf-4263-9953-ebda1952198c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e33f9973-6d11-4f11-a5fe-d915f4c8c728,O3SrZr
O3SrZr,3.2692360877990723,https://elagente.ca/grafico/ConceptualAtoms_eadce07c-06a5-4be2-baab-0da42e809d33,-10.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_87ccb44f-9cad-4e11-8a44-7561d9335179,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_uopjHFJdqGeMsBG0EX0NCwjs/structures/O3SrZr_b552e8f2/output.json,0.1,0.04655227661132777,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_00c6ac4d-6745-425a-846a-c70ba31e346e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d561b652-40ae-4393-9f93-64fba9c5d28c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_eadce07c-06a5-4be2-baab-0da42e809d33,O3SrZr
