entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1056308-GGA,Sn,-3.7694859504699707,-3.7694859504699707,1
mp-1067833-GGA,SnI3,-9.479259490966797,-2.369814872741699,4
mp-1068966-GGA,K,-4.911098480224609,-0.9822196960449219,5
mp-1078640-GGA,K,-7.909171104431152,-0.988646388053894,8
mp-1078836-GGA,KI,-11.051567077636719,-2.7628917694091797,4
mp-1080043-GGA,K,-8.123675346374512,-1.015459418296814,8
mp-1095094-GGA,SnI3,-19.092266082763672,-2.386533260345459,8
mp-1097015-GGA,KSnI3,-55.892337799072266,-2.7946168899536135,20
mp-1103373-GGA,KSn2,-37.359092712402344,-3.113257726033529,12
mp-117-GGA,Sn,-7.702559471130371,-3.8512797355651855,2
mp-1179414-GGA,Sn,-30.18901252746582,-3.7736265659332275,8
mp-1180961-GGA,K,-2.029794931411743,-1.0148974657058716,2
mp-1180981-GGA,I,-1.436590552330017,-1.436590552330017,1
mp-1180991-GGA,K,-5.001546859741211,-1.000309371948242,5
mp-1184755-GGA,K,-2.1149909496307373,-1.0574954748153687,2
mp-1184764-GGA,K,-3.1736509799957275,-1.057883659998576,3
mp-1184804-GGA,K,-8.444146156311035,-1.0555182695388794,8
mp-1184808-GGA,K,-8.320993423461914,-1.0401241779327393,8
mp-1184905-GGA,K,-20.906116485595703,-1.0453058242797852,20
mp-1185151-GGA,KSn3,-26.229755401611328,-3.278719425201416,8
mp-1185201-GGA,K,-30.260700225830078,-1.0434724215803475,29
mp-1199937-GGA,K,-83.08029174804688,-1.025682614173418,81
mp-13909-GGA,K4Sn23,-191.88844299316406,-3.5534896850585938,54
mp-22898-GGA,KI,-5.56224250793457,-2.781121253967285,2
mp-22901-GGA,KI,-5.41987419128418,-2.70993709564209,2
mp-23153-GGA,I,-5.968312740325928,-1.492078185081482,4
mp-23182-GGA,SnI4,-93.919677734375,-2.347991943359375,40
mp-23534-GGA,KSn2I5,-44.34217834472656,-2.77138614654541,16
mp-27194-GGA,SnI2,-25.02838134765625,-2.7809312608506946,9
mp-542374-GGA,KSn,-87.75212097167969,-2.7422537803649902,32
mp-55-GGA,Sn,-3.768120288848877,-3.768120288848877,1
mp-570900-GGA,K4Sn9,-164.3597869873047,-3.160765134371244,52
mp-571066-GGA,K6Sn25,-426.1167907714844,-3.4364257320280998,124
mp-571436-GGA,SnI4,-11.65388298034668,-2.330776596069336,5
mp-573691-GGA,K,-8.341873168945312,-1.042734146118164,8
mp-58-GGA,K,-1.0490102767944336,-1.0490102767944336,1
mp-601148-GGA,I,-1.4356648921966553,-1.4356648921966553,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.028651714324951,-1.0143258571624756,2
mp-623511-GGA,Sn,-3.77923583984375,-3.77923583984375,1
mp-639751-GGA,I,-1.4924994707107544,-1.4924994707107544,1
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-726865-GGA,KI,-22.09714698791504,-2.76214337348938,8
mp-84-GGA,Sn,-7.603999137878418,-3.801999568939209,2
mp-949028-GGA,Sn,-175.1463623046875,-3.8075296153192935,46
mp-972981-GGA,K,-2.1124918460845947,-1.0562459230422974,2
mp-973614-GGA,K3Sn,-7.197641849517822,-1.7994104623794556,4
mp-978846-GGA,SnI2,-16.653915405273438,-2.7756525675455728,6
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
