chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
I3KSn,0.7524640560150146,https://elagente.ca/grafico/ConceptualAtoms_1a0bc44b-37cb-4bf3-9139-665c10ba620a,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1be5a3cf-3fcc-4b6d-92b4-23af1e642e18,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_e988293e/output.json,0.1,0.07271060943603658,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5b265fde-88b6-4ce6-ad92-b38d476ad5e1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1a0bc44b-37cb-4bf3-9139-665c10ba620a,I3KSn
I3KSn,1.3271734714508057,https://elagente.ca/grafico/ConceptualAtoms_1aeb47c7-cde4-4982-a148-eda7284c88c5,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a010e8b2-8ec4-4eab-b238-102ff5ba8850,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_88f1c0d0/output.json,0.1,0.05141830444336071,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ea241f2e-3171-405a-86b8-c24d193fa37b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1aeb47c7-cde4-4982-a148-eda7284c88c5,I3KSn
I3KSn,0.6764652729034424,https://elagente.ca/grafico/ConceptualAtoms_3fda9d2b-f591-4e5e-82c8-ecfddd48a2db,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b58a19d7-a44c-407c-a0e6-7d5aa582ed34,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_1cdb30e8/output.json,0.1,0.07044754028320455,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_efff6b8e-1309-42a8-a8a9-b9a5fe7f261b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3fda9d2b-f591-4e5e-82c8-ecfddd48a2db,I3KSn
I3KSn,0.2433604747056961,https://elagente.ca/grafico/ConceptualAtoms_6e1b2f3f-78a2-46ee-a086-d7cb82916932,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_37077916-ff8a-4a0b-93b3-bb87d328de5d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_90c5cbeb/output.json,0.1,0.07292613983154439,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9acb5648-9da7-4675-b9d3-0817be1d67d0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6e1b2f3f-78a2-46ee-a086-d7cb82916932,I3KSn
I3KSn,1.0300285816192627,https://elagente.ca/grafico/ConceptualAtoms_78cf6fc3-c7bd-454d-8124-03bd826db2a6,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_40c6224a-60a1-4873-8a8f-56787f99eeee,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_4d4eb130/output.json,0.1,0.06591377258300923,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9c924855-4760-4f6c-a0d4-1be88cdfa0c7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_78cf6fc3-c7bd-454d-8124-03bd826db2a6,I3KSn
I3KSn,0.5072775483131409,https://elagente.ca/grafico/ConceptualAtoms_a4e59253-dbfe-4126-a1de-a42c69c9a137,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_76b4f02c-ac1d-4789-9678-9c2e23ae213b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_01b41497/output.json,0.1,0.07053585052490385,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ed20353f-9e15-4e03-8aa8-6594191113aa,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a4e59253-dbfe-4126-a1de-a42c69c9a137,I3KSn
I3KSn,0.26620540022850037,https://elagente.ca/grafico/ConceptualAtoms_abe36b4e-05d3-41d4-8435-6a07b56f2c71,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7ee5c0a9-3bad-4a4f-81a4-bf933ffbb6fa,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_be0be0a7/output.json,0.1,0.07204456329345854,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2cc0c9a4-7aa5-4976-a0e6-0c7ec4b5fe57,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_abe36b4e-05d3-41d4-8435-6a07b56f2c71,I3KSn
I3KSn,0.6448286771774292,https://elagente.ca/grafico/ConceptualAtoms_f3cb8b7c-0016-493e-ae58-3922e0d5a32c,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a375dfa8-f89c-4477-a145-0330d315817c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_f676d814/output.json,0.1,0.06740398406982573,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7db04084-2f97-430d-84b3-4229a6e295e4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f3cb8b7c-0016-493e-ae58-3922e0d5a32c,I3KSn
I3KSn,0.293950617313385,https://elagente.ca/grafico/ConceptualAtoms_f6510d08-6e59-40f5-a2a9-0987794972ed,-7.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_081931d4-1823-40fc-8751-00c0b908312c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_6d3d641a/output.json,0.1,0.07160682678222807,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_07a12c13-c082-4df5-bddd-d7c3964ff6c5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f6510d08-6e59-40f5-a2a9-0987794972ed,I3KSn
I3KSn,1.2073392868041992,https://elagente.ca/grafico/ConceptualAtoms_f7c3d0dd-77e0-4889-85da-8e63cf5a9678,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3a335c7d-a4a7-4deb-972e-e096b0518214,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_yPff5VhQeUFwOWUumBXU8Se3/structures/I3KSn_92e2652b/output.json,0.1,0.060883331298829724,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_639e72e5-3f0b-419d-b211-16d81c0854b0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cd5f51e8-fa1a-401a-b580-19b6fd6c2bbf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f7c3d0dd-77e0-4889-85da-8e63cf5a9678,I3KSn
