entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9699077010154724,-0.9699077010154724,1
mp-1007976-GGA,Cs,-3.8759236335754395,-0.9689809083938599,4
mp-1012110-GGA,Cs,-3.869744300842285,-0.9674360752105713,4
mp-1022725-GGA,Sn,-3.7793846130371094,-3.7793846130371094,1
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1056308-GGA,Sn,-3.7694873809814453,-3.7694873809814453,1
mp-1056920-GGA,CsI,-5.444182395935059,-2.7220911979675293,2
mp-1067833-GGA,SnI3,-9.479263305664062,-2.3698158264160156,4
mp-1078801-GGA,CsI,-21.919742584228516,-2.7399678230285645,8
mp-1079694-GGA,CsI,-21.096038818359375,-2.637004852294922,8
mp-1095094-GGA,SnI3,-19.092126846313477,-2.3865158557891846,8
mp-1096915-GGA,Cs,-0.9699895977973938,-0.9699895977973938,1
mp-11055-GGA,CsSn,-85.40457153320312,-2.6688928604125977,32
mp-117-GGA,Sn,-7.702598571777344,-3.851299285888672,2
mp-1179414-GGA,Sn,-30.189329147338867,-3.7736661434173584,8
mp-1180981-GGA,I,-1.4365923404693604,-1.4365923404693604,1
mp-1182809-GGA,Cs,-3.8809173107147217,-0.9702293276786804,4
mp-11832-GGA,Cs,-1.9378424882888794,-0.9689212441444397,2
mp-1183694-GGA,Cs,-0.9687301516532898,-0.9687301516532898,1
mp-1183897-GGA,Cs,-19.194499969482422,-0.9597249984741211,20
mp-1184038-GGA,Cs3I,-14.452143669128418,-1.8065179586410522,8
mp-1184151-GGA,Cs,-27.779367446899414,-0.9579092223068764,29
mp-1444738-GGA,CsI,-10.960533142089844,-2.740133285522461,4
mp-22876-GGA,CsI3,-35.04618453979492,-2.1903865337371826,16
mp-23153-GGA,I,-5.968609809875488,-1.492152452468872,4
mp-23182-GGA,SnI4,-93.91921997070312,-2.347980499267578,40
mp-2496-GGA,Cs4Sn23,-192.86737060546875,-3.5716179741753473,54
mp-27194-GGA,SnI2,-25.028339385986328,-2.7809265984429254,9
mp-27381-GGA,CsSnI3,-56.362667083740234,-2.8181333541870117,20
mp-27636-GGA,Cs2SnI6,-23.03375244140625,-2.5593058268229165,9
mp-3-GGA,Cs,-1.9376025199890137,-0.9688012599945068,2
mp-55-GGA,Sn,-3.768120765686035,-3.768120765686035,1
mp-568570-GGA,CsSnI3,-56.02677536010742,-2.801338768005371,20
mp-571011-GGA,CsI4,-41.228858947753906,-2.0614429473876954,20
mp-571056-GGA,CsSn,-170.79310607910156,-2.668642282485962,64
mp-571436-GGA,SnI4,-11.654084205627441,-2.3308168411254884,5
mp-573579-GGA,Cs,-7.748626708984375,-0.9685783386230469,8
mp-601148-GGA,I,-1.4356369972229004,-1.4356369972229004,1
mp-614013-GGA,CsSnI3,-13.971552848815918,-2.7943105697631836,5
mp-614603-GGA,CsI,-5.481367588043213,-2.7406837940216064,2
mp-616378-GGA,CsSnI3,-28.002111434936523,-2.8002111434936525,10
mp-623511-GGA,Sn,-3.779235363006592,-3.779235363006592,1
mp-639727-GGA,Cs,-3.877426862716675,-0.9693567156791687,4
mp-639751-GGA,I,-1.492382526397705,-1.492382526397705,1
mp-672241-GGA,Cs,-7.734299182891846,-0.9667873978614807,8
mp-7162-GGA,Sn,-3.767853260040283,-3.767853260040283,1
mp-84-GGA,Sn,-7.603965759277344,-3.801982879638672,2
mp-865565-GGA,CsSn3,-26.12729835510254,-3.2659122943878174,8
mp-949028-GGA,Sn,-175.1462860107422,-3.807527956755265,46
mp-949029-GGA,Cs,-7.647181510925293,-0.9558976888656616,8
mp-978846-GGA,SnI2,-16.653898239135742,-2.7756497065226235,6
