chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CsI3Sn,0.3016333281993866,https://elagente.ca/grafico/ConceptualAtoms_0b8871e0-0964-46e7-9518-14ae278515ff,-7.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_606608ab-935b-4b16-a628-40bd7c35c69b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_ff36f4eb/output.json,0.1,0.026853942871094993,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_92d8e218-dbfa-4fde-8e0d-f9457243f657,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0b8871e0-0964-46e7-9518-14ae278515ff,CsI3Sn
CsI3Sn,0.48276469111442566,https://elagente.ca/grafico/ConceptualAtoms_1925ae27-47d4-483d-b7dd-4e1141b5e648,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ea921b9d-32b0-45e4-9066-3c98cc7b8dde,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_2442e3ff/output.json,0.1,0.026837921142579546,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_402b367f-baf0-47bd-a4c5-943658b5ad9b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1925ae27-47d4-483d-b7dd-4e1141b5e648,CsI3Sn
CsI3Sn,0.5181871652603149,https://elagente.ca/grafico/ConceptualAtoms_22b63e3d-7f9e-4a6a-9dcb-92045e6af90a,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e01e2586-d281-4e1c-a3b4-e08b79b9d142,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_72829a06/output.json,0.1,0.02652549743652477,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_95c1c939-da1e-4a39-8131-c5e135e4b7e1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_22b63e3d-7f9e-4a6a-9dcb-92045e6af90a,CsI3Sn
CsI3Sn,0.18166038393974304,https://elagente.ca/grafico/ConceptualAtoms_390e8c6d-04a7-4f71-8fc1-abd66384f146,-7.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_074bb0f3-c4cb-437a-ae6c-0a059a3e506b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_7bf16116/output.json,0.1,0.02890167236328267,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_492f12bc-3082-4282-975f-6af5f6de250a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_390e8c6d-04a7-4f71-8fc1-abd66384f146,CsI3Sn
CsI3Sn,0.2996745705604553,https://elagente.ca/grafico/ConceptualAtoms_5c6ff1fb-a031-4ea2-8b18-397d3a981dda,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f3316dfc-c81e-4d55-a26b-576a8f237ba0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_44cb7714/output.json,0.1,0.02675170898437651,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d381fd47-450c-48f5-8e39-a56a3ed72ae4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5c6ff1fb-a031-4ea2-8b18-397d3a981dda,CsI3Sn
CsI3Sn,0.1205051988363266,https://elagente.ca/grafico/ConceptualAtoms_71d113db-f9bf-4d45-948e-1f0bfca028b1,-7.8455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_83a138b0-ae9f-4d87-adf2-d3478ff92417,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_e3abf50d/output.json,0.1,0.02738742828369256,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c99902cb-477a-4a66-ac71-b7a22f3eaf1c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_71d113db-f9bf-4d45-948e-1f0bfca028b1,CsI3Sn
CsI3Sn,0.1649930626153946,https://elagente.ca/grafico/ConceptualAtoms_7901d7dc-722d-422f-8800-c0f758090bca,-7.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ed09fd3c-9d68-4231-8825-dd6b379a255c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_ab12d6ff/output.json,0.1,0.028520584106446645,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_82dd1488-1064-45aa-8632-9689e67595e0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7901d7dc-722d-422f-8800-c0f758090bca,CsI3Sn
CsI3Sn,0.28571802377700806,https://elagente.ca/grafico/ConceptualAtoms_94ac873d-e121-4427-a5db-9acb0eb84cda,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5264094e-f67d-4200-9753-78aa7871b8c2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_67bfe328/output.json,0.1,0.02712688446045064,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c0eaa3e4-2d6b-4009-a69c-868fe48b8cb7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_94ac873d-e121-4427-a5db-9acb0eb84cda,CsI3Sn
CsI3Sn,0.2665841579437256,https://elagente.ca/grafico/ConceptualAtoms_c26e10a0-6535-4688-b93f-76bd55d7c61f,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4ffdbc27-b5a1-4f2d-b6b2-54deced25497,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_6463468d/output.json,0.1,0.027495002746583452,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a6aa7037-c0d9-49d9-8807-fd6dac5add4f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c26e10a0-6535-4688-b93f-76bd55d7c61f,CsI3Sn
CsI3Sn,0.1940179020166397,https://elagente.ca/grafico/ConceptualAtoms_c6047d4f-f731-49d1-8040-772b6f050af5,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1a4493da-ce56-4e78-ba70-bc5e47ddcda4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_zx6ftxG92z6H6UVaVEPxdQPw/structures/CsI3Sn_0bfffccb/output.json,0.1,0.029209327697755416,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f80389ee-cc85-4921-bba9-09805e34b630,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac54e848-ef46-40c8-99d3-c1746bf6cf79,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c6047d4f-f731-49d1-8040-772b6f050af5,CsI3Sn
