entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1018045-GGA,Rb,-3.789313554763794,-0.9473283886909485,4
mp-1022725-GGA,Sn,-3.7793846130371094,-3.7793846130371094,1
mp-1056308-GGA,Sn,-3.769486427307129,-3.769486427307129,1
mp-1063817-GGA,Rb,-3.735471248626709,-0.9338678121566772,4
mp-1105170-GGA,SnBr2,-56.4575080871582,-3.1365282270643444,18
mp-11054-GGA,RbSn,-85.66426086425781,-2.6770081520080566,32
mp-1120813-GGA,Br,-49.43270492553711,-1.5447720289230347,32
mp-117-GGA,Sn,-7.702598571777344,-3.851299285888672,2
mp-1179414-GGA,Sn,-30.18952751159668,-3.773690938949585,8
mp-1179656-GGA,Rb,-7.625331878662109,-0.9531664848327637,8
mp-1179802-GGA,Rb,-7.560018539428711,-0.9450023174285889,8
mp-1186853-GGA,Rb,-19.015649795532227,-0.9507824897766113,20
mp-1186899-GGA,Rb,-27.41201400756836,-0.9452418623299434,29
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-1272139-GGA,SnBr2,-9.4603271484375,-3.1534423828125,3
mp-22867-GGA,RbBr,-6.109855651855469,-3.0549278259277344,2
mp-23154-GGA,Br,-6.4520463943481445,-1.6130115985870361,4
mp-23216-GGA,SnBr4,-55.555179595947266,-2.777758979797363,20
mp-23303-GGA,RbBr,-5.992895126342773,-2.9964475631713867,2
mp-29862-GGA,SnBr2,-37.72881317138672,-3.1440677642822266,12
mp-55-GGA,Sn,-3.768120765686035,-3.768120765686035,1
mp-567780-GGA,RbSn2Br5,-50.334312438964844,-3.1458945274353027,16
mp-569028-GGA,Rb2SnBr6,-26.564653396606445,-2.951628155178494,9
mp-569688-GGA,Rb,-24.615447998046875,-0.9467479999248798,26
mp-604321-GGA,Rb,-3.8387393951416016,-0.9596848487854004,4
mp-623511-GGA,Sn,-3.7792348861694336,-3.7792348861694336,1
mp-639736-GGA,Rb,-1.8999415636062622,-0.9499707818031311,2
mp-639755-GGA,Rb,-0.9540331363677979,-0.9540331363677979,1
mp-640416-GGA,Rb,-7.562621593475342,-0.9453276991844177,8
mp-656615-GGA,Rb,-7.6308817863464355,-0.9538602232933044,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.60397481918335,-3.801987409591675,2
mp-867126-GGA,Rb,-2.879624843597412,-0.9598749478658041,3
mp-867229-GGA,RbSn3,-26.058324813842773,-3.2572906017303467,8
mp-949028-GGA,Sn,-175.14605712890625,-3.807522981063179,46
mp-974620-GGA,Rb,-7.5232462882995605,-0.9404057860374451,8
mp-974789-GGA,Rb3Sn,-6.670373916625977,-1.6675934791564941,4
mp-975129-GGA,Rb,-1.9191659688949585,-0.9595829844474792,2
mp-975204-GGA,Rb,-1.9203749895095825,-0.9601874947547913,2
mp-975411-GGA,RbBr3,-8.299503326416016,-2.074875831604004,4
mp-975519-GGA,Rb,-0.9599876403808594,-0.9599876403808594,1
mp-978985-GGA,SnBr2,-18.858600616455078,-3.143100102742513,6
mp-998157-GGA,RbSnBr3,-15.546625137329102,-3.1093250274658204,5
mp-998778-GGA,RbSnBr3,-62.92015075683594,-3.146007537841797,20
mp-998864-GGA,Br,-1.5278154611587524,-1.5278154611587524,1
