chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3RbSn,1.0443516969680786,https://elagente.ca/grafico/ConceptualAtoms_6a451529-d7d9-4aa3-9d9b-e4ac7efaebe0,-7.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_98556d39-ca43-43a6-8cde-6eccdefb6f8f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_c81c8c2b/output.json,0.05,0.03899631500244283,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f5bdd480-f780-4157-b762-fd1803cedd6b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6a451529-d7d9-4aa3-9d9b-e4ac7efaebe0,Br3RbSn
Br3RbSn,1.0920782089233398,https://elagente.ca/grafico/ConceptualAtoms_7e07c843-70f7-4028-b0f1-d3097bb25187,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2765a9f8-8718-4a47-9150-81af6da71f00,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_78e63495/output.json,0.05,0.04108085632324343,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_72adf988-60f7-40fe-8a0a-b0c8247337ff,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7e07c843-70f7-4028-b0f1-d3097bb25187,Br3RbSn
Br3RbSn,0.850452721118927,https://elagente.ca/grafico/ConceptualAtoms_82ae90ca-5f38-48e1-a40f-714f98610c4c,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_127c0b2e-dbe3-4329-8b36-65b41eea60b1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_41487ccb/output.json,0.05,0.03849678039550897,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_44e714e0-f0ae-4811-8734-ed859cf4f422,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_82ae90ca-5f38-48e1-a40f-714f98610c4c,Br3RbSn
Br3RbSn,0.9431926608085632,https://elagente.ca/grafico/ConceptualAtoms_8937c122-0164-4948-ad39-a078f076d1cc,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7257c25c-18a3-475f-8f74-733801e9e856,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_6daaf3d3/output.json,0.05,0.03856620788574361,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_28e83616-33a5-43f8-813e-1250453f29ac,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8937c122-0164-4948-ad39-a078f076d1cc,Br3RbSn
Br3RbSn,1.0274269580841064,https://elagente.ca/grafico/ConceptualAtoms_9aa88ed0-7c85-49ea-8f01-6d1f7d438650,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_54454169-6896-4647-b3c2-e91e73eb885c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_4b28b335/output.json,0.05,0.03783988952636852,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_246414e1-3d57-4878-9bb6-0e5c3df20079,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9aa88ed0-7c85-49ea-8f01-6d1f7d438650,Br3RbSn
Br3RbSn,0.9673492908477783,https://elagente.ca/grafico/ConceptualAtoms_a0d730a8-963e-4923-a377-a99eead9224c,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_60b627a3-4ee4-44dd-b421-ec729ee31046,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_de8aed7f/output.json,0.05,0.038377761840821645,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_01742502-cd1e-4e23-9c9b-d06ff5acaa21,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a0d730a8-963e-4923-a377-a99eead9224c,Br3RbSn
Br3RbSn,1.1239901781082153,https://elagente.ca/grafico/ConceptualAtoms_ab2fcf4e-95a6-4eb4-8553-03e55f4597eb,-7.8455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_41b38de9-68e7-459a-9bdc-1ff133671747,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_a266d705/output.json,0.05,0.03764152526855602,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a3b9e1bd-8850-4e64-94e8-a948d4f9c9bc,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ab2fcf4e-95a6-4eb4-8553-03e55f4597eb,Br3RbSn
Br3RbSn,1.043506145477295,https://elagente.ca/grafico/ConceptualAtoms_b83e7570-76aa-422d-9dc0-9ad0cfdb20d3,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3d7b43fc-67d0-44e8-81c8-04244303df33,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_81477966/output.json,0.05,0.037774848937989436,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c9506541-cca3-4ffb-a451-c5a80284ba0a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b83e7570-76aa-422d-9dc0-9ad0cfdb20d3,Br3RbSn
Br3RbSn,1.117080807685852,https://elagente.ca/grafico/ConceptualAtoms_ccfb7443-7b11-4fcf-92b0-689573d83d9c,-7.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0b426545-e74f-4be6-a168-78892616a479,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_a523b25b/output.json,0.05,0.03807487487793093,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_47b86973-7fc4-4ed0-9c2a-2162735f46c5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ccfb7443-7b11-4fcf-92b0-689573d83d9c,Br3RbSn
Br3RbSn,1.1373696327209473,https://elagente.ca/grafico/ConceptualAtoms_fa567e79-97ee-4029-a3d4-ac13a92bf45a,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_67adc3aa-8365-4ffb-9516-b5b320a3b2b0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_1NftUyr4i542JFjOFOTonJXN/structures/Br3RbSn_f75f8029/output.json,0.05,0.03910560607910307,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b010cad4-a5b8-490f-8be1-e1bcbb8e8946,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_94bf24b6-7107-485a-923d-a6b8fedcc776,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_fa567e79-97ee-4029-a3d4-ac13a92bf45a,Br3RbSn
