entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1056308-GGA,Sn,-3.769486904144287,-3.769486904144287,1
mp-1068966-GGA,K,-4.911221504211426,-0.9822443008422852,5
mp-1078640-GGA,K,-7.9083170890808105,-0.9885396361351013,8
mp-1080043-GGA,K,-8.12325668334961,-1.0154070854187012,8
mp-1097014-GGA,KSnBr3,-62.92598342895508,-3.1462991714477537,20
mp-1103373-GGA,KSn2,-37.35878372192383,-3.113231976826986,12
mp-1105170-GGA,SnBr2,-56.45862579345703,-3.136590321858724,18
mp-1120813-GGA,Br,-49.43265151977539,-1.544770359992981,32
mp-117-GGA,Sn,-7.702747821807861,-3.8513739109039307,2
mp-1179414-GGA,Sn,-30.18942642211914,-3.7736783027648926,8
mp-1180961-GGA,K,-2.029449701309204,-1.014724850654602,2
mp-1180991-GGA,K,-5.001426696777344,-1.0002853393554687,5
mp-1184755-GGA,K,-2.1150240898132324,-1.0575120449066162,2
mp-1184764-GGA,K,-3.1735000610351562,-1.0578333536783855,3
mp-1184804-GGA,K,-8.443182945251465,-1.055397868156433,8
mp-1184808-GGA,K,-8.320980072021484,-1.0401225090026855,8
mp-1184905-GGA,K,-20.90581703186035,-1.0452908515930175,20
mp-1185135-GGA,KBr3,-17.13523292541504,-2.14190411567688,8
mp-1185151-GGA,KSn3,-26.229522705078125,-3.2786903381347656,8
mp-1185201-GGA,K,-30.26074981689453,-1.0434741316170528,29
mp-1199937-GGA,K,-83.080078125,-1.0256799768518519,81
mp-1272139-GGA,SnBr2,-9.4603271484375,-3.1534423828125,3
mp-13909-GGA,K4Sn23,-191.8923797607422,-3.5535625881618924,54
mp-23154-GGA,Br,-6.451981544494629,-1.6129953861236572,4
mp-23216-GGA,SnBr4,-55.55523681640625,-2.7777618408203124,20
mp-23251-GGA,KBr,-6.225473880767822,-3.112736940383911,2
mp-23541-GGA,KSn2Br5,-50.31501770019531,-3.144688606262207,16
mp-29862-GGA,SnBr2,-37.72895050048828,-3.1440792083740234,12
mp-542374-GGA,KSn,-87.75235748291016,-2.7422611713409424,32
mp-55-GGA,Sn,-3.768120288848877,-3.768120288848877,1
mp-568333-GGA,K2SnBr6,-26.431177139282227,-2.9367974599202475,9
mp-570891-GGA,KBr,-6.074480056762695,-3.0372400283813477,2
mp-570900-GGA,K4Sn9,-164.3609619140625,-3.1607877291165867,52
mp-571066-GGA,K6Sn25,-426.116943359375,-3.436426962575605,124
mp-573691-GGA,K,-8.341803550720215,-1.0427254438400269,8
mp-574040-GGA,K2SnBr6,-53.0895881652832,-2.9494215647379556,18
mp-58-GGA,K,-1.0490102767944336,-1.0490102767944336,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.028676986694336,-1.014338493347168,2
mp-623511-GGA,Sn,-3.7792348861694336,-3.7792348861694336,1
mp-707190-GGA,K2SnBr6,-53.00397491455078,-2.944665273030599,18
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.603634834289551,-3.8018174171447754,2
mp-949028-GGA,Sn,-175.14622497558594,-3.807526629904042,46
mp-972981-GGA,K,-2.1125121116638184,-1.0562560558319092,2
mp-973614-GGA,K3Sn,-7.197564601898193,-1.7993911504745483,4
mp-978985-GGA,SnBr2,-18.85823631286621,-3.1430393854777017,6
mp-998864-GGA,Br,-1.5280286073684692,-1.5280286073684692,1
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
