chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_d7c75af6/output.json,Br3KSn,e_above_hull=0.0582 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_b9d79b1e-b5e0-49a1-8984-bed8e9e782fc,[],[],0.05,0.058162117004395775,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_df8ea005-71cf-42a4-b126-86ef2bc37ce6,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_15fb15c7-9682-4231-a3aa-623137b6c00e,Br3KSn
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_78b1da56/output.json,Br3KSn,e_above_hull=0.0623 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_4a8f9475-833c-4a67-bbe6-70a03e02d001,[],[],0.05,0.06232204437255984,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0234b4fc-8d14-449c-883f-caf68977250a,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_23c35ee4-cbe7-4bf8-bb64-81be40f14a4d,Br3KSn
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_d21a98d1/output.json,Br3KSn,e_above_hull=0.0610 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_7e8b1d33-1134-494e-b7e5-db2c5f1d96cf,[],[],0.05,0.06100196838379013,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6be34d8b-3251-4dd0-9edf-7df2dd381f9f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_279282d8-c7bb-4dc7-9951-e56bace9d098,Br3KSn
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_35c807e9/output.json,Br3KSn,e_above_hull=0.0603 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_197c8a24-434a-4f87-8480-ee761559707f,[],[],0.05,0.06034317016601687,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3fc71526-db2a-4530-a33f-e7ea5c24f9bf,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_323eff22-a0eb-45d0-a4bd-81fd45f88ed4,Br3KSn
Br3KSn,1.2043100595474243,https://elagente.ca/grafico/ConceptualAtoms_68ac48b3-54ce-4610-a193-13f09aca685c,-7.895599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_8eb8fe90-5105-4911-a83b-40dece4723e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_44a3a43b/output.json,,,,,,0.05,0.04696407318115359,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fa82ad31-a71e-4c9b-aecd-adf315c6beb1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_68ac48b3-54ce-4610-a193-13f09aca685c,Br3KSn
Br3KSn,1.29750657081604,https://elagente.ca/grafico/ConceptualAtoms_955629db-3776-46d0-bafc-e266223ba66c,-8.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6d3f85a2-de9f-4b9b-8d03-593c9946fa77,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_366d98dd/output.json,,,,,,0.05,0.04664745330810671,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0b3565fc-59af-43a4-84c4-27823fd640f5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_955629db-3776-46d0-bafc-e266223ba66c,Br3KSn
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_81dcf1d5/output.json,Br3KSn,e_above_hull=0.0584 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_96e33a6a-4171-4547-bb7a-e5e51deaaa8a,[],[],0.05,0.05839023590087988,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fbba49f6-553f-41a9-94a9-11d63a6e972c,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9d63cd8b-cf7d-4805-990e-3b8fa3084720,Br3KSn
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_683bd917/output.json,Br3KSn,e_above_hull=0.0633 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_609567cb-01a6-479b-909c-12b8bda87144,[],[],0.05,0.06327381134033327,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4d69e0c5-ad84-4782-85d5-2a7a534baa01,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a812f6e4-b7db-42ce-989e-b80e749f5608,Br3KSn
Br3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_db8ccf64/output.json,Br3KSn,e_above_hull=0.0590 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_9cd35b67-b9fc-488a-9c9a-4ddc3332359b,[],[],0.05,0.05900421142578249,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7895f5a6-2f61-4fca-9824-104c39efdd65,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cd42af79-542e-42db-8c19-5b9eab379d87,Br3KSn
Br3KSn,1.1557049751281738,https://elagente.ca/grafico/ConceptualAtoms_efc929e0-de53-4da2-b296-a1de3a0c3c8d,-8.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_41aea34d-1626-408e-b97d-9ffad96d5014,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_2XNQhJqSTtXv4Yku9cdfKcgQ/structures/Br3KSn_7a5c80ad/output.json,,,,,,0.05,0.0459131240844739,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2e411cb6-935c-4e7c-b054-021861757033,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1268765f-1cd9-45a2-a95a-6769b1604e35,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_efc929e0-de53-4da2-b296-a1de3a0c3c8d,Br3KSn
