entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745931625366211,-9.745931625366211,1
mp-10000-GGA,Hf2S,-54.117530822753906,-9.019588470458984,6
mp-1009460-GGA,Hf,-29.62035369873047,-9.873451232910156,3
mp-103-GGA,Hf,-19.87840461730957,-9.939202308654785,2
mp-1087-GGA,SrS,-10.05104923248291,-5.025524616241455,2
mp-1175-GGA,SrS3,-36.12342071533203,-4.515427589416504,8
mp-1187073-GGA,Sr,-4.9140143394470215,-1.6380047798156738,3
mp-1196831-GGA,S,-329.6609802246094,-4.1207622528076175,80
mp-1206743-GGA,HfS,-17.03894805908203,-8.519474029541016,2
mp-1208643-GGA,SrHfS3,-131.81021118164062,-6.590510559082031,20
mp-139-GGA,Sr,-3.2753982543945312,-1.6376991271972656,2
mp-1950-GGA,SrS2,-28.095470428466797,-4.682578404744466,6
mp-555760-GGA,S,-36.8167839050293,-4.090753767225477,9
mp-555915-GGA,S,-295.99969482421875,-4.111106872558594,72
mp-556269-GGA,S,-294.70159912109375,-4.093077765570746,72
mp-557031-GGA,S,-130.63388061523438,-4.082308769226074,32
mp-557376-GGA,S,-81.90617370605469,-4.095308685302735,20
mp-557488-GGA,S,-148.2177734375,-4.117160373263889,36
mp-557559-GGA,S,-114.0505599975586,-4.073234285627093,28
mp-557869-GGA,S,-198.4200439453125,-4.133750915527344,48
mp-558014-GGA,S,-99.01815795898438,-4.125756581624349,24
mp-558964-GGA,S,-329.53961181640625,-4.119245147705078,80
mp-561370-GGA,S,-361.20263671875,-4.1045754172585225,88
mp-561513-GGA,S,-115.294677734375,-4.117667061941964,28
mp-567826-GGA,Sr,-6.029601097106934,-1.5074002742767334,4
mp-583072-GGA,S,-426.71881103515625,-4.103065490722656,104
mp-666931-GGA,S,-132.3308563232422,-4.135339260101318,32
mp-7-GGA,S,-24.411087036132812,-4.068514506022136,6
mp-76-GGA,Sr,-1.6417336463928223,-1.6417336463928223,1
mp-77-GGA,S,-132.34097290039062,-4.135655403137207,32
mp-83-GGA,S,-227.8029327392578,-4.067909513201032,56
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-867202-GGA,Sr,-6.558093070983887,-1.6395232677459717,4
mp-95-GGA,Sr,-1.6313023567199707,-1.6313023567199707,1
mp-96-GGA,S,-132.41836547851562,-4.138073921203613,32
mp-985829-GGA,HfS2,-22.917556762695312,-7.6391855875651045,3
mp-9922-GGA,HfS3,-54.26509475708008,-6.78313684463501,8
mp-994911-GGA,S,-33.062225341796875,-4.132778167724609,8
