chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_3b6a6efa/output.json,HfS3Sr,e_above_hull=0.1262 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_fb9e454a-4863-4971-b2a2-8845c78326b5,[],[],0.05,0.12621097564697337,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1404240b-270e-46ce-a7c9-d838b02d4e35,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_00627bb4-1eea-44c0-9694-51d22e825517,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_f0c3dbe0/output.json,HfS3Sr,e_above_hull=0.1268 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_54de77b7-2701-44a3-b2a1-2b69a7ebf751,[],[],0.05,0.1267778396606456,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_108c0574-8b62-4f39-9cdb-baf8c005f078,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1a569854-ded1-4c2d-b27f-db7ad1c96f89,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_990a89a7/output.json,HfS3Sr,e_above_hull=0.1313 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_56ffc423-8d12-472d-89c0-7f9ca42fc311,[],[],0.05,0.131341743469239,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9c3e0e40-ca67-4d2a-bd8a-d9a4c4095967,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1e19a97f-215b-4a0b-ae5b-82ba4c57454b,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_8d76d2b1/output.json,HfS3Sr,e_above_hull=0.1311 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_450b59b6-ffe4-4e2a-96ed-5219b569f154,[],[],0.05,0.13105487823486417,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_298de89b-2b14-49f7-a8ff-5a12bcc83b0f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_401ff825-b1fa-4481-be87-a2f0f6553649,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_533b23e5/output.json,HfS3Sr,e_above_hull=0.1236 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_d41ac42f-59e6-4651-83ca-577c5c368e85,[],[],0.05,0.12364902496337926,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7e15c266-cc70-4925-8a9a-25ade2031d68,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_77d8a7a5-b4d2-4e7a-82a8-8e9c7d883c23,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_9bfb5604/output.json,HfS3Sr,e_above_hull=0.1337 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_6989e135-b69b-4254-a4db-018f1415a268,[],[],0.05,0.1337152481079107,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fca9f284-a1c7-41d1-b960-d7b3d6c307ae,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9faa873b-68b2-46d5-a557-e424e9856d5f,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_1ca87ae5/output.json,HfS3Sr,e_above_hull=0.1367 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_7ff9bdfe-8eb1-433c-8188-98799cd826b2,[],[],0.05,0.13666400909423881,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f2e6bb1f-2eef-4bbc-851a-f30e362dded3,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_aea43ec7-005b-45e6-901b-e8842f3ccd81,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_06ccc71b/output.json,HfS3Sr,e_above_hull=0.1371 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_7a0f179a-d1b0-4a71-9924-c969eb3cd51e,[],[],0.05,0.1370927810668956,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e06fa879-8338-48d5-9873-5580b8a8fb2e,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b9416585-3ae1-473e-9837-fbd1587b5185,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_7f9b21c3/output.json,HfS3Sr,e_above_hull=0.1357 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_6e48bd21-aedf-4802-bd5d-678173d54429,[],[],0.05,0.1356836318969732,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fdd44e52-e712-49ad-aa64-e1639354fa60,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f4e0c3d7-a19c-4c14-9df0-cd68316830af,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_4wqPnZBRZjm5UsM0OoJGrP9B/structures/HfS3Sr_2be7ff4c/output.json,HfS3Sr,e_above_hull=0.1276 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_059cb5a5-20ee-4b7a-a090-797cb01a30ec,[],[],0.05,0.1275812149047857,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_95cbb5f5-880b-4c27-b48f-b5fefa866aeb,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_d4836213-cc62-495a-adfd-33ea25fca2f3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f9c4876b-cd53-46dc-9cbd-e26415ffc7d6,HfS3Sr
