entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745931625366211,-9.745931625366211,1
mp-10000-GGA,Hf2S,-54.11746597290039,-9.019577662150065,6
mp-1009460-GGA,Hf,-29.620267868041992,-9.873422622680664,3
mp-103-GGA,Hf,-19.87810516357422,-9.93905258178711,2
mp-1058581-GGA,Ba,-3.8009650707244873,-1.9004825353622437,2
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1096840-GGA,Ba,-3.8034653663635254,-1.9017326831817627,2
mp-1105549-GGA,BaHfS3,-133.466064453125,-6.67330322265625,20
mp-1189858-GGA,Ba4Hf3S10,-110.27413177490234,-6.486713633817785,17
mp-1196831-GGA,S,-329.66107177734375,-4.1207633972167965,80
mp-1206743-GGA,HfS,-17.038970947265625,-8.519485473632812,2
mp-122-GGA,Ba,-1.9034066200256348,-1.9034066200256348,1
mp-1383356-GGA,BaHfS3,-33.21902084350586,-6.6438041687011715,5
mp-1500-GGA,BaS,-10.182374954223633,-5.091187477111816,2
mp-239-GGA,BaS3,-36.91110610961914,-4.613888263702393,8
mp-28978-GGA,Ba2S3,-48.511962890625,-4.8511962890625,10
mp-554688-GGA,Ba6Hf5S16,-176.7163543701172,-6.545050161856192,27
mp-555760-GGA,S,-36.816261291503906,-4.090695699055989,9
mp-555915-GGA,S,-295.9996337890625,-4.11110602484809,72
mp-556269-GGA,S,-294.7017517089844,-4.093079884847005,72
mp-556296-GGA,BaS3,-73.5859375,-4.59912109375,16
mp-557031-GGA,S,-130.63455200195312,-4.082329750061035,32
mp-557032-GGA,Ba5Hf4S13,-143.525146484375,-6.523870294744318,22
mp-557376-GGA,S,-81.9060287475586,-4.0953014373779295,20
mp-557488-GGA,S,-148.2191162109375,-4.117197672526042,36
mp-557559-GGA,S,-114.05066680908203,-4.0732381003243585,28
mp-557869-GGA,S,-198.4189910888672,-4.133728981018066,48
mp-558014-GGA,S,-99.01836395263672,-4.125765164693196,24
mp-558964-GGA,S,-329.5400390625,-4.11925048828125,80
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-561370-GGA,S,-361.2005615234375,-4.104551835493608,88
mp-561513-GGA,S,-115.29167175292969,-4.117559705461774,28
mp-570384-GGA,Ba,-7.1514506340026855,-1.7878626585006714,4
mp-583072-GGA,S,-426.7166442871094,-4.103044656606821,104
mp-605790-GGA,Ba,-1.7207812070846558,-1.7207812070846558,1
mp-666931-GGA,S,-132.33090209960938,-4.135340690612793,32
mp-684-GGA,BaS2,-28.682418823242188,-4.780403137207031,6
mp-7-GGA,S,-24.411130905151367,-4.068521817525228,6
mp-77-GGA,S,-132.3409423828125,-4.135654449462891,32
mp-83-GGA,S,-227.8034210205078,-4.067918232509068,56
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-9321-GGA,Ba2HfS4,-43.67665481567383,-6.2395221165248325,7
mp-96-GGA,S,-132.4182586669922,-4.138070583343506,32
mp-985829-GGA,HfS2,-22.91748046875,-7.63916015625,3
mp-9922-GGA,HfS3,-54.26500701904297,-6.783125877380371,8
mp-994911-GGA,S,-33.06195831298828,-4.132744789123535,8
mp-998352-GGA,BaHfS3,-33.22845458984375,-6.64569091796875,5
mp-998419-GGA,BaHfS3,-133.37408447265625,-6.668704223632813,20
