chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaHfS3,0.9356356859207153,https://elagente.ca/grafico/ConceptualAtoms_73a4937f-b1b7-408e-82d6-7cd04dc103dc,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e2b8cb43-fd9e-47c3-919d-23c4d74d0bc3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_cf57a5c2/output.json,0.05,0.029315948486328125,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_15f95c13-7341-4d89-9e84-b7f93eebbae3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_73a4937f-b1b7-408e-82d6-7cd04dc103dc,BaHfS3
BaHfS3,0.8999183177947998,https://elagente.ca/grafico/ConceptualAtoms_759d5811-1763-4af4-968a-52a1a8185d7d,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_796291e9-b437-4dc0-b5c2-ae37713c7a70,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_383604e0/output.json,0.05,0.028154754638671342,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ccd61152-3433-4b67-b002-e23fd81bdf8d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_759d5811-1763-4af4-968a-52a1a8185d7d,BaHfS3
BaHfS3,0.9416470527648926,https://elagente.ca/grafico/ConceptualAtoms_7fc11856-a7ee-4334-94eb-b6e9c0c3cc54,-7.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_eccbd50c-52b2-4675-8151-9f54c5e2390c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_ba281940/output.json,0.05,0.02921295166015625,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9437b840-58c7-4900-97c7-ec434c87f3be,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7fc11856-a7ee-4334-94eb-b6e9c0c3cc54,BaHfS3
BaHfS3,0.9165883660316467,https://elagente.ca/grafico/ConceptualAtoms_9a3ef501-ff86-4472-aa37-07c0b3449734,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_57a774f5-f55c-4593-ba96-0e797b59e022,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_92e44880/output.json,0.05,0.029549407958984197,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4c9f2fba-1532-4c7a-9733-a3aa4fbd3b48,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9a3ef501-ff86-4472-aa37-07c0b3449734,BaHfS3
BaHfS3,0.8876453638076782,https://elagente.ca/grafico/ConceptualAtoms_a9c73017-da81-407d-ac1d-40b13d8643d3,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7b26d01f-a3e1-4c65-b113-2e197016f81c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_8218d3ff/output.json,0.05,0.029924774169921342,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_830e4936-bd30-4fa0-b873-b3fabfd2d310,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a9c73017-da81-407d-ac1d-40b13d8643d3,BaHfS3
BaHfS3,0.9165283441543579,https://elagente.ca/grafico/ConceptualAtoms_b3b754dc-683c-4b04-a51c-2b2564497568,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_36705e1f-caf5-4b6c-a764-6827724fda0d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_33057a72/output.json,0.05,0.028776550292968217,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ee48d063-46ab-48b3-b0a4-400d48bb44b8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b3b754dc-683c-4b04-a51c-2b2564497568,BaHfS3
BaHfS3,0.9274519085884094,https://elagente.ca/grafico/ConceptualAtoms_c591c4d4-8a0e-40b7-afa5-a6bf41bb06b1,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fd6ba427-4f13-4af7-9d51-4009ad973e9d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_9516908d/output.json,0.05,0.028866577148437322,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f48d58fa-8585-4e78-9779-38d82837b40b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c591c4d4-8a0e-40b7-afa5-a6bf41bb06b1,BaHfS3
BaHfS3,0.9166063666343689,https://elagente.ca/grafico/ConceptualAtoms_e2b954db-0f8f-4555-bb5e-fcd383364818,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a28de98a-e065-4411-b7dd-1d41b4b2dcaa,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_73ccf862/output.json,0.05,0.029006195068358664,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bd779cd5-d1d1-4ab4-b612-e111008178ad,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e2b954db-0f8f-4555-bb5e-fcd383364818,BaHfS3
BaHfS3,0.9176137447357178,https://elagente.ca/grafico/ConceptualAtoms_e2dbdb6a-02f9-4985-84f1-5a477336a3e0,-7.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_61c7bbdd-14aa-4726-a8e0-1b09862b8954,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_c82a2615/output.json,0.05,0.03088912963867152,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_55d58e2d-8e58-493b-b42f-21bebaa95bff,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e2dbdb6a-02f9-4985-84f1-5a477336a3e0,BaHfS3
BaHfS3,0.9398502111434937,https://elagente.ca/grafico/ConceptualAtoms_e575b548-f687-4bad-96e2-53a88a042443,-7.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b71707bd-a4c3-40b3-806b-821b6301b8ad,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_6pxdPZQmVC56cYJhOwCw2vN3/structures/BaHfS3_8988fc7b/output.json,0.05,0.029070281982421342,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a1d52408-a8ae-4b8c-8a0a-5d4e29d5a48a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_0697ccc0-d632-411a-9183-d2f6a71188e5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e575b548-f687-4bad-96e2-53a88a042443,BaHfS3
