chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3GeRb,1.165891408920288,https://elagente.ca/grafico/ConceptualAtoms_1f331518-00f9-4a1f-8844-2b6ef4259fa0,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_029d035a-cc61-4d66-9e01-94f0ff273fe2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_6437f4b6/output.json,0.05,0.01691169738769549,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_363de780-426a-4779-b6a6-ad6e16b45cbe,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1f331518-00f9-4a1f-8844-2b6ef4259fa0,Br3GeRb
Br3GeRb,0.7693601846694946,https://elagente.ca/grafico/ConceptualAtoms_21fe3c85-8146-42dd-80a0-47c17d209cf1,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c9cae958-f01a-47fb-9d41-20d5786879d2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_edbc9343/output.json,0.05,0.018810272216796875,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_79723da3-ab97-4f13-8435-14c585287ec8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_21fe3c85-8146-42dd-80a0-47c17d209cf1,Br3GeRb
Br3GeRb,0.9094786643981934,https://elagente.ca/grafico/ConceptualAtoms_3350dbd2-5e22-4747-9788-ab269147ebb4,-7.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5097a3fd-411c-48a4-b180-154b1426faf5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_6849f4ce/output.json,0.05,0.020336723327636808,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7c5103c1-f173-462b-b739-8ae1d707e058,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3350dbd2-5e22-4747-9788-ab269147ebb4,Br3GeRb
Br3GeRb,1.3509196043014526,https://elagente.ca/grafico/ConceptualAtoms_38409623-8ef9-4f2c-8b13-ab190e6f3d0c,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5c973079-4d20-4855-a669-fba96c50285a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_2c2e2f6e/output.json,0.05,0.017061614990234286,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_92adeb43-13f8-4aae-9110-cbc03449e2a1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_38409623-8ef9-4f2c-8b13-ab190e6f3d0c,Br3GeRb
Br3GeRb,1.6313540935516357,https://elagente.ca/grafico/ConceptualAtoms_3c1b2468-269d-4f35-bf4c-caa6ba62c65c,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4a2a9bf9-0b38-4641-a794-361d76124a7c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_4110e828/output.json,0.05,0.01722240447998047,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b05591ab-7621-4a99-8731-98d892ff7db3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3c1b2468-269d-4f35-bf4c-caa6ba62c65c,Br3GeRb
Br3GeRb,1.0790441036224365,https://elagente.ca/grafico/ConceptualAtoms_63a22ea1-a160-439c-b518-7671bfd7e154,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d8313e0d-582c-43c3-a5c6-0312658fddea,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_95dcdccf/output.json,0.05,0.017896652221679688,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3ead3d60-d74e-44cf-92cb-888ee010b5ce,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_63a22ea1-a160-439c-b518-7671bfd7e154,Br3GeRb
Br3GeRb,0.9000265598297119,https://elagente.ca/grafico/ConceptualAtoms_8f820a22-98a5-4907-8ade-0638b8a9760f,-7.3455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b5275c06-b85a-4752-b932-1b2c2b52579c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_8fcc5a71/output.json,0.05,0.020754623413086204,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_39a2d3db-b63e-4bb6-9d9f-8115372a73e0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8f820a22-98a5-4907-8ade-0638b8a9760f,Br3GeRb
Br3GeRb,1.4496959447860718,https://elagente.ca/grafico/ConceptualAtoms_98b15736-92fc-4686-9972-4ff9822bd93e,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_7082142b-f376-4085-b028-487158b3cf4f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_df9d7fab/output.json,0.05,0.01720581054687509,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2412d8bb-5270-4c61-994f-246daeadbc2d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_98b15736-92fc-4686-9972-4ff9822bd93e,Br3GeRb
Br3GeRb,1.058678388595581,https://elagente.ca/grafico/ConceptualAtoms_d8951cbf-6873-49e1-8751-d7a9a4862c3b,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0bddec34-e480-404a-9b62-c7b9ad91ab49,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_11151cdc/output.json,0.05,0.018132781982421964,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8a57fa4f-20cf-4f2c-ac8d-e5af2bf76a5b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d8951cbf-6873-49e1-8751-d7a9a4862c3b,Br3GeRb
Br3GeRb,0.47537094354629517,https://elagente.ca/grafico/ConceptualAtoms_de0117e6-404e-4355-948b-ee1aba8c1b3f,-8.245590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a4f4d134-9888-4799-b01a-f31e52bb9aab,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Ar3jFNxbYYNXkp64Uad4gsl9/structures/Br3GeRb_977c72e8/output.json,0.05,0.02135829925537136,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_465ae5a7-7996-4200-85d5-6270f85869d0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_509b6caf-2d28-4a3d-a55f-7b1109f9514f,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_de0117e6-404e-4355-948b-ee1aba8c1b3f,Br3GeRb
