entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745931625366211,-9.745931625366211,1
mp-10000-GGA,Hf2S,-54.11693572998047,-9.019489288330078,6
mp-1009460-GGA,Hf,-29.62061309814453,-9.87353769938151,3
mp-1016239-GGA,HfMg3,-13.791519165039062,-3.4478797912597656,4
mp-1016256-GGA,HfMg7,-19.646038055419922,-2.4557547569274902,8
mp-1023478-GGA,HfMg15,-31.770465850830078,-1.9856541156768799,16
mp-103-GGA,Hf,-19.877973556518555,-9.938986778259277,2
mp-1056351-GGA,Mg,-1.4791563749313354,-1.4791563749313354,1
mp-1056702-GGA,Mg,-1.500701904296875,-1.500701904296875,1
mp-1094122-GGA,Mg,-4.511011123657227,-1.503670374552409,3
mp-1094181-GGA,HfMg,-11.148539543151855,-5.574269771575928,2
mp-1094220-GGA,Hf3Mg,-30.95547866821289,-7.738869667053223,4
mp-1094259-GGA,Hf3Mg,-61.81553649902344,-7.72694206237793,8
mp-1094958-GGA,HfMg3,-13.894963264465332,-3.473740816116333,4
mp-110-GGA,Mg,-1.48003089427948,-1.48003089427948,1
mp-1185513-GGA,HfMg149,-233.7355499267578,-1.5582369995117187,150
mp-1185578-GGA,Mg149S,-229.0950927734375,-1.5273006184895834,150
mp-1185942-GGA,MgS,-16.932905197143555,-4.233226299285889,4
mp-1185949-GGA,MgS3,-15.37429428100586,-3.843573570251465,4
mp-1185953-GGA,MgS2,-24.49367904663086,-4.0822798411051435,6
mp-1185959-GGA,MgS2,-12.265228271484375,-4.088409423828125,3
mp-1196831-GGA,S,-329.6609191894531,-4.120761489868164,80
mp-1206743-GGA,HfS,-17.03921890258789,-8.519609451293945,2
mp-1247180-GGA,Mg,-13.520625114440918,-1.3520625114440918,10
mp-13032-GGA,MgS,-8.448695182800293,-4.2243475914001465,2
mp-1315-GGA,MgS,-8.48447036743164,-4.24223518371582,2
mp-153-GGA,Mg,-3.0128958225250244,-1.5064479112625122,2
mp-555760-GGA,S,-36.816505432128906,-4.090722825792101,9
mp-555915-GGA,S,-296.00030517578125,-4.111115349663629,72
mp-556269-GGA,S,-294.70208740234375,-4.093084547254774,72
mp-557031-GGA,S,-130.63412475585938,-4.0823163986206055,32
mp-557376-GGA,S,-81.90589904785156,-4.095294952392578,20
mp-557488-GGA,S,-148.21810913085938,-4.117169698079427,36
mp-557559-GGA,S,-114.05069732666016,-4.073239190237863,28
mp-557869-GGA,S,-198.41928100585938,-4.133735020955403,48
mp-558014-GGA,S,-99.01820373535156,-4.1257584889729815,24
mp-558964-GGA,S,-329.5398254394531,-4.119247817993164,80
mp-561370-GGA,S,-361.2005310058594,-4.104551488702947,88
mp-561513-GGA,S,-115.291748046875,-4.117562430245536,28
mp-583072-GGA,S,-426.71929931640625,-4.103070185734675,104
mp-666931-GGA,S,-132.33090209960938,-4.135340690612793,32
mp-7-GGA,S,-24.410850524902344,-4.068475087483724,6
mp-77-GGA,S,-132.3409881591797,-4.135655879974365,32
mp-83-GGA,S,-227.8031005859375,-4.067912510463169,56
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-96-GGA,S,-132.4183349609375,-4.138072967529297,32
mp-973364-GGA,Mg,-6.012312889099121,-1.5030782222747803,4
mp-981375-GGA,HfMg3,-27.627931594848633,-3.453491449356079,8
mp-985829-GGA,HfS2,-22.91748046875,-7.63916015625,3
mp-9922-GGA,HfS3,-54.2647705078125,-6.7830963134765625,8
mp-994911-GGA,S,-33.06205368041992,-4.13275671005249,8
