chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_2958b27d/output.json,HfMgS3,e_above_hull=0.2068 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_61fafe56-b388-46d1-a624-3b62884a9707,[],[],0.05,0.20680313110351367,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_01639188-0f12-44de-bdfc-d1041808d9bd,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_24f85136-29d7-48e6-b12e-6ee76100eb15,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_421df683/output.json,HfMgS3,e_above_hull=0.1054 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_d818ec94-17b5-4488-8d6c-3a846f621f08,[],[],0.05,0.10542984008788814,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f0d2d80a-eaa1-4adb-84be-835e31bbe0f2,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2c432205-f8f8-4c4b-8ac5-8d574a20e2b7,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_2c12758d/output.json,HfMgS3,e_above_hull=0.0824 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_34168e76-115a-438b-8c4a-a13594a77198,[],[],0.05,0.08241271972655984,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2765ffb4-0c59-40c9-8a18-96f0bd1480e7,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4333f9c3-6a57-408e-a6b5-d4e5ba0ceecc,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_d6048176/output.json,HfMgS3,e_above_hull=0.1077 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_1249506b-0618-4f42-85f2-59a3d001a80f,[],[],0.05,0.10772361755370863,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_529c66ef-10e7-4e2d-85bc-c5084efff106,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_48037be5-8d0d-4f87-9eb1-7f47325251f3,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_edbe082d/output.json,HfMgS3,e_above_hull=0.0822 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8587bcdb-ed83-4d50-8ffa-2d551af0baa9,[],[],0.05,0.08220443725585724,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b303fd4d-e8aa-4c1b-ba35-3a7c4c8c53fb,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_58059c08-2df1-4a23-a52d-748edbf8ae3d,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_184f72d6/output.json,HfMgS3,e_above_hull=0.1557 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_defc5891-4feb-471a-ab0b-9006cab72e17,[],[],0.05,0.15566368103027095,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_69fd8918-d17c-4099-9059-dbf8caf8c90f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_79bfd410-a517-45d8-ba84-88228b1d6ed6,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_c432eb08/output.json,HfMgS3,e_above_hull=0.0827 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_3a13da7d-361e-4572-87ec-4ce7dff599db,[],[],0.05,0.08270111083984144,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_76ba3a7e-fdfb-45a5-8406-5293afb0a1a1,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7b2a9d8d-33c4-478c-ab76-1bf67d215e6a,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_138dd5d6/output.json,HfMgS3,e_above_hull=0.1919 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_52bfd667-b84c-46a5-b61b-163d8666a29b,[],[],0.05,0.19192352294921644,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9ea417be-0b4f-4bb2-9769-2b9558f49ed3,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_80b9a015-2a11-4c9b-8eda-d788f91fab49,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_aeccadd8/output.json,HfMgS3,e_above_hull=0.2334 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_bd006a77-9501-4f2e-b06f-58b3ef263b86,[],[],0.05,0.23343582153320064,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_cdd7daa1-1cde-4f6d-9e2c-d6bb0406b446,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_81bf10f7-6067-493e-8631-6e9b748c6ac0,HfMgS3
HfMgS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_BkSqpgLfEvCy3nI7LfWeXqaH/structures/HfMgS3_80030212/output.json,HfMgS3,e_above_hull=0.1518 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_501c2a15-1314-41ca-9e13-7569bb8e2406,[],[],0.05,0.15178604125976314,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_dc94dca2-3b3f-489f-a1d8-e44ba9262b08,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c62ec572-810b-42e1-8c89-87793fc36726,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b370084e-3565-4a5e-a329-58bb8b6a9b24,HfMgS3
